# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,4.055512690364638795e-01,8.623641960665345829e-01,9.666813080108215273e-01,8.411848779490596062e-01,1.493163250751108340e-01,9.186673303004881941e-01,9.837693086649301755e-01,7.577720213259011572e-01,8.903308721767152489e-01,3.599909304621683459e-01,1.777274092733122091e-01,3.384781386955668658e-01,8.959070886491163899e-01,4.417111913161153591e-02,8.474366970982211145e-01,2.300941430606554539e-01
1.000000000000000000e+00,0.000000000000000000e+00,7.807722545325562757e-01,8.302537176721177525e-01,3.632554951835768042e-01,7.882665127187713505e-01,8.372692871912994494e-01,4.962235690499898766e-01,9.577298829421003745e-01,9.779986034875014500e-01,9.555143196968581831e-01,8.285139303981819969e-01,9.318204985621870717e-01,1.000000000000000000e+00,9.889834193411328744e-01,9.456414568051720870e-01,8.648780881696154221e-01,1.000000000000000000e+00
4.055512690364638795e-01,7.807722545325562757e-01,0.000000000000000000e+00,8.777920636843619118e-01,8.634522161737998580e-01,8.442363046304828256e-01,4.036710869226292075e-01,9.538748072211763462e-01,9.917547232300077953e-01,8.036659605880048796e-01,8.162341596873213811e-01,4.597889883826939972e-01,3.927464601116124054e-01,4.092394155316962934e-01,8.971976277096569419e-01,3.851050644356094343e-01,8.943640565343623505e-01,3.971226829675360559e-01
8.623641960665345829e-01,8.302537176721177525e-01,8.777920636843619118e-01,4.453229743607693969e-01,8.418007780025724696e-01,7.625938113444314936e-01,8.044088857688314054e-01,8.827328854673066605e-01,8.518275619288036005e-01,8.544085451394114461e-01,6.576777524561938648e-01,9.007067501076180260e-01,8.168932816837131128e-01,8.036880177703894512e-01,8.682212175512304952e-01,8.626926811437281017e-01,8.764854588681483261e-01,8.272222046290895747e-01
9.666813080108215273e-01,3.632554951835768042e-01,8.634522161737998580e-01,8.418007780025724696e-01,0.000000000000000000e+00,9.102192049005081165e-01,1.000000000000000000e+00,3.301696280285005836e-01,9.652551373142238544e-01,9.963871578130878426e-01,9.985201861202455120e-01,8.252295876973949618e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.675910856773603186e-01,1.000000000000000000e+00
8.411848779490596062e-01,7.882665127187713505e-01,8.442363046304828256e-01,7.625938113444314936e-01,9.102192049005081165e-01,1.110223024625156540e-16,8.542293961870615071e-01,7.536561126035785652e-01,7.267897922237143149e-01,7.961815460885379725e-01,7.180915004542730573e-01,6.994198528820672056e-01,9.474483202928386527e-01,8.102200048654372155e-01,6.710387545638644147e-01,8.482396693629037365e-01,4.791869062713459693e-01,8.979664733833385704e-01
1.493163250751108340e-01,8.372692871912994494e-01,4.036710869226292075e-01,8.044088857688314054e-01,1.000000000000000000e+00,8.542293961870615071e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.711380521777147612e-01,6.221145226366759928e-01,6.983996850701685855e-01,4.136786730615175101e-01,2.039628198506331369e-01,3.479558444595450828e-01,8.544247077491878839e-01,1.229217220452611947e-01,9.424145106702419561e-01,2.470303918020254619e-01
9.186673303004881941e-01,4.962235690499898766e-01,9.538748072211763462e-01,8.827328854673066605e-01,3.301696280285005836e-01,7.536561126035785652e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.533362931475258817e-01,9.782600143647164348e-01,9.832638367952467595e-01,9.733142590275634110e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.604816603443679934e-01,1.000000000000000000e+00
9.837693086649301755e-01,9.577298829421003745e-01,9.917547232300077953e-01,8.518275619288036005e-01,9.652551373142238544e-01,7.267897922237143149e-01,9.711380521777147612e-01,9.533362931475258817e-01,0.000000000000000000e+00,9.149438629806991852e-01,8.306029724556824867e-01,8.874669950943929742e-01,6.899471670010809410e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.573321121947857559e-01,7.952190182018437081e-01,9.133461572893029068e-01
7.577720213259011572e-01,9.779986034875014500e-01,8.036659605880048796e-01,8.544085451394114461e-01,9.963871578130878426e-01,7.961815460885379725e-01,6.221145226366759928e-01,9.782600143647164348e-01,9.149438629806991852e-01,4.924683370889808565e-01,7.397994004727446171e-01,7.000734989121879526e-01,7.660866069555443136e-01,7.612340183596911780e-01,9.101802897094559697e-01,8.109367868838051052e-01,8.778739957751755529e-01,7.985826070707552349e-01
