# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.608050246701302921e-01,5.504736150086018132e-01,9.059906543535889423e-01,8.686125883202544529e-01,9.127595350689595710e-01,3.615976197290975414e-01,8.851660362936776272e-01,8.846253524986489314e-01,8.281021984837096950e-01,1.023316739920723695e+00,9.945054791974361486e-02,6.646339167436077222e-02,7.796900003716661365e-01,9.798802702355647876e-01,3.147962581155629991e-01,9.491236962307688652e-01,7.025708298792918693e-01
9.608050246701302921e-01,0.000000000000000000e+00,9.273404432726629620e-01,9.076800330005421191e-01,2.799671069145260871e-01,8.366071482541824755e-01,8.923686870443692243e-01,2.656127804230588030e-01,9.109432660501415313e-01,1.000000000000000000e+00,1.102376500432594497e+00,8.942418251692225706e-01,9.111079204309655566e-01,1.000000000000000000e+00,7.466581175110598156e-01,8.763365445510464813e-01,9.959053894819100972e-01,9.760430340498968960e-01
5.504736150086018132e-01,9.273404432726629620e-01,0.000000000000000000e+00,9.159571462228689454e-01,8.923691993451665638e-01,8.990758679380147500e-01,7.784869818475976810e-01,9.364559752483092581e-01,1.000000000000000000e+00,9.123323979330980604e-01,9.925208328111300160e-01,5.878176743104074342e-01,6.854081075943609935e-01,8.091597448526544056e-01,9.285031711324226444e-01,7.367493224635643934e-01,9.926997091879419255e-01,5.796437491885159110e-01
9.059906543535889423e-01,9.076800330005421191e-01,9.159571462228689454e-01,0.000000000000000000e+00,9.016576715539862397e-01,6.127244618243201657e-01,9.056155498805298354e-01,8.953511401637731515e-01,9.192092975068489880e-01,8.522755520457823142e-01,9.803716969594739039e-01,8.947296999507050597e-01,8.939301502587958526e-01,9.435744680090188963e-01,9.118226556728132870e-01,8.907082105678542083e-01,8.389644923371802898e-01,9.079039584707714328e-01
8.686125883202544529e-01,2.799671069145260871e-01,8.923691993451665638e-01,9.016576715539862397e-01,0.000000000000000000e+00,8.427585480083930047e-01,8.682946336412187271e-01,2.092223895074183382e-01,8.463793285409313416e-01,9.660553958198770941e-01,1.024341683971810912e+00,9.057274348118748986e-01,9.095535503254036369e-01,9.281193227043553762e-01,8.991162622223504153e-01,9.139921575941971632e-01,9.626545067910022846e-01,9.598896948613684366e-01
9.127595350689595710e-01,8.366071482541824755e-01,8.990758679380147500e-01,6.127244618243201657e-01,8.427585480083930047e-01,-2.220446049250313081e-16,8.862347557512770813e-01,8.248559802120396522e-01,8.022951118683872007e-01,9.515553450357790988e-01,1.075704199506976710e+00,8.705438437531816120e-01,8.369582892025778653e-01,9.455150638071327940e-01,7.659323977860312826e-01,8.901723211500162103e-01,5.242144800055188458e-01,8.039101923047449194e-01
3.615976197290975414e-01,8.923686870443692243e-01,7.784869818475976810e-01,9.056155498805298354e-01,8.682946336412187271e-01,8.862347557512770813e-01,0.000000000000000000e+00,8.594777308696551765e-01,9.172805639158007063e-01,8.725233180964374613e-01,1.021224686618666722e+00,2.459183222647962630e-01,-6.527193089490124223e-02,8.190928683256389897e-01,9.873630241955400066e-01,2.857207167181134988e-01,9.220974814936355735e-01,7.573617090907747151e-01
8.851660362936776272e-01,2.656127804230588030e-01,9.364559752483092581e-01,8.953511401637731515e-01,2.092223895074183382e-01,8.248559802120396522e-01,8.594777308696551765e-01,0.000000000000000000e+00,8.679347719702318331e-01,9.512725134719993703e-01,9.315601536914295266e-01,9.358208937158274399e-01,9.071846384370964023e-01,9.369955928337705409e-01,7.358889599623821276e-01,8.915754124716124274e-01,1.000000000000000000e+00,9.116773039601515638e-01
8.846253524986489314e-01,9.109432660501415313e-01,1.000000000000000000e+00,9.192092975068489880e-01,8.463793285409313416e-01,8.022951118683872007e-01,9.172805639158007063e-01,8.679347719702318331e-01,2.220446049250313081e-16,8.839343307062328403e-01,1.037786955980763759e+00,8.203512551800781205e-01,8.970498335062540018e-01,9.665804630697787392e-01,5.809161253989810758e-01,8.693063148060096168e-01,1.000000000000000000e+00,5.732493192647087898e-01
8.281021984837096950e-01,1.000000000000000000e+00,9.123323979330980604e-01,8.522755520457823142e-01,9.660553958198770941e-01,9.515553450357790988e-01,8.725233180964374613e-01,9.512725134719993703e-01,8.839343307062328403e-01,2.220446049250313081e-16,7.606851490795959458e-01,9.066544529074650471e-01,8.722318445692323063e-01,7.607040009780382528e-01,9.510674481947124503e-01,8.950908770569500073e-01,1.000000000000000000e+00,9.227277281824646238e-01
