# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.126700879711299397e+00,1.000000000000000000e+00,9.744354663656940030e-01,9.071996336841440245e-01,1.000000000000000000e+00,9.548176989880762244e-01,9.396151536274828242e-01,9.440968505462087323e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.674905703248634747e-01,9.926201693721005137e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.110223024625156540e-16,9.784542223985969178e-01,6.236224774346981192e-01,1.000000000000000000e+00,1.113019487029241361e+00,9.562993805678021708e-01,8.996333339701816367e-01,8.951618503331387755e-01,9.392758998063608367e-01,8.660743655447693534e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.197513844880548017e-01,9.293798666505113104e-01,1.000000000000000000e+00,7.801413304017198458e-01,8.345220832913545772e-01
1.000000000000000000e+00,9.784542223985969178e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.329674495199071771e-01,1.041665239685212407e+00,8.635932295581705276e-01,9.893573018287351584e-01,1.000000000000000000e+00,9.802762785955264624e-01,8.478099912327934362e-01,9.323151252548000922e-01,9.430314292636907680e-01,8.915783247949328194e-01,7.804785672946085162e-01,1.000000000000000000e+00,8.281825678272709546e-01,1.000000000000000000e+00
1.000000000000000000e+00,6.236224774346981192e-01,1.000000000000000000e+00,3.330669073875469621e-16,8.979165943223537116e-01,1.228277635724462469e+00,9.052053531192418845e-01,9.242911192349168026e-01,7.093217977672712227e-01,8.755412034132123988e-01,8.680245167131042106e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.735961266931623559e-01,9.909648516719330447e-01,1.000000000000000000e+00,5.902097087683659815e-01,9.680912410516203659e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.329674495199071771e-01,8.979165943223537116e-01,0.000000000000000000e+00,1.074850142021716470e+00,8.594546794812931712e-01,6.224204780739933662e-01,9.527489464539636854e-01,9.614728731076012114e-01,9.665366098959274899e-01,8.556762286445600552e-01,7.581243794273366809e-01,9.763029446004342082e-01,9.921171371897985480e-01,6.925123482785584539e-01,9.701062379306918393e-01,1.000000000000000000e+00
1.126700879711299397e+00,1.113019487029241361e+00,1.041665239685212407e+00,1.228277635724462469e+00,1.074850142021716470e+00,0.000000000000000000e+00,1.001099962175359126e+00,1.124947981238824557e+00,1.102936407058907609e+00,9.900349734746313191e-01,1.084173438324663508e+00,1.054786337763949700e+00,9.697570455275208445e-01,1.099187346864732850e+00,1.012865242807320820e+00,1.054232189404963549e+00,1.054885201007008444e+00,1.033367342577645731e+00
1.000000000000000000e+00,9.562993805678021708e-01,8.635932295581705276e-01,9.052053531192418845e-01,8.594546794812931712e-01,1.001099962175359126e+00,1.110223024625156540e-16,9.058788854421883086e-01,1.000000000000000000e+00,9.519844400220724978e-01,9.597194291445092507e-01,9.235725617358790940e-01,9.505763862790346241e-01,9.335695361848792562e-01,9.611708597728489956e-01,9.572732208144264510e-01,9.898226348322919366e-01,1.000000000000000000e+00
9.744354663656940030e-01,8.996333339701816367e-01,9.893573018287351584e-01,9.242911192349168026e-01,6.224204780739933662e-01,1.124947981238824557e+00,9.058788854421883086e-01,5.000000000000000000e-01,9.899759061521813397e-01,9.394275306833008710e-01,9.666703562398439864e-01,9.843571209537217426e-01,9.639022608909690870e-01,9.657698523903524013e-01,9.863568808573476288e-01,9.994410533908806293e-01,9.303328481175237030e-01,9.482451336401838127e-01
9.071996336841440245e-01,8.951618503331387755e-01,1.000000000000000000e+00,7.093217977672712227e-01,9.527489464539636854e-01,1.102936407058907609e+00,1.000000000000000000e+00,9.899759061521813397e-01,1.110223024625156540e-16,9.029107517403734962e-01,6.490129011253140678e-01,9.760765358878484843e-01,9.891768045752643568e-01,8.728507505070296491e-01,1.000000000000000000e+00,9.194564476247124585e-01,8.458857293657732201e-01,8.685461064268462650e-01
1.000000000000000000e+00,9.392758998063608367e-01,9.802762785955264624e-01,8.755412034132123988e-01,9.614728731076012114e-01,9.900349734746313191e-01,9.519844400220724978e-01,9.394275306833008710e-01,9.029107517403734962e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.500070786438373771e-01,1.000000000000000000e+00,8.922417710688863579e-01,9.966494188823494804e-01,1.000000000000000000e+00,9.763400364807373055e-01,7.404162650041687943e-01
