# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,8.030011666997294295e-01,7.665071031313664962e-01,9.582534416685895007e-01,9.938595540157735275e-01,1.000000000000000000e+00,8.520304994042636748e-01,8.364433332328339299e-01,1.000000000000000000e+00,1.082591438481164570e+00,8.741377261599402315e-01,6.635254167776654111e-01,9.265911781886281284e-01,5.577998216816144605e-01,9.698089678111405654e-01,1.241857661995451556e+00,1.000000000000000000e+00,8.542812345686490172e-01
8.030011666997294295e-01,0.000000000000000000e+00,7.266569040358448195e-01,8.890536786110747602e-01,9.206750866006223610e-01,7.584684407314341570e-01,6.489627042362732245e-01,5.019831381354454836e-01,7.574353531043788168e-01,9.574959517879736426e-01,6.622220407281084187e-01,8.807410845268411892e-01,9.065525965191106872e-01,6.996340730357630822e-01,8.234724194687395027e-01,1.038805383958769646e+00,7.802113353688784336e-01,9.383370944195987828e-01
7.665071031313664962e-01,7.266569040358448195e-01,2.220446049250313081e-16,9.023966584665830126e-01,7.202809083633687770e-01,1.000000000000000000e+00,7.849572421553221435e-01,8.296794327584853246e-01,1.000000000000000000e+00,8.687219433906834265e-01,7.256279097799147593e-01,9.816719542685581334e-01,8.893638805111862000e-01,9.614978113553681593e-01,9.471708995168552914e-01,1.166259691587676839e+00,9.924546170496139075e-01,8.130082735981146724e-01
9.582534416685895007e-01,8.890536786110747602e-01,9.023966584665830126e-01,5.000000000000000000e-01,9.164767462267295883e-01,9.188298233702998363e-01,8.686668978030526178e-01,9.633929886375010021e-01,9.988782944944258890e-01,8.245720808871205287e-01,9.002610563497308593e-01,8.501222765799085757e-01,9.365234308994074830e-01,1.000000000000000000e+00,9.327389304898803246e-01,1.125923193683654233e+00,9.827917679331850120e-01,9.059419396152803561e-01
9.938595540157735275e-01,9.206750866006223610e-01,7.202809083633687770e-01,9.164767462267295883e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.372998161871158862e-01,9.176322791684079494e-01,1.000000000000000000e+00,1.009929075619820482e+00,9.318535406223410478e-01,7.118633141951282717e-01,1.000000000000000000e+00,9.272158435531298037e-01,8.734892129450675391e-01,9.739281167067069811e-01,1.000000000000000000e+00,8.810209041082082138e-01
1.000000000000000000e+00,7.584684407314341570e-01,1.000000000000000000e+00,9.188298233702998363e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.650830342775996717e-01,7.760936206173413288e-01,4.160232987808007987e-01,1.019329306126977475e+00,9.837227300036824884e-01,1.000000000000000000e+00,9.416001913705717152e-01,8.273018992406068195e-01,9.382021529754759337e-01,1.241550712175787829e+00,4.704960255258416879e-01,9.708673244178519512e-01
8.520304994042636748e-01,6.489627042362732245e-01,7.849572421553221435e-01,8.686668978030526178e-01,9.372998161871158862e-01,9.650830342775996717e-01,2.220446049250313081e-16,7.852394312149733047e-01,1.000000000000000000e+00,9.871295361120672185e-01,9.214714555232437210e-01,8.961600930043761570e-01,9.270170625441507273e-01,7.832696626176992583e-01,1.000000000000000000e+00,1.121544966981885771e+00,9.948091718193491362e-01,7.649429476982213538e-01
8.364433332328339299e-01,5.019831381354454836e-01,8.296794327584853246e-01,9.633929886375010021e-01,9.176322791684079494e-01,7.760936206173413288e-01,7.852394312149733047e-01,2.220446049250313081e-16,7.733699434538274797e-01,9.390907408388047273e-01,7.460798537155610699e-01,8.547074949202323468e-01,8.863738860737626624e-01,5.391700153187746203e-01,9.898825189713487127e-01,1.220065023837710427e+00,7.329456612744273958e-01,9.481555830577451660e-01
1.000000000000000000e+00,7.574353531043788168e-01,1.000000000000000000e+00,9.988782944944258890e-01,1.000000000000000000e+00,4.160232987808007987e-01,1.000000000000000000e+00,7.733699434538274797e-01,2.220446049250313081e-16,1.011788085897350253e+00,9.496386649420304193e-01,9.506756538237083332e-01,1.000000000000000000e+00,8.260678240395165073e-01,9.755187879158029318e-01,1.337183207886986747e+00,4.067613965216739791e-01,1.000000000000000000e+00
1.082591438481164570e+00,9.574959517879736426e-01,8.687219433906834265e-01,8.245720808871205287e-01,1.009929075619820482e+00,1.019329306126977475e+00,9.871295361120672185e-01,9.390907408388047273e-01,1.011788085897350253e+00,3.898347836320514292e-01,9.691499963154046604e-01,9.588840855384477280e-01,9.606684223992444371e-01,1.046122599191221525e+00,1.120068885566603445e+00,1.229885274596990152e+00,1.053495437701481574e+00,8.585206466710102458e-01
