# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.145570475676717548e-01,9.051259371491178207e-01,8.501346997891034984e-01,9.380550636258290220e-01,9.607247000691651051e-01,1.845949967097717526e-01,9.109238436023777696e-01,9.209217888407682517e-01,8.286909417933667754e-01,5.920399175409156722e-01,2.556704033754313432e-01,2.445601399901473627e-01,7.596109675157848296e-01,1.000000000000000000e+00,1.401374316657776342e-01,9.849021018530731419e-01,3.145493722722260133e-01
9.145570475676717548e-01,-2.220446049250313081e-16,1.024189051686715590e+00,8.951558999394889637e-01,6.943973084969975451e-01,8.787194294002378392e-01,9.044207367250097773e-01,5.890149660313861446e-01,8.385048139022844849e-01,9.190981133007232184e-01,8.400052552096002323e-01,9.297445401131771980e-01,9.378832356173409934e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.205330152779241937e-01,8.554683071985016429e-01,9.171221934376119211e-01
9.051259371491178207e-01,1.024189051686715590e+00,3.531781824766862532e-01,9.600734405075197486e-01,9.589445989688732963e-01,9.665030404719878732e-01,9.047947606138067034e-01,9.567294292398482725e-01,9.828664169724019573e-01,9.607652808164612868e-01,8.184167027063139477e-01,9.379420640266034059e-01,9.057322239671357078e-01,9.131349471310188370e-01,1.104338332813237677e+00,8.821303358008081297e-01,9.591508625210135586e-01,9.023394665716528706e-01
8.501346997891034984e-01,8.951558999394889637e-01,9.600734405075197486e-01,1.110223024625156540e-16,9.886006154062016993e-01,9.696231921623628125e-01,7.996605010504244104e-01,9.074121190435647799e-01,9.372204459857444991e-01,7.363348761470722703e-01,9.307480402037072720e-01,8.834607319042673268e-01,8.558617265503473126e-01,8.963013945097605406e-01,1.000000000000000000e+00,9.310802007155879467e-01,9.458718916684460964e-01,8.648252763450535729e-01
9.380550636258290220e-01,6.943973084969975451e-01,9.589445989688732963e-01,9.886006154062016993e-01,1.110223024625156540e-16,9.796005932714968445e-01,9.017388508651520418e-01,3.639396133857718540e-01,9.168269258369851071e-01,1.000000000000000000e+00,8.853889755064157097e-01,9.167348575197291627e-01,9.175382609168886150e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.317176252236060163e-01,9.075771858355048405e-01,9.036618276119863236e-01
9.607247000691651051e-01,8.787194294002378392e-01,9.665030404719878732e-01,9.696231921623628125e-01,9.796005932714968445e-01,0.000000000000000000e+00,9.892936891054675552e-01,8.666487250165854084e-01,3.087543275879472970e-01,9.680265437969488573e-01,9.495558341409259251e-01,8.893713717579853073e-01,9.181245435794849197e-01,9.907931518611771127e-01,1.000000000000000000e+00,9.615917838359521186e-01,2.917094937058056781e-01,9.775479550421402042e-01
1.845949967097717526e-01,9.044207367250097773e-01,9.047947606138067034e-01,7.996605010504244104e-01,9.017388508651520418e-01,9.892936891054675552e-01,0.000000000000000000e+00,8.455767494668767759e-01,1.000000000000000000e+00,8.623896184575038371e-01,7.116734809479057233e-01,3.000130325268667297e-01,2.212852478218804153e-01,7.867732405725077482e-01,1.000000000000000000e+00,1.336476884519639530e-01,9.976739333355750805e-01,2.545684323682722017e-01
9.109238436023777696e-01,5.890149660313861446e-01,9.567294292398482725e-01,9.074121190435647799e-01,3.639396133857718540e-01,8.666487250165854084e-01,8.455767494668767759e-01,0.000000000000000000e+00,8.793457599210404707e-01,1.000000000000000000e+00,8.683899225514593034e-01,9.932336555804028855e-01,9.166749648775170956e-01,1.000000000000000000e+00,7.810319128560595514e-01,9.270411599621972698e-01,8.672749426808541440e-01,9.570743479306429435e-01
9.209217888407682517e-01,8.385048139022844849e-01,9.828664169724019573e-01,9.372204459857444991e-01,9.168269258369851071e-01,3.087543275879472970e-01,1.000000000000000000e+00,8.793457599210404707e-01,0.000000000000000000e+00,9.408875363352749988e-01,9.010905285372056150e-01,9.660586674086927284e-01,9.660488352527223377e-01,1.000000000000000000e+00,9.811050990943094297e-01,9.725224690439138175e-01,3.053166398850929442e-01,9.620653786227110205e-01
8.286909417933667754e-01,9.190981133007232184e-01,9.607652808164612868e-01,7.363348761470722703e-01,1.000000000000000000e+00,9.680265437969488573e-01,8.623896184575038371e-01,1.000000000000000000e+00,9.408875363352749988e-01,1.110223024625156540e-16,8.446038580570466303e-01,8.204066451582271435e-01,8.292724722556685801e-01,8.739722406270084010e-01,9.623132867627270937e-01,8.331323292606434006e-01,9.391012595453220868e-01,8.289624220886356865e-01
