# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,7.833422165919899927e-01,9.367361006806457224e-01,5.279332802907210631e-01,8.945010597441687139e-01,2.017876607213049400e-01,6.634788441708454609e-01,8.884612196813963525e-01,6.717545595010796511e-01,1.000000000000000000e+00,2.446163795245099859e-01,2.441898863751071902e-01,6.523647961221298308e-01,9.240804436148638557e-01,2.042010518413922560e-01,9.377718680611565327e-01,3.092583736013057027e-01
1.000000000000000000e+00,0.000000000000000000e+00,7.107802568686913958e-01,9.743001724308701927e-01,7.082520090124997392e-01,9.051731445632086315e-01,9.616691842065158147e-01,6.381334346773190891e-01,1.000000000000000000e+00,7.528878629340894912e-01,9.681967506013724467e-01,9.718559761715340750e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.774903303536155441e-01,3.320033246032664254e-01,9.877819402913081692e-01,1.000000000000000000e+00
7.833422165919899927e-01,7.107802568686913958e-01,2.196467335214866978e-01,8.355421078734535101e-01,9.573623776094812854e-01,9.217583405611620151e-01,7.014405155497747124e-01,8.197525585045821739e-01,1.000000000000000000e+00,9.989065776555279275e-01,1.000000000000000000e+00,6.725826497370390733e-01,7.135537846526642802e-01,8.165521766026699879e-01,8.412327794450441543e-01,7.493588083440648751e-01,9.685978738118610210e-01,6.980783277930039388e-01
9.367361006806457224e-01,9.743001724308701927e-01,8.355421078734535101e-01,0.000000000000000000e+00,9.735200269841877141e-01,9.333283703442978307e-01,9.161724408482747606e-01,9.973883845231771295e-01,9.788494038604012015e-01,3.233942662872187901e-01,8.801468920857481448e-01,9.701757193570423876e-01,8.643882369819386735e-01,8.323511856718496249e-01,1.000000000000000000e+00,8.928944368522322428e-01,9.884058328913836178e-01,9.434934267082328851e-01
5.279332802907210631e-01,7.082520090124997392e-01,9.573623776094812854e-01,9.735200269841877141e-01,1.110223024625156540e-16,9.621298316819132390e-01,4.853821079498642499e-01,8.648750846813737514e-01,1.000000000000000000e+00,9.628935699934330072e-01,9.581320932302322957e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.809549360862787060e-01,1.000000000000000000e+00
8.945010597441687139e-01,9.051731445632086315e-01,9.217583405611620151e-01,9.333283703442978307e-01,9.621298316819132390e-01,0.000000000000000000e+00,6.812340348362229125e-01,9.769283978853159356e-01,1.000000000000000000e+00,8.596975506135940970e-01,9.709138985647012277e-01,9.690343930710545450e-01,9.944060662202083289e-01,9.341589374146014313e-01,6.481455270325369167e-01,9.049487107959707233e-01,7.511949047502707311e-01,9.529130915709841387e-01
2.017876607213049400e-01,9.616691842065158147e-01,7.014405155497747124e-01,9.161724408482747606e-01,4.853821079498642499e-01,6.812340348362229125e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.188168258311917302e-01,6.643258754246570419e-01,1.000000000000000000e+00,2.775455218877994623e-01,2.545222559443307553e-01,6.477918382715492918e-01,9.461494821016217527e-01,1.830218075468414973e-01,9.379835812867552969e-01,2.668728085922140725e-01
6.634788441708454609e-01,6.381334346773190891e-01,8.197525585045821739e-01,9.973883845231771295e-01,8.648750846813737514e-01,9.769283978853159356e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.083001927684339005e-01,9.828227927140088527e-01,9.909707941598029368e-01,9.823528163916169786e-01,1.000000000000000000e+00,8.296803186421690679e-01,1.000000000000000000e+00,9.562031036947641338e-01,1.000000000000000000e+00
8.884612196813963525e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.788494038604012015e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.188168258311917302e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.386395131232800892e-01,9.001516848924618897e-01,9.140907103290257796e-01,1.000000000000000000e+00,9.252937061637953597e-01,8.912255534481309249e-01,8.648395663630716879e-01,8.923655636610923203e-01
6.717545595010796511e-01,7.528878629340894912e-01,9.989065776555279275e-01,3.233942662872187901e-01,9.628935699934330072e-01,8.596975506135940970e-01,6.643258754246570419e-01,8.083001927684339005e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.906611140664308923e-01,9.606730008012555055e-01,9.896857902064870594e-01,1.000000000000000000e+00,8.222578312514945420e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.614086488010562093e-01
