# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,1.091501945242165705e+00,6.658875932380605711e-01,8.938810866918274201e-01,1.139590185970509317e+00,9.775395411255515254e-01,8.898833283268149374e-01,1.099204468252065414e+00,9.615575357372465604e-01,nan,8.677787432514686428e-01,9.936496712925070307e-01,9.300946381018808662e-01,8.784244182985625482e-01,1.000000000000000000e+00,3.116831076431042513e-01,9.938041878868922874e-01,9.341087637721734449e-01
1.091501945242165705e+00,-2.220446049250313081e-16,1.119811238406841492e+00,1.081402496851408435e+00,6.189300833119134593e-01,1.105291825501531822e+00,1.027880608031269238e+00,4.192991980043253575e-01,1.120472162952501405e+00,nan,1.026257106489919968e+00,1.081566861203353991e+00,1.076784540954504488e+00,1.013252556243770641e+00,1.222695492992708743e+00,1.093600034793055231e+00,1.194964977716143961e+00,1.069923568196116559e+00
6.658875932380605711e-01,1.119811238406841492e+00,0.000000000000000000e+00,8.321355850880157723e-01,1.095469264801299358e+00,9.631072104739997197e-01,9.820444215103104613e-01,1.105846906090654613e+00,5.695358360130780007e-01,nan,7.744703217815080976e-01,9.681708604655289152e-01,9.769473351691065899e-01,8.145077013280425104e-01,1.000000000000000000e+00,7.360928406302462701e-01,8.776854237483526777e-01,9.968839721594188186e-01
8.938810866918274201e-01,1.081402496851408435e+00,8.321355850880157723e-01,4.537120184514230048e-01,1.032071628909805971e+00,9.545537900866029046e-01,9.573013232364897540e-01,1.086137450967985529e+00,9.548899354406921169e-01,nan,6.086671808721104693e-01,1.000000000000000000e+00,9.853695632073062871e-01,9.315396250600804784e-01,9.633126552393040942e-01,8.801985950160626793e-01,9.795323973379064242e-01,9.850971820355474140e-01
1.139590185970509317e+00,6.189300833119134593e-01,1.095469264801299358e+00,1.032071628909805971e+00,-2.220446049250313081e-16,1.150561032500388547e+00,1.036224933498115508e+00,5.988264205757097836e-01,1.159797823910518666e+00,nan,9.959358704694291076e-01,1.052190707909795409e+00,1.096441408063078660e+00,1.065362909227876909e+00,1.125584501743081667e+00,1.105056741254382802e+00,1.213130903462013910e+00,1.082684925589257663e+00
9.775395411255515254e-01,1.105291825501531822e+00,9.631072104739997197e-01,9.545537900866029046e-01,1.150561032500388547e+00,0.000000000000000000e+00,9.530875799099268741e-01,1.150927001823629503e+00,8.173883887985056163e-01,nan,9.881108825608396762e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.439167396875845162e-01,4.863352915229050000e-01,8.828650800828969913e-01,4.458025542343152514e-01,9.954430823608783063e-01
8.898833283268149374e-01,1.027880608031269238e+00,9.820444215103104613e-01,9.573013232364897540e-01,1.036224933498115508e+00,9.530875799099268741e-01,2.220446049250313081e-16,1.049597490233047825e+00,9.610019113684720171e-01,nan,9.285384640360799802e-01,3.611744269813912389e-01,2.257531230937976918e-01,9.859559059513905988e-01,9.832169989928583043e-01,8.928087732676542876e-01,9.357239157184129574e-01,2.842547475226723241e-01
1.099204468252065414e+00,4.192991980043253575e-01,1.105846906090654613e+00,1.086137450967985529e+00,5.988264205757097836e-01,1.150927001823629503e+00,1.049597490233047825e+00,0.000000000000000000e+00,1.144295192863278299e+00,nan,9.889035361264417734e-01,1.074829679299265983e+00,1.084985175877589025e+00,1.034106547308126567e+00,1.258652229830817593e+00,1.105166297815647347e+00,1.238342973467295272e+00,1.078922708179568257e+00
9.615575357372465604e-01,1.120472162952501405e+00,5.695358360130780007e-01,9.548899354406921169e-01,1.159797823910518666e+00,8.173883887985056163e-01,9.610019113684720171e-01,1.144295192863278299e+00,0.000000000000000000e+00,nan,9.687704318850638430e-01,9.501563744705912029e-01,9.662902069101889646e-01,9.755693009708491514e-01,8.767343417262333238e-01,9.570655092035494915e-01,8.714077920943831268e-01,9.704480326518190036e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.677787432514686428e-01,1.026257106489919968e+00,7.744703217815080976e-01,6.086671808721104693e-01,9.959358704694291076e-01,9.881108825608396762e-01,9.285384640360799802e-01,9.889035361264417734e-01,9.687704318850638430e-01,nan,4.060695408272412266e-01,9.538755854496889786e-01,9.752607158206115789e-01,7.921641897436804136e-01,9.936744504607999406e-01,8.173360008346701733e-01,9.989416780851991806e-01,9.861947241819479792e-01
9.936496712925070307e-01,1.081566861203353991e+00,9.681708604655289152e-01,1.000000000000000000e+00,1.052190707909795409e+00,1.000000000000000000e+00,3.611744269813912389e-01,1.074829679299265983e+00,9.501563744705912029e-01,nan,9.538755854496889786e-01,1.110223024625156540e-16,2.362363518231301862e-01,9.264341930636128541e-01,1.000000000000000000e+00,9.921882351707862480e-01,9.945645523044156500e-01,2.372921577611276645e-01
9.300946381018808662e-01,1.076784540954504488e+00,9.769473351691065899e-01,9.853695632073062871e-01,1.096441408063078660e+00,1.000000000000000000e+00,2.257531230937976918e-01,1.084985175877589025e+00,9.662902069101889646e-01,nan,9.752607158206115789e-01,2.362363518231301862e-01,0.000000000000000000e+00,9.542786621637912026e-01,1.000000000000000000e+00,9.276278555542211146e-01,9.741341761306154812e-01,2.643682389040717950e-01
8.784244182985625482e-01,1.013252556243770641e+00,8.145077013280425104e-01,9.315396250600804784e-01,1.065362909227876909e+00,8.439167396875845162e-01,9.859559059513905988e-01,1.034106547308126567e+00,9.755693009708491514e-01,nan,7.921641897436804136e-01,9.264341930636128541e-01,9.542786621637912026e-01,1.110223024625156540e-16,9.467685838513689722e-01,8.385740247162157823e-01,9.141047234592267756e-01,9.901226900563574462e-01
