# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.416953301748313354e-01,8.984783921027936771e-01,nan,9.804659045078512047e-01,8.301231840198329825e-01,3.490766664262691110e-01,8.241869368857206446e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.908751123673317229e-01,2.798990723244370038e-01,4.749804407040256748e-01,1.000000000000000000e+00,9.727701084679973853e-01,8.074920078905345466e-02,8.207728936122145047e-01,2.027185884773293756e-01
8.416953301748313354e-01,-2.220446049250313081e-16,8.769536534790619564e-01,nan,9.287045489379763819e-01,8.857097336493782169e-01,7.047596714123276485e-01,4.529972118756554478e-01,1.000000000000000000e+00,9.773877473907921498e-01,8.508867272342524046e-01,8.709074136114614006e-01,7.726362509501359943e-01,9.346287814039814235e-01,1.000000000000000000e+00,7.161337340340203639e-01,8.308379014656926964e-01,8.319379427018608331e-01
8.984783921027936771e-01,8.769536534790619564e-01,0.000000000000000000e+00,nan,9.960650578405675359e-01,1.000000000000000000e+00,7.249905546342054752e-01,9.150043084436494389e-01,9.136594798731484390e-01,1.000000000000000000e+00,8.243478383359879036e-01,9.718580209171993056e-01,8.060503492302059092e-01,1.000000000000000000e+00,8.269152106131218982e-01,7.878473409103434744e-01,9.746636871820775205e-01,8.755736417111765757e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.804659045078512047e-01,9.287045489379763819e-01,9.960650578405675359e-01,nan,5.000000000000000000e-01,9.650178493495480403e-01,9.013801595554136181e-01,9.263764932912730288e-01,9.850715393296554101e-01,9.587501179470029333e-01,9.661740334343891234e-01,8.070409329781866870e-01,7.640276316599908801e-01,9.133315012248410802e-01,9.831475950236914230e-01,1.000000000000000000e+00,9.540042756469204743e-01,8.025319024547163949e-01
8.301231840198329825e-01,8.857097336493782169e-01,1.000000000000000000e+00,nan,9.650178493495480403e-01,0.000000000000000000e+00,8.087693757997472810e-01,8.676849642271384777e-01,1.000000000000000000e+00,8.674182662565768087e-01,9.764709935793335349e-01,8.435635103349286013e-01,9.442250186759717501e-01,9.528909058193278936e-01,9.975775823147305932e-01,8.310667426740743213e-01,4.401004025097418060e-01,8.657592196590218059e-01
3.490766664262691110e-01,7.047596714123276485e-01,7.249905546342054752e-01,nan,9.013801595554136181e-01,8.087693757997472810e-01,0.000000000000000000e+00,8.499476783888255671e-01,9.797827745886290574e-01,1.000000000000000000e+00,6.856158827181180193e-01,4.732651200720320306e-01,2.817141209093734222e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.352133438955193778e-01,7.496981926165995347e-01,4.135452797487673138e-01
8.241869368857206446e-01,4.529972118756554478e-01,9.150043084436494389e-01,nan,9.263764932912730288e-01,8.676849642271384777e-01,8.499476783888255671e-01,4.858290424193445478e-01,9.853178609677528677e-01,9.771626648731575049e-01,7.829068414473510096e-01,8.323581219963074318e-01,8.595463786771919690e-01,9.381279055553277679e-01,9.872043540996817690e-01,6.078417923457120065e-01,8.278745590904337259e-01,8.534006658523265454e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.136594798731484390e-01,nan,9.850715393296554101e-01,1.000000000000000000e+00,9.797827745886290574e-01,9.853178609677528677e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.664275072315143822e-01,9.010603940841592774e-01,9.488519654600519049e-01,1.000000000000000000e+00,2.982642200639168406e-01,9.424190570990611526e-01,9.757865210764941066e-01,9.457740864314190254e-01
1.000000000000000000e+00,9.773877473907921498e-01,1.000000000000000000e+00,nan,9.587501179470029333e-01,8.674182662565768087e-01,1.000000000000000000e+00,9.771626648731575049e-01,1.000000000000000000e+00,2.220446049250313081e-16,8.739080152058062989e-01,9.442937287413980529e-01,1.000000000000000000e+00,9.790176685654760069e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.621352719973690348e-01,9.590029074250495666e-01
