# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,7.617229881218743337e-01,3.803031095225007929e-01,8.599148053550438320e-01,9.582685328423607984e-01,9.899291402099972270e-01,5.708636744051897027e-01,5.671372941426351399e-01,9.983627362846950737e-01,8.549108238011875471e-01,8.140624674742560352e-01,1.000000000000000000e+00,3.894742103497249031e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.248499594119548695e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.617229881218743337e-01,-2.220446049250313081e-16,8.858417789712801360e-01,6.734585666820476213e-01,7.077996891360041065e-01,9.527038031107035732e-01,8.728717279747418845e-01,1.521732067158250157e-01,9.698172939819567073e-01,7.309367266184434442e-01,7.800950058305551327e-01,1.000000000000000000e+00,9.495694893799075942e-01,9.478355437909787851e-01,1.000000000000000000e+00,8.652685817630391130e-01,9.829034630498746372e-01,1.000000000000000000e+00
3.803031095225007929e-01,8.858417789712801360e-01,0.000000000000000000e+00,8.793065956436290076e-01,9.785295316171604973e-01,1.000000000000000000e+00,6.343456507326910021e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.150894012799494437e-01,6.565516352156621771e-01,1.000000000000000000e+00,7.334135071687231111e-01,9.172037341445387071e-01,1.000000000000000000e+00,4.688555624899242158e-01,1.000000000000000000e+00,9.676314587198161510e-01
8.599148053550438320e-01,6.734585666820476213e-01,8.793065956436290076e-01,0.000000000000000000e+00,7.606633132163598265e-01,9.908657487001956143e-01,8.840029829821925977e-01,6.801876338543433320e-01,9.558409142582217077e-01,8.790813099728220781e-01,7.602354106644365617e-01,9.476675259618216884e-01,8.521121382431537938e-01,9.361649255569479688e-01,9.998384345082480529e-01,8.625234852321879142e-01,9.400179046778086578e-01,1.000000000000000000e+00
9.582685328423607984e-01,7.077996891360041065e-01,9.785295316171604973e-01,7.606633132163598265e-01,-2.220446049250313081e-16,9.339750116739509167e-01,9.710860039009187039e-01,6.849423354829229371e-01,9.563333417729927843e-01,9.872315762041316001e-01,9.666727695730515935e-01,8.100403524373098740e-01,9.462479182979410819e-01,9.935537415786203086e-01,9.209313974796822233e-01,9.712046766347507409e-01,9.642647840551884508e-01,8.194052484659912761e-01
9.899291402099972270e-01,9.527038031107035732e-01,1.000000000000000000e+00,9.908657487001956143e-01,9.339750116739509167e-01,-2.220446049250313081e-16,9.161464721659215993e-01,9.497222420195969850e-01,5.229187079869361821e-01,9.686326818069166400e-01,9.541441660940969127e-01,1.000000000000000000e+00,9.501956227392747145e-01,1.000000000000000000e+00,5.677559761586026266e-01,1.000000000000000000e+00,4.144715019538580680e-01,9.528303650185623308e-01
5.708636744051897027e-01,8.728717279747418845e-01,6.343456507326910021e-01,8.840029829821925977e-01,9.710860039009187039e-01,9.161464721659215993e-01,0.000000000000000000e+00,9.576541394763159465e-01,1.000000000000000000e+00,8.634980570943839862e-01,7.859872269892546059e-01,6.147292398848063222e-01,5.253902226554079125e-01,9.484684436509708272e-01,1.000000000000000000e+00,5.115847025497350931e-01,9.986985160304941989e-01,1.000000000000000000e+00
5.671372941426351399e-01,1.521732067158250157e-01,1.000000000000000000e+00,6.801876338543433320e-01,6.849423354829229371e-01,9.497222420195969850e-01,9.576541394763159465e-01,0.000000000000000000e+00,9.698521925889478368e-01,8.813663856306248601e-01,4.390167296503233452e-01,1.000000000000000000e+00,9.482336897782680518e-01,9.736987853776010171e-01,1.000000000000000000e+00,5.804836713815282323e-01,9.538597737164131729e-01,1.000000000000000000e+00
9.983627362846950737e-01,9.698172939819567073e-01,1.000000000000000000e+00,9.558409142582217077e-01,9.563333417729927843e-01,5.229187079869361821e-01,1.000000000000000000e+00,9.698521925889478368e-01,0.000000000000000000e+00,9.666439361372316519e-01,1.000000000000000000e+00,9.373134883234274239e-01,9.840871462175618811e-01,1.000000000000000000e+00,5.243978924065790803e-01,1.000000000000000000e+00,4.702392651462021789e-01,1.000000000000000000e+00
8.549108238011875471e-01,7.309367266184434442e-01,8.150894012799494437e-01,8.790813099728220781e-01,9.872315762041316001e-01,9.686326818069166400e-01,8.634980570943839862e-01,8.813663856306248601e-01,9.666439361372316519e-01,5.000000000000000000e-01,7.370176676409098127e-01,9.548916842838889307e-01,7.756715501993642903e-01,8.475804091568410747e-01,1.000000000000000000e+00,8.377451799310218217e-01,9.665933106987770751e-01,9.196357699889197157e-01
8.140624674742560352e-01,7.800950058305551327e-01,6.565516352156621771e-01,7.602354106644365617e-01,9.666727695730515935e-01,9.541441660940969127e-01,7.859872269892546059e-01,4.390167296503233452e-01,1.000000000000000000e+00,7.370176676409098127e-01,0.000000000000000000e+00,8.364407981079510224e-01,5.845925192343867094e-01,9.000351005028546236e-01,1.000000000000000000e+00,7.239168471008748940e-01,9.754318803290824569e-01,8.595979581192529917e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.476675259618216884e-01,8.100403524373098740e-01,1.000000000000000000e+00,6.147292398848063222e-01,1.000000000000000000e+00,9.373134883234274239e-01,9.548916842838889307e-01,8.364407981079510224e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.470073429355042594e-01,1.000000000000000000e+00,6.179759232273320801e-01,1.000000000000000000e+00,1.325251053962843706e-01
3.894742103497249031e-01,9.495694893799075942e-01,7.334135071687231111e-01,8.521121382431537938e-01,9.462479182979410819e-01,9.501956227392747145e-01,5.253902226554079125e-01,9.482336897782680518e-01,9.840871462175618811e-01,7.756715501993642903e-01,5.845925192343867094e-01,1.000000000000000000e+00,4.656481721470470125e-01,9.619447570593483432e-01,1.000000000000000000e+00,3.342924612049849031e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.478355437909787851e-01,9.172037341445387071e-01,9.361649255569479688e-01,9.935537415786203086e-01,1.000000000000000000e+00,9.484684436509708272e-01,9.736987853776010171e-01,1.000000000000000000e+00,8.475804091568410747e-01,9.000351005028546236e-01,9.470073429355042594e-01,9.619447570593483432e-01,2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.998384345082480529e-01,9.209313974796822233e-01,5.677559761586026266e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.243978924065790803e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.501323925693403449e-01,1.000000000000000000e+00
1.248499594119548695e-01,8.652685817630391130e-01,4.688555624899242158e-01,8.625234852321879142e-01,9.712046766347507409e-01,1.000000000000000000e+00,5.115847025497350931e-01,5.804836713815282323e-01,1.000000000000000000e+00,8.377451799310218217e-01,7.239168471008748940e-01,6.179759232273320801e-01,3.342924612049849031e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.330669073875469621e-16,9.979039850828770319e-01,1.000000000000000000e+00
