# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.000000000000000000e+00,7.747537118804854739e-01,9.976584214625079383e-01,9.786732075623603144e-01,9.928536507474688966e-01,1.000000000000000000e+00,9.733803768511979371e-01,1.000000000000000000e+00,7.255242435071540541e-01,9.302267346735177966e-01,9.474506757805539747e-01,9.202697855405679306e-01,9.959039312262173427e-01,1.000000000000000000e+00,5.379391726576543409e-02,9.090866602180588396e-01,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,7.757199509095222822e-01,9.895460101455763047e-01,3.776332671451237966e-01,9.944441996039712350e-01,9.020210995058673964e-01,3.632198448762042897e-01,9.791559963241880382e-01,9.969391696672655900e-01,8.646395634774085570e-01,1.000000000000000000e+00,9.902992640138001956e-01,9.928109384391944348e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.707474472067331606e-01,1.000000000000000000e+00
7.747537118804854739e-01,7.757199509095222822e-01,2.220446049250313081e-16,9.558760469377061142e-01,6.565070280989295792e-01,9.084504762618041962e-01,1.000000000000000000e+00,7.000076420701711877e-01,1.000000000000000000e+00,9.359203493399221863e-01,8.526510118130868898e-01,9.247986432396870793e-01,9.063338321004507092e-01,9.806205045329248193e-01,1.000000000000000000e+00,8.728369817993139046e-01,7.689418600376450863e-01,9.494203872332650507e-01
9.976584214625079383e-01,9.895460101455763047e-01,9.558760469377061142e-01,5.000000000000000000e-01,9.526480381189859070e-01,9.756705291372245181e-01,9.338661268954376871e-01,9.750919888388128731e-01,9.454786089369888735e-01,9.007769519863330077e-01,8.455390428026512417e-01,9.434681284859904871e-01,9.708496672228479341e-01,9.509916139965551851e-01,9.563833964206367444e-01,9.976982600737593909e-01,9.299803649820201912e-01,9.478873831569611941e-01
9.786732075623603144e-01,3.776332671451237966e-01,6.565070280989295792e-01,9.526480381189859070e-01,0.000000000000000000e+00,9.970754511226528338e-01,1.000000000000000000e+00,2.738299256666369974e-01,1.000000000000000000e+00,9.523840530427657436e-01,8.417685435425978913e-01,8.781723463392234752e-01,9.994659512726736805e-01,9.243422513743397850e-01,9.971406981462895835e-01,9.843265163030132658e-01,7.333776149403100630e-01,8.065506017994565902e-01
9.928536507474688966e-01,9.944441996039712350e-01,9.084504762618041962e-01,9.756705291372245181e-01,9.970754511226528338e-01,-2.220446049250313081e-16,8.427117545997784287e-01,1.000000000000000000e+00,4.942696221115866484e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.854270670096302309e-01,9.262508185349836998e-01,4.573268600640896242e-01,9.807246952040905574e-01,9.845130097029130001e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.020210995058673964e-01,1.000000000000000000e+00,9.338661268954376871e-01,1.000000000000000000e+00,8.427117545997784287e-01,0.000000000000000000e+00,9.923804224117954709e-01,8.379597600317407746e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.669961941208054634e-01,1.000000000000000000e+00,9.488664651882847689e-01,8.635243588256489300e-01,1.000000000000000000e+00,8.750525239303941216e-01,9.367917076606464555e-01
9.733803768511979371e-01,3.632198448762042897e-01,7.000076420701711877e-01,9.750919888388128731e-01,2.738299256666369974e-01,1.000000000000000000e+00,9.923804224117954709e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.283976199242729432e-01,8.325328068243619262e-01,9.046169908449016583e-01,8.991080214196491838e-01,9.130814668897008213e-01,8.928031670089916494e-01,9.755163633634997833e-01,7.516279715004702267e-01,9.019682593806611637e-01
1.000000000000000000e+00,9.791559963241880382e-01,1.000000000000000000e+00,9.454786089369888735e-01,1.000000000000000000e+00,4.942696221115866484e-01,8.379597600317407746e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.617437453996744434e-01,9.767836760857593337e-01,9.286029970581302084e-01,9.470937422946972273e-01,1.000000000000000000e+00,3.210015103620628141e-01,9.758306596932387889e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.255242435071540541e-01,9.969391696672655900e-01,9.359203493399221863e-01,9.007769519863330077e-01,9.523840530427657436e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.283976199242729432e-01,9.617437453996744434e-01,0.000000000000000000e+00,9.626738473257021589e-01,9.001707011257589208e-01,9.032766343984752755e-01,1.000000000000000000e+00,8.660180272131422496e-01,1.000000000000000000e+00,8.725798215786536582e-01,9.709164542488923910e-01
