# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.335205926122450926e-01,5.473181020512078998e-01,9.993331240440528340e-01,7.908965339006081008e-01,1.000000000000000000e+00,1.897318039154773928e-01,6.880775161667724849e-01,9.814018799984476349e-01,9.016084699418559500e-01,9.748958359870608659e-01,1.589455368906503852e-01,1.991349347499710154e-01,3.857931753416717902e-01,1.000000000000000000e+00,1.295519983193048619e-01,1.000000000000000000e+00,2.219565031065340310e-01
8.335205926122450926e-01,0.000000000000000000e+00,8.285915745482009820e-01,8.925857645707135912e-01,6.997876115679269038e-01,8.931330559805481517e-01,8.525860787203409785e-01,5.470489731171186421e-01,8.772237312593612613e-01,6.240185774038489175e-01,7.603853864874567936e-01,9.547043363118146164e-01,8.495374526548006289e-01,9.213854266110057534e-01,9.137467072102982701e-01,8.111051485638208769e-01,9.129710297114301820e-01,9.582319610947803712e-01
5.473181020512078998e-01,8.285915745482009820e-01,2.220446049250313081e-16,9.744778135051052059e-01,7.593544239719081101e-01,8.941654490572882308e-01,6.459615498841262404e-01,7.654068029149669883e-01,8.997462975892469572e-01,8.790242564113541768e-01,8.074386383030647263e-01,5.955282661027573310e-01,6.223072676096195188e-01,6.653168847732703339e-01,9.522111718429806526e-01,5.539005471363576127e-01,9.316019411009753837e-01,5.852245781405149838e-01
9.993331240440528340e-01,8.925857645707135912e-01,9.744778135051052059e-01,4.416318067427015270e-01,9.191492698786455362e-01,8.833238124186075790e-01,9.710298544775890495e-01,1.000000000000000000e+00,8.512527575417110359e-01,8.741535730577643104e-01,8.282538847491083267e-01,9.609944738134473807e-01,9.856085588089931182e-01,9.930208795192427829e-01,8.087420955942015155e-01,9.977877480192793858e-01,8.837923866462253919e-01,9.824748914275549527e-01
7.908965339006081008e-01,6.997876115679269038e-01,7.593544239719081101e-01,9.191492698786455362e-01,-2.220446049250313081e-16,8.299037119725330980e-01,8.544048913380553056e-01,4.511985651157768284e-01,8.994864461886517004e-01,8.269799247631148820e-01,9.089285883710951364e-01,8.381476983923775714e-01,7.706720211684469080e-01,7.773858311662443787e-01,8.665792189741481355e-01,7.647515191547681335e-01,8.473442416393153209e-01,7.893994933544985493e-01
1.000000000000000000e+00,8.931330559805481517e-01,8.941654490572882308e-01,8.833238124186075790e-01,8.299037119725330980e-01,1.110223024625156540e-16,7.076752143557792918e-01,8.788832248170166395e-01,4.537559477512420614e-01,8.860610149974695871e-01,9.920363277126635904e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.750222740562602297e-01,9.943566408762672948e-01,3.347974896368524078e-01,1.000000000000000000e+00
1.897318039154773928e-01,8.525860787203409785e-01,6.459615498841262404e-01,9.710298544775890495e-01,8.544048913380553056e-01,7.076752143557792918e-01,0.000000000000000000e+00,7.652346344053034821e-01,9.977739059697490198e-01,8.560061200069575271e-01,1.000000000000000000e+00,2.735802324883632730e-01,2.753076606461262177e-01,3.688609413084977806e-01,9.629988301277609963e-01,1.910216786893407237e-01,9.862908427580006077e-01,2.831323340490070617e-01
6.880775161667724849e-01,5.470489731171186421e-01,7.654068029149669883e-01,1.000000000000000000e+00,4.511985651157768284e-01,8.788832248170166395e-01,7.652346344053034821e-01,1.110223024625156540e-16,9.088138827220911820e-01,8.248252316472671763e-01,8.711739029580474192e-01,8.510886470981318119e-01,8.209714797221336902e-01,8.155626630310260916e-01,8.991610334108915970e-01,6.673993001930769164e-01,8.723513503670426994e-01,7.749841457175981052e-01
9.814018799984476349e-01,8.772237312593612613e-01,8.997462975892469572e-01,8.512527575417110359e-01,8.994864461886517004e-01,4.537559477512420614e-01,9.977739059697490198e-01,9.088138827220911820e-01,-2.220446049250313081e-16,9.771229327405654974e-01,9.765913375317508693e-01,9.565140797163964592e-01,9.822942485704065918e-01,9.449893388890032719e-01,3.720203365776686422e-01,9.874320144878064864e-01,7.157248177262511835e-01,9.482714937815596157e-01
9.016084699418559500e-01,6.240185774038489175e-01,8.790242564113541768e-01,8.741535730577643104e-01,8.269799247631148820e-01,8.860610149974695871e-01,8.560061200069575271e-01,8.248252316472671763e-01,9.771229327405654974e-01,0.000000000000000000e+00,7.625803925161567243e-01,8.412285501494816131e-01,8.358413427902701143e-01,8.130773931327797133e-01,9.131256837979837560e-01,8.842069242058399059e-01,8.555914757263018977e-01,8.284629495476103500e-01
