# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.141691340750772943e+00,1.000000000000000000e+00,9.734645251141189615e-01,9.811586716487123994e-01,9.485692787729911313e-01,4.672188946936228771e-01,1.000000000000000000e+00,9.947622799040554131e-01,1.000000000000000000e+00,9.268535168272521441e-01,7.644683161068914767e-01,9.988566460745306186e-01,1.046094572323930549e+00,9.126549119065662241e-01,6.427876419330568192e-01,9.690220593973463137e-01,1.000000000000000000e+00
1.141691340750772943e+00,0.000000000000000000e+00,9.987294837298799077e-01,1.259491352324218161e+00,9.557866460455985980e-01,1.119055058904443900e+00,9.172581056148119139e-01,9.404256421743436567e-01,1.385746853744782126e+00,1.115637021208067292e+00,1.376330102947163292e+00,1.320074610673188653e+00,1.296151962704633176e+00,8.662527827673387470e-01,1.088906127309148264e+00,9.656856135601900037e-01,1.118392962100811072e+00,1.312700456158494511e+00
1.000000000000000000e+00,9.987294837298799077e-01,0.000000000000000000e+00,9.524032788842052843e-01,8.695690590156577304e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.508129667799205764e-01,9.946505368897783361e-01,7.034269695569859149e-01,9.949372315487079454e-01,1.000000000000000000e+00,9.282443262351306457e-01,1.055461926787078397e+00,1.000000000000000000e+00,9.947264920733550619e-01,8.106032293837016622e-01,9.754435372173422270e-01
9.734645251141189615e-01,1.259491352324218161e+00,9.524032788842052843e-01,1.110223024625156540e-16,9.672747863745366770e-01,9.275928877116168536e-01,9.219942572381460977e-01,9.615637439240062312e-01,9.659116214461506145e-01,9.201414156139644529e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.639622154103052454e-01,1.216356623455252084e+00,9.614415944678254000e-01,8.473343668385280303e-01,9.344424706434644179e-01,1.000000000000000000e+00
9.811586716487123994e-01,9.557866460455985980e-01,8.695690590156577304e-01,9.672747863745366770e-01,-2.220446049250313081e-16,9.641904350562957582e-01,7.992158277719685344e-01,7.001189932117517500e-01,9.456364979709545038e-01,7.398509347874423492e-01,9.284343192811983503e-01,9.047685658931376995e-01,9.066229060582143839e-01,1.131476389502815483e+00,9.178018272160251012e-01,7.719017887003389866e-01,8.025439993659269078e-01,9.435979040394174566e-01
9.485692787729911313e-01,1.119055058904443900e+00,1.000000000000000000e+00,9.275928877116168536e-01,9.641904350562957582e-01,-2.220446049250313081e-16,9.379274444556864321e-01,1.000000000000000000e+00,9.545349306906292242e-01,9.305048905611479348e-01,9.750347248788089338e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.070914374114551482e+00,7.240183428148538880e-01,8.791227504899770118e-01,9.761351382759452244e-01,1.000000000000000000e+00
4.672188946936228771e-01,9.172581056148119139e-01,1.000000000000000000e+00,9.219942572381460977e-01,7.992158277719685344e-01,9.379274444556864321e-01,0.000000000000000000e+00,8.792244904500855496e-01,9.688755438404633713e-01,9.421947431874405643e-01,9.097463317189917742e-01,9.625626515830362218e-01,9.193508530992096084e-01,1.008437992492651869e+00,9.467360242999454112e-01,2.270185739023453664e-01,8.382264877072185261e-01,9.968630909279803110e-01
1.000000000000000000e+00,9.404256421743436567e-01,8.508129667799205764e-01,9.615637439240062312e-01,7.001189932117517500e-01,1.000000000000000000e+00,8.792244904500855496e-01,3.330669073875469621e-16,9.573655684238469021e-01,9.183601705709845131e-01,9.881365603424091537e-01,1.000000000000000000e+00,8.819574995389951599e-01,1.154041339042195080e+00,9.799397120546681217e-01,9.336748993487850035e-01,9.206567900649585967e-01,8.981008289784105925e-01
9.947622799040554131e-01,1.385746853744782126e+00,9.946505368897783361e-01,9.659116214461506145e-01,9.456364979709545038e-01,9.545349306906292242e-01,9.688755438404633713e-01,9.573655684238469021e-01,3.330669073875469621e-16,9.882524036549006352e-01,9.417943488767290816e-01,9.333121010200393641e-01,9.428236670415361953e-01,1.348797667870534012e+00,8.273484493496867653e-01,9.767691771655029331e-01,9.130466009114589498e-01,9.289657568197968729e-01
1.000000000000000000e+00,1.115637021208067292e+00,7.034269695569859149e-01,9.201414156139644529e-01,7.398509347874423492e-01,9.305048905611479348e-01,9.421947431874405643e-01,9.183601705709845131e-01,9.882524036549006352e-01,1.110223024625156540e-16,9.915801947336000399e-01,1.000000000000000000e+00,9.731013723312953445e-01,1.177567792782393763e+00,1.000000000000000000e+00,9.826944093472038677e-01,8.236169379464945983e-01,1.000000000000000000e+00
9.268535168272521441e-01,1.376330102947163292e+00,9.949372315487079454e-01,1.000000000000000000e+00,9.284343192811983503e-01,9.750347248788089338e-01,9.097463317189917742e-01,9.881365603424091537e-01,9.417943488767290816e-01,9.915801947336000399e-01,-2.220446049250313081e-16,9.837809548105922453e-01,9.119407368933127866e-01,1.217495912391085344e+00,9.328848399358025123e-01,9.127406433229720006e-01,9.693583779774199716e-01,9.674083546604912431e-01
7.644683161068914767e-01,1.320074610673188653e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.047685658931376995e-01,1.000000000000000000e+00,9.625626515830362218e-01,1.000000000000000000e+00,9.333121010200393641e-01,1.000000000000000000e+00,9.837809548105922453e-01,-2.220446049250313081e-16,5.609147153592615176e-01,1.258243729060292804e+00,9.388453638831361081e-01,9.736488947412844652e-01,9.290994464989091872e-01,1.286315918473746045e-01
9.988566460745306186e-01,1.296151962704633176e+00,9.282443262351306457e-01,9.639622154103052454e-01,9.066229060582143839e-01,1.000000000000000000e+00,9.193508530992096084e-01,8.819574995389951599e-01,9.428236670415361953e-01,9.731013723312953445e-01,9.119407368933127866e-01,5.609147153592615176e-01,-2.220446049250313081e-16,1.302639345218842948e+00,9.230467858672852799e-01,1.000000000000000000e+00,9.174891147616233145e-01,5.630621760297773726e-01
1.046094572323930549e+00,8.662527827673387470e-01,1.055461926787078397e+00,1.216356623455252084e+00,1.131476389502815483e+00,1.070914374114551482e+00,1.008437992492651869e+00,1.154041339042195080e+00,1.348797667870534012e+00,1.177567792782393763e+00,1.217495912391085344e+00,1.258243729060292804e+00,1.302639345218842948e+00,2.998037574633052316e-01,1.028463737420201252e+00,1.038637792281116745e+00,1.188937359509568914e+00,1.262160000715461194e+00
9.126549119065662241e-01,1.088906127309148264e+00,1.000000000000000000e+00,9.614415944678254000e-01,9.178018272160251012e-01,7.240183428148538880e-01,9.467360242999454112e-01,9.799397120546681217e-01,8.273484493496867653e-01,1.000000000000000000e+00,9.328848399358025123e-01,9.388453638831361081e-01,9.230467858672852799e-01,1.028463737420201252e+00,-2.220446049250313081e-16,9.196117956308609287e-01,8.423210904913809305e-01,9.276468902778546299e-01
6.427876419330568192e-01,9.656856135601900037e-01,9.947264920733550619e-01,8.473343668385280303e-01,7.719017887003389866e-01,8.791227504899770118e-01,2.270185739023453664e-01,9.336748993487850035e-01,9.767691771655029331e-01,9.826944093472038677e-01,9.127406433229720006e-01,9.736488947412844652e-01,1.000000000000000000e+00,1.038637792281116745e+00,9.196117956308609287e-01,0.000000000000000000e+00,8.178436223892185941e-01,9.627478113115154335e-01
