# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,8.247563401337808520e-01,5.905247578416676912e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.541528674521628783e-01,1.000000000000000000e+00,8.560442381628448061e-01,7.630322997434242360e-01,8.803372528567151578e-01,6.515695912084313868e-01,6.127820211773388204e-01,6.718019572257905025e-01,9.523443769716448681e-01,3.801419117395690161e-01,1.000000000000000000e+00,4.240150340470121293e-01
8.247563401337808520e-01,-2.220446049250313081e-16,1.000000000000000000e+00,6.390702516370745379e-01,7.062768622903412563e-01,9.373840135622744096e-01,9.904875060910750539e-01,9.633687497090823726e-01,9.713777501302391926e-01,9.397896425299293588e-01,9.225439308734790789e-01,7.374648105577553681e-01,9.487514833633707845e-01,9.219996460838622010e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.100848121586441186e-01,1.000000000000000000e+00
5.905247578416676912e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.635020160894124386e-01,1.000000000000000000e+00,9.545901463284053312e-01,5.286980152355962304e-01,1.000000000000000000e+00,9.900786700362025350e-01,7.728411513645558895e-01,9.714043790804910428e-01,7.243269736344630783e-01,6.696681749764068492e-01,7.269774691450587856e-01,8.572991098254600928e-01,4.468697956070208921e-01,9.917146380277904738e-01,5.341925763468221566e-01
1.000000000000000000e+00,6.390702516370745379e-01,9.635020160894124386e-01,2.220446049250313081e-16,9.098142123264539860e-01,8.868507116140348367e-01,1.000000000000000000e+00,9.635319230680378100e-01,9.202948743410660493e-01,7.503911848788872296e-01,9.148766103222893964e-01,9.961654889204772934e-01,8.826360131111933294e-01,9.894043276538093679e-01,9.395489351028237790e-01,9.354274870909147221e-01,9.192146851123030871e-01,9.203797027820662668e-01
1.000000000000000000e+00,7.062768622903412563e-01,1.000000000000000000e+00,9.098142123264539860e-01,0.000000000000000000e+00,9.506510783417151389e-01,1.000000000000000000e+00,8.348683361219024768e-01,9.728433355395698090e-01,9.282387672935071832e-01,9.203113579790844767e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.710261661614559836e-01,1.000000000000000000e+00,8.596654675536425927e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.373840135622744096e-01,9.545901463284053312e-01,8.868507116140348367e-01,9.506510783417151389e-01,-2.220446049250313081e-16,9.310198199241648265e-01,9.883792700166001977e-01,6.789271134469161417e-01,8.413311575491362326e-01,8.902969404619642813e-01,9.726971744275385579e-01,9.606618925035398382e-01,9.878495582612470960e-01,6.259985116812343264e-01,9.393809695985435582e-01,9.965167974547531893e-01,1.000000000000000000e+00
4.541528674521628783e-01,9.904875060910750539e-01,5.286980152355962304e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.310198199241648265e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.374001254407401396e-01,6.148550248989101963e-01,9.001244826898168183e-01,5.684853099479614258e-01,5.513126398236420922e-01,5.731010428797282952e-01,8.425421582710270751e-01,2.235951457404117271e-01,9.567832005487328928e-01,3.283482012711793629e-01
1.000000000000000000e+00,9.633687497090823726e-01,1.000000000000000000e+00,9.635319230680378100e-01,8.348683361219024768e-01,9.883792700166001977e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.207743473620428887e-01,9.243500693968376147e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.836616207603040563e-01,9.199309173013456853e-01
8.560442381628448061e-01,9.713777501302391926e-01,9.900786700362025350e-01,9.202948743410660493e-01,9.728433355395698090e-01,6.789271134469161417e-01,9.374001254407401396e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.039590774195752632e-01,8.609470632724577355e-01,9.285091945570735916e-01,8.369681965248267907e-01,9.586879741343270478e-01,3.921941683248755250e-01,9.311747771787692862e-01,9.618177304935622285e-01,9.117849800173998265e-01
7.630322997434242360e-01,9.397896425299293588e-01,7.728411513645558895e-01,7.503911848788872296e-01,9.282387672935071832e-01,8.413311575491362326e-01,6.148550248989101963e-01,9.207743473620428887e-01,9.039590774195752632e-01,0.000000000000000000e+00,7.053841842663310935e-01,8.872849800739451842e-01,8.450932660831516063e-01,7.786166265582747936e-01,9.247475862767625676e-01,7.164588849624244915e-01,8.697746712838516636e-01,7.428174612324753845e-01
