# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.420803906483040890e-01,9.526897588575804487e-01,8.742058471386436880e-01,8.625097295883032977e-01,8.637199248646251215e-01,9.426881630885426411e-01,9.553632234108593302e-01,8.827876910709363534e-01,8.753548398420849530e-01,8.740103697178829290e-01,9.627567173993312188e-01,8.724779870112394642e-01,5.250475076448095635e-01,1.000000000000000000e+00,5.937993445509981427e-02,9.683168702293336594e-01,7.628454993223381386e-01
8.420803906483040890e-01,0.000000000000000000e+00,9.776354886248782572e-01,6.709325903164651272e-01,8.573667356041535514e-01,9.931276747998524224e-01,9.733866825812693691e-01,7.923535320904582235e-01,9.768686053289622473e-01,9.241306602111558632e-01,8.941977691492917213e-01,9.757427050071472152e-01,9.756788967304963478e-01,8.552107656304770433e-01,8.800142145609303190e-01,8.150702826849571814e-01,9.786139063290956175e-01,9.953819978756726083e-01
9.526897588575804487e-01,9.776354886248782572e-01,0.000000000000000000e+00,9.002563300222142795e-01,1.000000000000000000e+00,8.144861136864740558e-01,9.191573978816572899e-01,8.546554968088252435e-01,9.763512834307643828e-01,9.049386759529813862e-01,9.358073542407101542e-01,8.502083033267067158e-01,9.714788790627554294e-01,9.618357715952116083e-01,9.942612534409263070e-01,8.559265421478267077e-01,9.548371072537532589e-01,8.871950871291942597e-01
8.742058471386436880e-01,6.709325903164651272e-01,9.002563300222142795e-01,0.000000000000000000e+00,8.473788861367255176e-01,9.171452795044500172e-01,9.282704535089503217e-01,9.371455854009127506e-01,9.233096486958096705e-01,7.563797426207569119e-01,8.486944294703535618e-01,9.281642430886132278e-01,8.957159421668068333e-01,9.556006426233349949e-01,9.156685240428145134e-01,8.537444129366835721e-01,9.721486122391362894e-01,8.398686704093454303e-01
8.625097295883032977e-01,8.573667356041535514e-01,1.000000000000000000e+00,8.473788861367255176e-01,0.000000000000000000e+00,9.601055374612067483e-01,1.000000000000000000e+00,9.478877161369735349e-01,7.803843083212873566e-01,9.152080030199638561e-01,9.906682274550944189e-01,9.967062499198040548e-01,1.000000000000000000e+00,7.965139790522738350e-01,8.128298317998907674e-01,8.970383554377200364e-01,9.247199174037459279e-01,8.070099537496945308e-01
8.637199248646251215e-01,9.931276747998524224e-01,8.144861136864740558e-01,9.171452795044500172e-01,9.601055374612067483e-01,0.000000000000000000e+00,9.407121048267055308e-01,9.935495591869218934e-01,1.000000000000000000e+00,8.768176127906155415e-01,9.266937962201804435e-01,1.000000000000000000e+00,9.819498095627653411e-01,8.444935149518170148e-01,9.975828655091668606e-01,8.950486098917531663e-01,9.894873979268888897e-01,9.076759559761085061e-01
9.426881630885426411e-01,9.733866825812693691e-01,9.191573978816572899e-01,9.282704535089503217e-01,1.000000000000000000e+00,9.407121048267055308e-01,4.919442111019343145e-01,9.481358902615304451e-01,9.771720197360260762e-01,8.452461046302200964e-01,8.508310078645717756e-01,7.853467997354331986e-01,7.818877226738167874e-01,9.637987469597019130e-01,9.120681031100233982e-01,9.064691013259109642e-01,9.562857856722277727e-01,9.642913999976400197e-01
9.553632234108593302e-01,7.923535320904582235e-01,8.546554968088252435e-01,9.371455854009127506e-01,9.478877161369735349e-01,9.935495591869218934e-01,9.481358902615306672e-01,3.902580933745943836e-01,9.590422786853356474e-01,9.780684135942403490e-01,8.727570787165714883e-01,9.541653341634739327e-01,9.790811217120030108e-01,9.698000093335658045e-01,9.824607004798162624e-01,9.121350075868294160e-01,8.424737839477425272e-01,7.646841013668375098e-01
8.827876910709363534e-01,9.768686053289622473e-01,9.763512834307643828e-01,9.233096486958096705e-01,7.803843083212873566e-01,1.000000000000000000e+00,9.771720197360260762e-01,9.590422786853356474e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.737939027137593184e-01,1.000000000000000000e+00,9.807574019534964771e-01,9.657157511817315854e-01,5.494064454206020187e-01,9.238726233271484789e-01,8.962168436772325331e-01,9.343837290432500664e-01
8.753548398420849530e-01,9.241306602111558632e-01,9.049386759529813862e-01,7.563797426207569119e-01,9.152080030199638561e-01,8.768176127906155415e-01,8.452461046302200964e-01,9.780684135942403490e-01,1.000000000000000000e+00,5.000000000000000000e-01,8.485131260489849891e-01,9.377427613766045056e-01,9.369687864358799967e-01,7.777786989995114642e-01,9.622046551858447483e-01,8.868590979907848837e-01,9.588208421142743187e-01,8.330939906039245280e-01
8.740103697178829290e-01,8.941977691492917213e-01,9.358073542407101542e-01,8.486944294703535618e-01,9.906682274550944189e-01,9.266937962201804435e-01,8.508310078645717756e-01,8.727570787165714883e-01,9.737939027137593184e-01,8.485131260489849891e-01,1.110223024625156540e-16,8.399196627128933113e-01,7.974969807282774603e-01,9.440241181052901887e-01,1.000000000000000000e+00,8.035213310077560234e-01,1.000000000000000000e+00,8.743104694766703489e-01
9.627567173993312188e-01,9.757427050071472152e-01,8.502083033267067158e-01,9.281642430886132278e-01,9.967062499198040548e-01,1.000000000000000000e+00,7.853467997354331986e-01,9.541653341634739327e-01,1.000000000000000000e+00,9.377427613766045056e-01,8.399196627128933113e-01,-2.220446049250313081e-16,2.392296644014866303e-01,9.197601945566877824e-01,9.089690006563536651e-01,9.699321694979506914e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.724779870112394642e-01,9.756788967304963478e-01,9.714788790627554294e-01,8.957159421668068333e-01,1.000000000000000000e+00,9.819498095627653411e-01,7.818877226738167874e-01,9.790811217120030108e-01,9.807574019534964771e-01,9.369687864358799967e-01,7.974969807282774603e-01,2.392296644014866303e-01,2.220446049250313081e-16,9.472060672789911484e-01,1.000000000000000000e+00,8.939935452828315920e-01,9.840675445573974223e-01,1.000000000000000000e+00
5.250475076448095635e-01,8.552107656304770433e-01,9.618357715952116083e-01,9.556006426233349949e-01,7.965139790522738350e-01,8.444935149518170148e-01,9.637987469597019130e-01,9.698000093335658045e-01,9.657157511817315854e-01,7.777786989995114642e-01,9.440241181052901887e-01,9.197601945566877824e-01,9.472060672789911484e-01,1.110223024625156540e-16,9.652992809174172351e-01,5.331462749133839552e-01,9.166041187017077707e-01,8.575912862792463009e-01
1.000000000000000000e+00,8.800142145609303190e-01,9.942612534409263070e-01,9.156685240428145134e-01,8.128298317998907674e-01,9.975828655091668606e-01,9.120681031100233982e-01,9.824607004798162624e-01,5.494064454206020187e-01,9.622046551858447483e-01,1.000000000000000000e+00,9.089690006563536651e-01,1.000000000000000000e+00,9.652992809174172351e-01,0.000000000000000000e+00,9.618694430640551962e-01,9.014713064397983366e-01,8.567524016576621992e-01
5.937993445509981427e-02,8.150702826849571814e-01,8.559265421478267077e-01,8.537444129366835721e-01,8.970383554377200364e-01,8.950486098917531663e-01,9.064691013259109642e-01,9.121350075868294160e-01,9.238726233271484789e-01,8.868590979907848837e-01,8.035213310077560234e-01,9.699321694979506914e-01,8.939935452828315920e-01,5.331462749133839552e-01,9.618694430640551962e-01,3.330669073875469621e-16,9.929090880206177250e-01,7.893112530081312084e-01
