# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.132710789157129083e-01,1.000000000000000000e+00,8.677332300389828390e-01,8.409565848255219356e-01,9.357194855390330579e-01,4.653807725133833895e-01,9.462387752453239598e-01,9.204949370074737569e-01,9.441333776417274448e-01,8.426909589771233167e-01,8.852604183154190176e-01,1.130860691021685627e+00,8.020073471760342798e-01,1.186858714960611794e+00,1.000000000000000000e+00,1.270192467200562225e+00,9.575749260045061106e-01
9.132710789157129083e-01,0.000000000000000000e+00,9.310163538214319967e-01,8.774250965352013987e-01,7.503514375818320925e-01,8.944856947229756772e-01,7.955638742155186627e-01,7.269033546603151930e-01,8.943754149953712096e-01,9.075653450920883047e-01,8.906144293379527621e-01,1.048491821391243528e+00,1.121108613607380899e+00,8.714534424499005283e-01,1.014130868790293460e+00,7.924137976974831021e-01,1.079829744025246230e+00,8.626796264910461254e-01
1.000000000000000000e+00,9.310163538214319967e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.812334537946326929e-01,1.000000000000000000e+00,9.890100099776235609e-01,9.488312641744715004e-01,9.029744948214395439e-01,8.747804092047047897e-01,1.000000000000000000e+00,9.900626581660273429e-01,9.528298837840094571e-01,9.489519596274674784e-01,1.080824485269792579e+00,9.769420551803057462e-01,9.321950570794770297e-01,1.000000000000000000e+00
8.677332300389828390e-01,8.774250965352013987e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.258051728178402495e-01,9.815644821520744800e-01,9.251097720330629937e-01,8.989860346607254638e-01,9.493197935863117998e-01,9.365016774255882082e-01,8.863488715824231479e-01,1.186561390560807450e+00,1.197950231092390627e+00,9.545793309066750165e-01,1.139425423160663975e+00,9.643656376362935712e-01,1.271748606105652435e+00,9.992239733644149302e-01
8.409565848255219356e-01,7.503514375818320925e-01,8.812334537946326929e-01,9.258051728178402495e-01,0.000000000000000000e+00,9.314925886199806326e-01,8.358436441450072252e-01,8.752401051915353891e-01,9.567718156833160403e-01,9.653886204605141019e-01,9.309167480374765935e-01,1.111265470752664131e+00,1.109577145504917928e+00,9.253705655144753850e-01,1.130039518135323995e+00,9.854657285580560311e-01,9.719416197903263388e-01,7.908142084413215533e-01
9.357194855390330579e-01,8.944856947229756772e-01,1.000000000000000000e+00,9.815644821520744800e-01,9.314925886199806326e-01,-2.220446049250313081e-16,8.473634821931590455e-01,8.263227944736162289e-01,9.159983123666889382e-01,8.632473979129692276e-01,9.502107387829108465e-01,9.365390397002818501e-01,1.101021558016707758e+00,9.799343341454707090e-01,9.410615262275553450e-01,4.984251083420799810e-01,1.018540958729147183e+00,9.620812868925717742e-01
4.653807725133833895e-01,7.955638742155186627e-01,9.890100099776235609e-01,9.251097720330629937e-01,8.358436441450072252e-01,8.473634821931590455e-01,1.110223024625156540e-16,7.900469044064113433e-01,9.201927602210124846e-01,9.210777222175393630e-01,9.312994001516071707e-01,8.266524875030789588e-01,1.044892630303381198e+00,7.701245048948739402e-01,1.075447824968558397e+00,9.782971152550118399e-01,1.121407269640690485e+00,9.465359801113315541e-01
9.462387752453239598e-01,7.269033546603151930e-01,9.488312641744715004e-01,8.989860346607254638e-01,8.752401051915353891e-01,8.263227944736162289e-01,7.900469044064113433e-01,2.220446049250313081e-16,9.249814423570368316e-01,9.501334315840894718e-01,9.350657534005547555e-01,9.474423216517303681e-01,1.189592053395867932e+00,9.636812639071037356e-01,1.022301952052778518e+00,7.751896022864775970e-01,1.143395426582878738e+00,8.938407426105562381e-01
9.204949370074737569e-01,8.943754149953712096e-01,9.029744948214395439e-01,9.493197935863117998e-01,9.567718156833160403e-01,9.159983123666889382e-01,9.201927602210124846e-01,9.249814423570368316e-01,-2.220446049250313081e-16,9.800672632752457369e-01,9.633494775034943114e-01,1.238631561499868861e+00,1.287344149510191382e+00,9.458923361872695335e-01,1.319027935500656668e+00,9.889652117813954035e-01,1.236831401930380103e+00,9.427386257704001293e-01
9.441333776417274448e-01,9.075653450920883047e-01,8.747804092047047897e-01,9.365016774255882082e-01,9.653886204605141019e-01,8.632473979129692276e-01,9.210777222175393630e-01,9.501334315840894718e-01,9.800672632752457369e-01,3.446264219463876510e-01,9.234496434425762956e-01,1.198031380221177500e+00,1.258855255554713892e+00,9.940692169338986028e-01,1.110385938780529047e+00,8.787105895087261587e-01,1.181058224503163556e+00,9.478575527191309691e-01
