# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,8.950141506828238613e-01,4.558608618452186789e-01,7.545227342505322898e-01,1.000000000000000000e+00,8.532363402439793187e-01,4.161843194642669275e-01,9.618156372478651184e-01,1.154118950736944260e+00,9.254032944988670462e-01,8.213940371156014386e-01,7.865426219655224926e-01,1.000000000000000000e+00,6.108148499874150872e-01,1.235066262864769282e+00,3.699114585734050165e-01,9.952159763694521377e-01,9.112079540119899512e-01
8.950141506828238613e-01,-2.220446049250313081e-16,9.440672688615215913e-01,1.000000000000000000e+00,4.262890707501801879e-01,9.924912694999199481e-01,9.551804121025211369e-01,1.000000000000000000e+00,1.112045383636150353e+00,9.481961019116585954e-01,8.936928414868779980e-01,8.994739223323772181e-01,1.000000000000000000e+00,9.860697960551380037e-01,1.183460790988219546e+00,9.369286112686063817e-01,9.367938969574008956e-01,9.808486092816568469e-01
4.558608618452186789e-01,9.440672688615215913e-01,0.000000000000000000e+00,9.095401043877039404e-01,1.000000000000000000e+00,8.820489464004011015e-01,4.342860592316468704e-01,9.483310784644853886e-01,1.017170457556436869e+00,9.205964867611088343e-01,8.705647050244007534e-01,4.572265556469351511e-01,1.000000000000000000e+00,4.951730667838998290e-01,1.062838825566587042e+00,3.922236327440008496e-01,9.455647028077567295e-01,7.238051572173146431e-01
7.545227342505322898e-01,1.000000000000000000e+00,9.095401043877039404e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.662898130693118315e-01,8.346055812858838019e-01,9.966775075399241235e-01,1.184481576455315599e+00,8.734954448495786394e-01,8.122692619367384292e-01,9.993308302370220719e-01,1.000000000000000000e+00,8.787823311622315892e-01,1.240094255337121254e+00,8.312992885385831476e-01,9.874958838226265412e-01,1.051735789287182143e+00
1.000000000000000000e+00,4.262890707501801879e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.330669073875469621e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.101876029019396741e+00,9.150008627860684030e-01,9.858114233800965298e-01,9.440465599487828374e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.172450458861162836e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.044135005270396377e+00
8.532363402439793187e-01,9.924912694999199481e-01,8.820489464004011015e-01,9.662898130693118315e-01,1.000000000000000000e+00,-4.440892098500626162e-16,9.189416481398479108e-01,9.191781058587424891e-01,1.014334262168966605e+00,9.104421834543257042e-01,9.454986063420368625e-01,8.606473723676443255e-01,9.687288831269875722e-01,9.221827898634692433e-01,1.195544605009409400e+00,9.084646898123885927e-01,1.000000000000000000e+00,8.979762735633549653e-01
4.161843194642669275e-01,9.551804121025211369e-01,4.342860592316468704e-01,8.346055812858838019e-01,1.000000000000000000e+00,9.189416481398479108e-01,2.220446049250313081e-16,9.524729738235220289e-01,1.091695662290344870e+00,9.270776234736540777e-01,7.942906445819156724e-01,6.498040890425398342e-01,9.922000583749581715e-01,5.999927824032557089e-01,1.166067985204407353e+00,2.512504632542987837e-01,9.293739091473021130e-01,8.168173992211890111e-01
9.618156372478651184e-01,1.000000000000000000e+00,9.483310784644853886e-01,9.966775075399241235e-01,1.000000000000000000e+00,9.191781058587424891e-01,9.524729738235220289e-01,1.110223024625156540e-16,1.103746030216322227e+00,1.000000000000000000e+00,9.956916975859391172e-01,9.218459124714603048e-01,8.654751319329975212e-01,1.000000000000000000e+00,1.225497743726984279e+00,9.240263687065961573e-01,9.814428148681205721e-01,8.959818672585011523e-01
1.154118950736944260e+00,1.112045383636150353e+00,1.017170457556436869e+00,1.184481576455315599e+00,1.101876029019396741e+00,1.014334262168966605e+00,1.091695662290344870e+00,1.103746030216322227e+00,1.110223024625156540e-16,1.216240486790860276e+00,1.180470158947251491e+00,1.050306059445464513e+00,1.097408610449929212e+00,1.015252534637421711e+00,1.277154619790818568e+00,1.099190502059370633e+00,1.211765456315627265e+00,1.079439770141604527e+00
9.254032944988670462e-01,9.481961019116585954e-01,9.205964867611088343e-01,8.734954448495786394e-01,9.150008627860684030e-01,9.104421834543257042e-01,9.270776234736540777e-01,1.000000000000000000e+00,1.216240486790860276e+00,0.000000000000000000e+00,8.827072721675075506e-01,9.253786046985373881e-01,9.991773336951418338e-01,9.094359130728207896e-01,1.104230147262020845e+00,9.146310906888761583e-01,1.000000000000000000e+00,1.005048459748667522e+00
