# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,1.000000000000000000e+00,7.022827513955086642e-01,8.837902552100271869e-01,1.000000000000000000e+00,8.713392937733506205e-01,8.016978857383048052e-01,9.991708832335555179e-01,9.941153841344511077e-01,1.158220202087258510e+00,1.000000000000000000e+00,7.676336508781390622e-01,1.000000000000000000e+00,7.490962021986626862e-01,8.425519336380796753e-01,1.000000000000000000e+00,9.202946243759297928e-01,1.122023925928274934e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.713612592289158076e-01,9.854330920006797445e-01,1.000000000000000000e+00,9.319671515232192949e-01,9.869653351449031442e-01,9.658377879877427796e-01,8.454078414316046342e-01,1.221093878511279263e+00,8.950036656459643414e-01,1.000000000000000000e+00,9.321339758526444585e-01,1.000000000000000000e+00,9.392123778381530341e-01,9.315797034285706602e-01,1.000000000000000000e+00,1.044136198598410781e+00
7.022827513955086642e-01,9.713612592289158076e-01,0.000000000000000000e+00,9.125137118702063566e-01,8.076382939495236890e-01,7.868313949432569343e-01,7.848424163200617976e-01,9.669395808718217467e-01,1.000000000000000000e+00,1.007289630694355287e+00,8.414660913203148018e-01,7.671811126178305074e-01,9.051139665420644409e-01,6.000809577077271806e-01,7.913416881619301790e-01,9.841774274926285981e-01,9.157638459209630488e-01,1.029675817767855328e+00
8.837902552100271869e-01,9.854330920006797445e-01,9.125137118702063566e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.751464024746112624e-01,9.685424728322575838e-01,1.000000000000000000e+00,9.983288514829753435e-01,1.140236437791001034e+00,8.265942713468330538e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.168644251391774302e-01,9.706797214516871275e-01,8.967100034717907509e-01,9.930837035495523324e-01,1.158271646508740815e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.076382939495236890e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.924559996274167295e-01,9.804602589763702358e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.130497075349820024e+00,1.000000000000000000e+00,7.776816415327952869e-01,1.000000000000000000e+00,8.937239153755915932e-01,8.933634542205766138e-01,9.944113094541618958e-01,9.781624054782619426e-01,9.763671835080987016e-01
8.713392937733506205e-01,9.319671515232192949e-01,7.868313949432569343e-01,9.751464024746112624e-01,8.924559996274167295e-01,0.000000000000000000e+00,8.376209602503776885e-01,9.726039923461676784e-01,8.912891683818834343e-01,1.118664199662576131e+00,9.895919377911546189e-01,6.071389641958584438e-01,9.094885841686972672e-01,8.075153578631379947e-01,2.963163275331037738e-01,9.665438694795996932e-01,9.447547506305000731e-01,1.009274352034270628e+00
8.016978857383048052e-01,9.869653351449031442e-01,7.848424163200617976e-01,9.685424728322575838e-01,9.804602589763702358e-01,8.376209602503776885e-01,1.110223024625156540e-16,9.858415980664150258e-01,1.000000000000000000e+00,1.090970844035390019e+00,9.605218244033763009e-01,6.500543633553692580e-01,8.223784930828463846e-01,7.137977763433928091e-01,8.384703825711984360e-01,8.925256589321720613e-01,7.828165891557787859e-01,1.054656629899322962e+00
9.991708832335555179e-01,9.658377879877427796e-01,9.669395808718217467e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.726039923461676784e-01,9.858415980664150258e-01,2.220446049250313081e-16,1.000000000000000000e+00,1.048031646881582013e+00,9.955063149865714944e-01,9.706245387777420186e-01,9.251399185886270971e-01,9.986885166121685087e-01,9.811550414189875724e-01,7.907957723874451395e-01,1.000000000000000000e+00,1.069412664125594326e+00
9.941153841344511077e-01,8.454078414316046342e-01,1.000000000000000000e+00,9.983288514829753435e-01,1.000000000000000000e+00,8.912891683818834343e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.295684247611806006e+00,8.612955117253088266e-01,9.382390644585665296e-01,9.070415228330036550e-01,9.880586794952704865e-01,8.850493721289254268e-01,9.176354613580308683e-01,7.844047683213315469e-01,1.105378208125923134e+00
1.158220202087258510e+00,1.221093878511279263e+00,1.007289630694355287e+00,1.140236437791001034e+00,1.130497075349820024e+00,1.118664199662576131e+00,1.090970844035390019e+00,1.048031646881582013e+00,1.295684247611806006e+00,1.110223024625156540e-16,1.197012276862637892e+00,1.096769408493807552e+00,1.112102127553634690e+00,1.030747095621334930e+00,1.110021420064280839e+00,1.019276869621009496e+00,1.073628681093578230e+00,1.123648282902282469e+00
1.000000000000000000e+00,8.950036656459643414e-01,8.414660913203148018e-01,8.265942713468330538e-01,1.000000000000000000e+00,9.895919377911546189e-01,9.605218244033763009e-01,9.955063149865714944e-01,8.612955117253088266e-01,1.197012276862637892e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.440637023188187538e-01,9.827317700579425441e-01,7.897569707587487331e-01,9.846505476713267591e-01,1.068922245159055429e+00
7.676336508781390622e-01,1.000000000000000000e+00,7.671811126178305074e-01,1.000000000000000000e+00,7.776816415327952869e-01,6.071389641958584438e-01,6.500543633553692580e-01,9.706245387777420186e-01,9.382390644585665296e-01,1.096769408493807552e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.431344646430044998e-01,9.095343719576548525e-01,8.453658110450462670e-01,9.364416354770164208e-01,9.578277551011233903e-01,9.758806352704300080e-01
1.000000000000000000e+00,9.321339758526444585e-01,9.051139665420644409e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.094885841686972672e-01,8.223784930828463846e-01,9.251399185886270971e-01,9.070415228330036550e-01,1.112102127553634690e+00,1.000000000000000000e+00,6.431344646430044998e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.219931469884827813e-01,9.392729526601090173e-01,8.855742779882258553e-01,8.313884759747794950e-01
7.490962021986626862e-01,1.000000000000000000e+00,6.000809577077271806e-01,9.168644251391774302e-01,8.937239153755915932e-01,8.075153578631379947e-01,7.137977763433928091e-01,9.986885166121685087e-01,9.880586794952704865e-01,1.030747095621334930e+00,9.440637023188187538e-01,9.095343719576548525e-01,1.000000000000000000e+00,1.110223024625156540e-16,7.852261196712760905e-01,9.828944182763202919e-01,9.100303295996011732e-01,1.072877189101649975e+00
8.425519336380796753e-01,9.392123778381530341e-01,7.913416881619301790e-01,9.706797214516871275e-01,8.933634542205766138e-01,2.963163275331037738e-01,8.384703825711984360e-01,9.811550414189875724e-01,8.850493721289254268e-01,1.110021420064280839e+00,9.827317700579425441e-01,8.453658110450462670e-01,9.219931469884827813e-01,7.852261196712760905e-01,0.000000000000000000e+00,9.378963812152170121e-01,9.611058138214211288e-01,9.196131062609018691e-01
1.000000000000000000e+00,9.315797034285706602e-01,9.841774274926285981e-01,8.967100034717907509e-01,9.944113094541618958e-01,9.665438694795996932e-01,8.925256589321720613e-01,7.907957723874451395e-01,9.176354613580308683e-01,1.019276869621009496e+00,7.897569707587487331e-01,9.364416354770164208e-01,9.392729526601090173e-01,9.828944182763202919e-01,9.378963812152170121e-01,0.000000000000000000e+00,9.111674894287297155e-01,9.775231458814022112e-01
