# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,5.848211295678029664e-01,8.973855210198978805e-01,8.383684174975385428e-01,8.751119011884909149e-01,8.648717937019184676e-01,3.257568922157541569e-01,5.815054831474808505e-01,9.520257068533279909e-01,1.000000000000000000e+00,9.552153367402106410e-01,2.531082193124484236e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.154719154696484562e-01,1.731945906417070580e-01,7.803209943452489306e-01,8.104587474026491156e-01
5.848211295678029664e-01,2.220446049250313081e-16,9.063925783276196579e-01,1.000000000000000000e+00,7.463574612490191384e-01,8.462979164847259650e-01,6.785159262617743714e-01,2.179142833115920164e-01,9.752379947453392317e-01,9.838900842784841227e-01,9.813830591956965721e-01,5.708239233002059265e-01,1.000000000000000000e+00,8.949754738992167225e-01,9.212156691958475196e-01,1.377241464306425689e-01,8.671840514307573855e-01,8.545993684881278973e-01
8.973855210198978805e-01,9.063925783276196579e-01,2.220446049250313081e-16,9.105251743984014157e-01,9.786610620625606494e-01,1.000000000000000000e+00,8.470135957781103064e-01,8.766239053850339857e-01,8.741023839252233252e-01,1.000000000000000000e+00,9.854654504340157883e-01,7.490372211843234762e-01,9.652091132393583184e-01,7.088758934272241241e-01,8.259069936592586814e-01,7.286599118816214915e-01,7.888968040745996113e-01,6.680832402327272490e-01
8.383684174975385428e-01,1.000000000000000000e+00,9.105251743984014157e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.898263268193444819e-01,9.235072000384509927e-01,1.000000000000000000e+00,9.940985362103631484e-01,9.488034668679696804e-01,7.905379250611361819e-01,9.418313477631777841e-01,1.000000000000000000e+00,9.181993514503952181e-01,9.888418243387967488e-01,9.018924125436871275e-01,9.911902079329577564e-01,9.831572665064010064e-01
8.751119011884909149e-01,7.463574612490191384e-01,9.786610620625606494e-01,1.000000000000000000e+00,3.667732865863555514e-01,7.748825986642462471e-01,8.714813995077008713e-01,6.872867323019651309e-01,9.715345452844482699e-01,8.856146364723607167e-01,9.737204865520082686e-01,8.649906379419025626e-01,9.442000718376106772e-01,9.948695087808010484e-01,9.275433220137959678e-01,8.134168523103891824e-01,9.407366267322674336e-01,8.671917957737826921e-01
8.648717937019184676e-01,8.462979164847259650e-01,1.000000000000000000e+00,8.898263268193444819e-01,7.748825986642462471e-01,1.110223024625156540e-16,8.284824240949705265e-01,8.280721862253004328e-01,9.692507136213319718e-01,7.449024499676524247e-01,8.424165770223883687e-01,8.354100933920294292e-01,1.000000000000000000e+00,9.752334898815399056e-01,8.357932606751717897e-01,8.416986656040306158e-01,8.715223167570297358e-01,1.000000000000000000e+00
3.257568922157541569e-01,6.785159262617743714e-01,8.470135957781103064e-01,9.235072000384509927e-01,8.714813995077009823e-01,8.284824240949705265e-01,1.383888039577312878e-01,5.998242383059422256e-01,9.823005116970132677e-01,9.540953928809150497e-01,9.713945373791057492e-01,3.571715816877391036e-01,1.000000000000000000e+00,9.335380001351116785e-01,9.058602363516097267e-01,3.258329983714782219e-01,8.246496142337589319e-01,8.545135816540255780e-01
5.815054831474808505e-01,2.179142833115920164e-01,8.766239053850339857e-01,1.000000000000000000e+00,6.872867323019651309e-01,8.280721862253004328e-01,5.998242383059422256e-01,0.000000000000000000e+00,9.852490358520746838e-01,9.523596083552576808e-01,1.000000000000000000e+00,5.352792952448741648e-01,1.000000000000000000e+00,8.591839154722898941e-01,9.274663635964711661e-01,5.857484717955518949e-01,7.899681425722095973e-01,8.308294428148319533e-01
9.520257068533279909e-01,9.752379947453392317e-01,8.741023839252233252e-01,9.940985362103631484e-01,9.715345452844482699e-01,9.692507136213319718e-01,9.823005116970132677e-01,9.852490358520746838e-01,1.110223024625156540e-16,9.617128789256444987e-01,9.450904515149367580e-01,9.962980101202459915e-01,9.658155093012442682e-01,9.841246007647209693e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.809604541091783370e-01,9.647913196085613485e-01
1.000000000000000000e+00,9.838900842784841227e-01,1.000000000000000000e+00,9.488034668679696804e-01,8.856146364723607167e-01,7.449024499676524247e-01,9.540953928809150497e-01,9.523596083552576808e-01,9.617128789256444987e-01,0.000000000000000000e+00,8.366200302693713731e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.686538697736373216e-01,8.779503975601108401e-01,9.976653777029897974e-01,9.554142936165693767e-01,9.440102302954037627e-01
