# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.903117375350798834e-01,8.684812242697717011e-01,7.676253408844253556e-01,9.889326756766905202e-01,9.576370033957390948e-01,9.804567636694799804e-01,6.105339833662555282e-01,8.308705855411677721e-01,9.497265412113065075e-01,9.323241952576443170e-01,9.971773029407318134e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.018753787103019892e-01,9.464205852333480440e-01,4.261039854578823061e-01,9.806186890140825563e-01,8.642872667917824714e-01
8.684812242697717011e-01,4.437983724783631789e-01,9.247654505720739326e-01,9.001757457778902793e-01,8.833486727499544333e-01,9.608936321827712401e-01,7.550322499346679983e-01,7.042616514565895880e-01,8.746141010637612512e-01,8.912917026082021188e-01,9.734057610580026942e-01,9.206433836702396789e-01,9.212643244501437234e-01,8.691824775124961100e-01,9.626448565987573147e-01,8.343787446025481280e-01,9.932331808668833917e-01,9.366401055580199086e-01
7.676253408844253556e-01,9.247654505720739326e-01,0.000000000000000000e+00,9.974484815968955864e-01,9.977921675152567893e-01,8.719166052984365090e-01,8.456122910327477094e-01,9.916705986357190472e-01,9.050234712383403712e-01,9.089513669159045017e-01,9.865300049515700609e-01,7.026803416801612467e-01,1.000000000000000000e+00,9.384314277880357880e-01,9.444111914038034739e-01,6.369135117493975873e-01,9.075291954358031266e-01,9.018178856966324597e-01
9.889326756766905202e-01,9.001757457778903904e-01,9.974484815968955864e-01,2.341567122173476012e-01,9.619100808310250272e-01,9.454171798420841766e-01,9.743815434736757819e-01,9.139407114582287495e-01,1.000000000000000000e+00,9.342998812696881039e-01,9.449968348600783496e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.304126291047041253e-01,1.000000000000000000e+00,9.811595124162231230e-01,9.784539857601166624e-01,9.021399383189666610e-01
9.576370033957390948e-01,8.833486727499544333e-01,9.977921675152567893e-01,9.619100808310250272e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.576667063295470017e-01,8.695978748139314707e-01,1.000000000000000000e+00,9.180495095728730126e-01,9.694640418273734461e-01,9.685913752355289619e-01,9.881764033563611438e-01,9.462583146955395597e-01,9.140721890770084901e-01,9.548293488276340391e-01,9.861272466277128945e-01,9.378564360153934798e-01
9.804567636694799804e-01,9.608936321827712401e-01,8.719166052984365090e-01,9.454171798420841766e-01,1.000000000000000000e+00,-2.220446049250313081e-16,8.853922497514401524e-01,9.478124222812662758e-01,7.769781881677695345e-01,9.653748530124989236e-01,9.406758255866172203e-01,9.935911749106041135e-01,9.871727696011426412e-01,9.726118868526228978e-01,9.617567775689881415e-01,9.701144852524830053e-01,7.293703586104486325e-01,9.688597821568908364e-01
6.105339833662555282e-01,7.550322499346679983e-01,8.456122910327477094e-01,9.743815434736757819e-01,8.576667063295470017e-01,8.853922497514401524e-01,2.220446049250313081e-16,8.863530503695935536e-01,9.438474966510009834e-01,9.644304775983449929e-01,9.808809970589873473e-01,9.885578506904707519e-01,1.000000000000000000e+00,8.608810705979854649e-01,9.726942467864672093e-01,4.864793425878722877e-01,9.281508821093332751e-01,9.325846465002711749e-01
8.308705855411677721e-01,7.042616514565895880e-01,9.916705986357190472e-01,9.139407114582287495e-01,8.695978748139314707e-01,9.478124222812662758e-01,8.863530503695935536e-01,4.780837222396869812e-01,9.942089803429134953e-01,9.324886176882239974e-01,9.812712803682825946e-01,9.510099887869527535e-01,9.744608280275666168e-01,9.361981710360862685e-01,9.386518564198549353e-01,9.335140619904536141e-01,9.961109754458389309e-01,8.626526063631106966e-01
9.497265412113065075e-01,8.746141010637612512e-01,9.050234712383403712e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.769781881677695345e-01,9.438474966510009834e-01,9.942089803429134953e-01,2.220446049250313081e-16,9.828845206611909191e-01,1.000000000000000000e+00,9.730398001840155908e-01,9.693248595787806732e-01,9.438730026026012077e-01,9.786813702347790800e-01,9.805959463444939850e-01,8.940052673374607739e-01,9.814438660963813454e-01
9.323241952576443170e-01,8.912917026082022298e-01,9.089513669159045017e-01,9.342998812696881039e-01,9.180495095728730126e-01,9.653748530124989236e-01,9.644304775983449929e-01,9.324886176882239974e-01,9.828845206611909191e-01,6.188974944366112396e-01,9.476097734161873509e-01,9.788048646041819234e-01,1.000000000000000000e+00,9.590714024372372082e-01,9.443845676936531985e-01,9.697968438629335219e-01,9.644277814549327976e-01,9.070007323582512937e-01
9.971773029407318134e-01,9.734057610580026942e-01,9.865300049515700609e-01,9.449968348600783496e-01,9.694640418273734461e-01,9.406758255866172203e-01,9.808809970589873473e-01,9.812712803682825946e-01,1.000000000000000000e+00,9.476097734161873509e-01,1.110223024625156540e-16,9.632505177251440287e-01,9.841509039306486351e-01,9.643148723971688430e-01,9.660198904252134122e-01,9.666708353764215111e-01,1.000000000000000000e+00,9.676818431736190496e-01
1.000000000000000000e+00,9.206433836702396789e-01,7.026803416801612467e-01,1.000000000000000000e+00,9.685913752355289619e-01,9.935911749106041135e-01,9.885578506904707519e-01,9.510099887869527535e-01,9.730398001840155908e-01,9.788048646041819234e-01,9.632505177251440287e-01,0.000000000000000000e+00,2.340941404461495123e-01,9.520448173901590039e-01,9.110301647386109813e-01,9.975022003300842988e-01,1.000000000000000000e+00,5.300396701112843889e-01
1.000000000000000000e+00,9.212643244501437234e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.881764033563611438e-01,9.871727696011426412e-01,1.000000000000000000e+00,9.744608280275666168e-01,9.693248595787806732e-01,1.000000000000000000e+00,9.841509039306486351e-01,2.340941404461495123e-01,1.110223024625156540e-16,8.463800461502668515e-01,9.197310776225812168e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.451204478780369511e-01
