# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,7.495086270569748521e-01,6.815381989284163833e-01,9.032688654901843694e-01,7.598021974540672963e-01,7.489433711174884323e-01,4.580388871070776302e-01,7.974423970401597339e-01,9.574957465232376563e-01,8.089983930524491385e-01,7.741321958730535968e-01,6.228963644706677627e-01,8.600716552131872916e-01,7.491862644160316442e-01,8.267568820166011356e-01,5.192911099259016616e-01,9.023069516457694617e-01,5.372590583468233039e-01
7.495086270569748521e-01,-2.220446049250313081e-16,7.602207650606330747e-01,9.391104173612880857e-01,6.694887755076166513e-01,7.487334099031319745e-01,7.101983725232043909e-01,4.985919367114424183e-01,9.622770734522699820e-01,7.449843506533588844e-01,7.364534158015016985e-01,7.263433121460731723e-01,9.232922544111881180e-01,7.993890055455843413e-01,9.272511557578674291e-01,7.603548575734750958e-01,9.460087130029006808e-01,7.835905195651093891e-01
6.815381989284163833e-01,7.602207650606330747e-01,0.000000000000000000e+00,9.820501372184468059e-01,5.766809338991237821e-01,8.786550407353107550e-01,5.249303346373747070e-01,7.100064058594872662e-01,1.000000000000000000e+00,8.428405622755467119e-01,7.712210312859194561e-01,6.491068177214702750e-01,9.765335430058214028e-01,6.695309005543577108e-01,9.180876193100037108e-01,6.329251356172200804e-01,8.808834787376792486e-01,6.888982737503070997e-01
9.032688654901843694e-01,9.391104173612880857e-01,9.820501372184468059e-01,3.561181569810671910e-01,9.419439586352075233e-01,9.117062744125987717e-01,9.178874640069289992e-01,8.742344858257724560e-01,8.093694679903552514e-01,8.887515593536094993e-01,8.307169306065604886e-01,8.515502524279060514e-01,9.665928006852156917e-01,9.575524824236211208e-01,9.194410331113879176e-01,8.539675603223051414e-01,9.025152448642966840e-01,8.402290618712803250e-01
7.598021974540672963e-01,6.694887755076166513e-01,5.766809338991237821e-01,9.419439586352075233e-01,1.646089896650270168e-01,8.576411352149140299e-01,6.934308509682771682e-01,4.184935517442804342e-01,9.011765321525383454e-01,7.214558366677137347e-01,8.929001844637542984e-01,7.552894855266809593e-01,8.183405338955558328e-01,9.026557987992100962e-01,9.399777111317779710e-01,7.503547604903323398e-01,9.708550819410202148e-01,7.565298530441013636e-01
7.489433711174884323e-01,7.487334099031319745e-01,8.786550407353107550e-01,9.117062744125987717e-01,8.576411352149140299e-01,1.110223024625156540e-16,8.058530554748132291e-01,7.185413181005124716e-01,8.167645447936294767e-01,7.598300438263821954e-01,7.628912930056236386e-01,8.084906170906711598e-01,9.171449642567364169e-01,7.165691409667531708e-01,8.705319831293938382e-01,8.519200486568345720e-01,9.902943705924001083e-01,8.746709957956015913e-01
4.580388871070776302e-01,7.101983725232043909e-01,5.249303346373747070e-01,9.178874640069289992e-01,6.934308509682771682e-01,8.058530554748132291e-01,0.000000000000000000e+00,6.766457865849407893e-01,9.568397111356896634e-01,8.212733728298124980e-01,7.954273629953730884e-01,4.697721088453801208e-01,8.836908201258324436e-01,6.419134026272544924e-01,8.477580929777119856e-01,4.260616821544128685e-01,8.928331280149918170e-01,4.842043585822034535e-01
7.974423970401597339e-01,4.985919367114424183e-01,7.100064058594872662e-01,8.742344858257724560e-01,4.184935517442804342e-01,7.185413181005124716e-01,6.766457865849407893e-01,0.000000000000000000e+00,7.894544181479579148e-01,6.879633400553886169e-01,8.623409530453417515e-01,8.031426583172233125e-01,9.570025087342058923e-01,1.000000000000000000e+00,8.034982706230932026e-01,7.610043783691569086e-01,1.000000000000000000e+00,7.763504810164496561e-01
9.574957465232376563e-01,9.622770734522699820e-01,1.000000000000000000e+00,8.093694679903552514e-01,9.011765321525383454e-01,8.167645447936294767e-01,9.568397111356896634e-01,7.894544181479579148e-01,0.000000000000000000e+00,9.640538216104156399e-01,9.311155571131188857e-01,8.461658907899162196e-01,9.137641601156587523e-01,9.585351332623767151e-01,8.707489955389959846e-01,8.500204727683249306e-01,9.409314367087937558e-01,8.444960835992711967e-01
8.089983930524491385e-01,7.449843506533588844e-01,8.428405622755467119e-01,8.887515593536094993e-01,7.214558366677137347e-01,7.598300438263821954e-01,8.212733728298124980e-01,6.879633400553886169e-01,9.640538216104156399e-01,1.110223024625156540e-16,8.162130603411360541e-01,8.872148046825034662e-01,9.266233236131171669e-01,1.000000000000000000e+00,9.281350115776858534e-01,8.699111497807947568e-01,9.703217543878259743e-01,8.498964113170861534e-01
7.741321958730535968e-01,7.364534158015016985e-01,7.712210312859194561e-01,8.307169306065604886e-01,8.929001844637542984e-01,7.628912930056236386e-01,7.954273629953730884e-01,8.623409530453417515e-01,9.311155571131188857e-01,8.162130603411360541e-01,0.000000000000000000e+00,7.759990186246347177e-01,9.117552383387849124e-01,7.779944144917085858e-01,9.572817509310251882e-01,7.707849716431470766e-01,9.207892949816086636e-01,7.551515864823170610e-01
6.228963644706677627e-01,7.263433121460731723e-01,6.491068177214702750e-01,8.515502524279060514e-01,7.552894855266809593e-01,8.084906170906711598e-01,4.697721088453801208e-01,8.031426583172233125e-01,8.461658907899162196e-01,8.872148046825034662e-01,7.759990186246347177e-01,-2.220446049250313081e-16,8.295271246117597030e-01,6.433113638078704621e-01,8.722541409205440965e-01,3.416755532477410151e-01,8.574916943399265579e-01,1.669815319218417304e-01
8.600716552131872916e-01,9.232922544111881180e-01,9.765335430058214028e-01,9.665928006852156917e-01,8.183405338955558328e-01,9.171449642567364169e-01,8.836908201258324436e-01,9.570025087342058923e-01,9.137641601156587523e-01,9.266233236131171669e-01,9.117552383387849124e-01,8.295271246117597030e-01,0.000000000000000000e+00,9.816849785658847694e-01,9.255351905780782040e-01,7.836047648291617485e-01,9.660775013130743494e-01,6.026334539457860462e-01
7.491862644160316442e-01,7.993890055455843413e-01,6.695309005543577108e-01,9.575524824236211208e-01,9.026557987992100962e-01,7.165691409667531708e-01,6.419134026272544924e-01,1.000000000000000000e+00,9.585351332623767151e-01,1.000000000000000000e+00,7.779944144917085858e-01,6.433113638078704621e-01,9.816849785658847694e-01,0.000000000000000000e+00,9.788823620791093916e-01,6.848617500973599448e-01,9.667696365556992522e-01,6.898879734736235170e-01
8.267568820166011356e-01,9.272511557578674291e-01,9.180876193100037108e-01,9.194410331113879176e-01,9.399777111317779710e-01,8.705319831293938382e-01,8.477580929777119856e-01,8.034982706230932026e-01,8.707489955389959846e-01,9.281350115776858534e-01,9.572817509310251882e-01,8.722541409205440965e-01,9.255351905780782040e-01,9.788823620791093916e-01,0.000000000000000000e+00,9.172490811307794090e-01,9.049565409081903322e-01,9.222045174201413120e-01
5.192911099259016616e-01,7.603548575734750958e-01,6.329251356172200804e-01,8.539675603223051414e-01,7.503547604903323398e-01,8.519200486568345720e-01,4.260616821544128685e-01,7.610043783691569086e-01,8.500204727683249306e-01,8.699111497807947568e-01,7.707849716431470766e-01,3.416755532477410151e-01,7.836047648291617485e-01,6.848617500973599448e-01,9.172490811307794090e-01,0.000000000000000000e+00,8.436434027298952421e-01,3.638894471897359262e-01
9.023069516457694617e-01,9.460087130029006808e-01,8.808834787376792486e-01,9.025152448642966840e-01,9.708550819410202148e-01,9.902943705924001083e-01,8.928331280149918170e-01,1.000000000000000000e+00,9.409314367087937558e-01,9.703217543878259743e-01,9.207892949816086636e-01,8.574916943399265579e-01,9.660775013130743494e-01,9.667696365556992522e-01,9.049565409081903322e-01,8.436434027298952421e-01,1.110223024625156540e-16,8.513164945212026158e-01
5.372590583468233039e-01,7.835905195651093891e-01,6.888982737503070997e-01,8.402290618712803250e-01,7.565298530441013636e-01,8.746709957956015913e-01,4.842043585822034535e-01,7.763504810164496561e-01,8.444960835992711967e-01,8.498964113170861534e-01,7.551515864823170610e-01,1.669815319218417304e-01,6.026334539457860462e-01,6.898879734736235170e-01,9.222045174201413120e-01,3.638894471897359262e-01,8.513164945212026158e-01,-2.220446049250313081e-16
