# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,8.292517487865903592e-01,8.448136562527763793e-01,6.895207015698927577e-01,5.389371134751146375e-01,1.000000000000000000e+00,9.956352516800137664e-02,7.945186051775037228e-01,9.496833653841697531e-01,8.060385328278407702e-01,9.379671029512836045e-01,7.897801586920796257e-01,1.000000000000000000e+00,7.776879050037378560e-01,1.163993889006282423e+00,7.718535392221426150e-02,1.000000000000000000e+00,1.000000000000000000e+00
8.292517487865903592e-01,0.000000000000000000e+00,8.794456913055613834e-01,9.183110649567305384e-01,5.111652040391515550e-01,1.000000000000000000e+00,8.442530923393216646e-01,7.039731415892469535e-01,1.000000000000000000e+00,8.302821580682324676e-01,1.000000000000000000e+00,9.490177441096969702e-01,9.098074509241991237e-01,8.980048187440520246e-01,1.200057852908758438e+00,8.233912054691931992e-01,1.000000000000000000e+00,9.328691567483151648e-01
8.448136562527763793e-01,8.794456913055613834e-01,-2.220446049250313081e-16,9.514988463241997874e-01,8.279299120082824759e-01,1.000000000000000000e+00,8.713253027726751698e-01,9.635726459386448894e-01,1.000000000000000000e+00,8.950784944167176072e-01,9.629486064562393643e-01,9.702660374309144409e-01,1.000000000000000000e+00,8.688948534383710287e-01,1.137753620231351626e+00,8.063014739011370446e-01,9.715402576578180405e-01,8.061007482494368936e-01
6.895207015698927577e-01,9.183110649567305384e-01,9.514988463241997874e-01,0.000000000000000000e+00,9.226334416307795383e-01,1.000000000000000000e+00,8.057269399421287392e-01,8.342638470714119903e-01,1.000000000000000000e+00,8.875259857777416661e-01,8.604897928302366328e-01,9.019219207952999806e-01,7.712680674061728192e-01,1.000000000000000000e+00,1.127611881303212105e+00,7.496133935293648465e-01,9.929322110978381355e-01,8.386507123030868538e-01
5.389371134751146375e-01,5.111652040391515550e-01,8.279299120082824759e-01,9.226334416307795383e-01,-2.220446049250313081e-16,9.880256276635004387e-01,5.257220038327649059e-01,7.701660912805635695e-01,9.868150999267909507e-01,7.372499548265821767e-01,9.986934473326913864e-01,9.517544132210091767e-01,1.000000000000000000e+00,7.854522552415267311e-01,1.151795679892848812e+00,5.457631915543357248e-01,9.881193615637058336e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.880256276635004387e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.917064741649335158e-01,6.654583890134430080e-01,8.944196029254147806e-01,9.222697166233471133e-01,1.000000000000000000e+00,9.441022640842076097e-01,9.741936036423005651e-01,6.018776977936692862e-01,1.000000000000000000e+00,6.282018182916959681e-01,1.000000000000000000e+00
9.956352516800137664e-02,8.442530923393216646e-01,8.713253027726751698e-01,8.057269399421287392e-01,5.257220038327649059e-01,1.000000000000000000e+00,1.110223024625156540e-16,8.251604278490665134e-01,9.819111842972504389e-01,6.329922950328726872e-01,1.000000000000000000e+00,5.432405626215306427e-01,1.000000000000000000e+00,7.343458611889081000e-01,1.205894802002835497e+00,1.300231447186794842e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.945186051775037228e-01,7.039731415892469535e-01,9.635726459386448894e-01,8.342638470714119903e-01,7.701660912805635695e-01,9.917064741649335158e-01,8.251604278490665134e-01,4.825664586484628149e-01,9.857512109632241559e-01,9.433942951892908546e-01,9.524617942307356255e-01,1.000000000000000000e+00,9.842237726352903726e-01,8.915545380180351920e-01,1.219300839544631643e+00,8.671427267001815542e-01,9.951398101720163591e-01,8.717353517677759456e-01
9.496833653841697531e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.868150999267909507e-01,6.654583890134430080e-01,9.819111842972504389e-01,9.857512109632241559e-01,0.000000000000000000e+00,9.417537202103218874e-01,9.595528535222669353e-01,9.640554258027487222e-01,8.127094978941539205e-01,1.000000000000000000e+00,1.142761099826333782e+00,9.350724402908396904e-01,6.776538851245934580e-01,9.028671870754391149e-01
8.060385328278407702e-01,8.302821580682324676e-01,8.950784944167176072e-01,8.875259857777416661e-01,7.372499548265821767e-01,8.944196029254147806e-01,6.329922950328726872e-01,9.433942951892908546e-01,9.417537202103218874e-01,5.000000000000000000e-01,9.544592558209092914e-01,9.492432342434258263e-01,7.978575860814606235e-01,9.112746120088051072e-01,1.125124166963643813e+00,7.872017359713803231e-01,9.395153618895539793e-01,9.919446489451587690e-01
9.379671029512836045e-01,1.000000000000000000e+00,9.629486064562393643e-01,8.604897928302366328e-01,9.986934473326913864e-01,9.222697166233471133e-01,1.000000000000000000e+00,9.524617942307356255e-01,9.595528535222669353e-01,9.544592558209092914e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.804455477883833314e-01,8.304848545038401308e-01,1.103471799833750877e+00,9.324070271983707636e-01,9.531482419306995801e-01,1.000000000000000000e+00
7.897801586920796257e-01,9.490177441096969702e-01,9.702660374309144409e-01,9.019219207952999806e-01,9.517544132210091767e-01,1.000000000000000000e+00,5.432405626215306427e-01,1.000000000000000000e+00,9.640554258027487222e-01,9.492432342434258263e-01,1.000000000000000000e+00,5.000000000000000000e-01,9.778153033011882656e-01,1.000000000000000000e+00,1.151860114395319545e+00,9.229374813239816788e-01,9.764319768980977976e-01,5.868396179792035872e-01
