# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.797718760719520414e-01,6.032465561216986405e-01,8.528925599669411328e-01,9.286895297284878392e-01,9.799869287508616855e-01,9.287057379613212760e-01,9.685144960682328108e-01,9.749584076132769006e-01,9.145231318596446224e-01,9.469162171832257169e-01,9.149179761122794297e-01,9.737980373763236441e-01,9.837827326596662036e-01,1.075576108651003393e+00,9.405365732037297422e-01,9.798842703750233474e-01,1.000000000000000000e+00
9.797718760719520414e-01,3.973270813587972961e-01,9.775099345131592621e-01,9.842607194510537560e-01,6.760682725213225108e-01,9.880033371719796342e-01,7.980086442246481226e-01,9.157699143179336421e-01,9.934874462233597159e-01,8.926367637552492518e-01,9.324532370411533488e-01,9.527050045528262512e-01,7.963835301808501743e-01,9.680632931280848119e-01,1.094456423209848150e+00,9.109899042044660167e-01,9.901365890854880725e-01,9.053531417253152247e-01
6.032465561216986405e-01,9.775099345131592621e-01,0.000000000000000000e+00,9.794194110094891492e-01,9.416771733938933409e-01,9.453938318122107054e-01,5.984754075676269602e-01,8.853610280940386046e-01,9.772803419752834619e-01,8.912853192493731536e-01,8.594037273810248845e-01,9.254328694269586819e-01,8.552045132593819599e-01,9.212006141556788874e-01,1.141912043958256184e+00,3.474398576879657030e-01,9.605645317499337255e-01,9.268631729455115709e-01
8.528925599669411328e-01,9.842607194510537560e-01,9.794194110094891492e-01,0.000000000000000000e+00,9.666970586268051058e-01,1.000000000000000000e+00,9.526730921181263412e-01,1.000000000000000000e+00,9.365286747277548063e-01,9.272287871543026805e-01,1.000000000000000000e+00,7.617586963898068664e-01,9.032097472580601361e-01,9.896560089459113252e-01,1.181323095978672244e+00,9.737028908721361287e-01,1.000000000000000000e+00,9.806639234235182689e-01
9.286895297284878392e-01,6.760682725213225108e-01,9.416771733938933409e-01,9.666970586268051058e-01,2.220446049250313081e-16,9.532314514238917624e-01,9.726574153433341641e-01,7.773522619857657912e-01,9.805324981570574527e-01,9.719382567917489446e-01,9.497457948350163104e-01,9.771334138495300081e-01,1.000000000000000000e+00,9.774532623051183089e-01,1.043317586691079990e+00,9.987745215725268855e-01,9.653846293237332565e-01,9.355999510135442065e-01
9.799869287508616855e-01,9.880033371719796342e-01,9.453938318122107054e-01,1.000000000000000000e+00,9.532314514238917624e-01,2.220446049250313081e-16,9.767817940764543794e-01,8.274014936666838071e-01,9.764355131572135527e-01,9.454720078149122520e-01,8.849968113368973377e-01,9.775182638710852023e-01,1.000000000000000000e+00,9.540948753889074707e-01,1.004405418099407088e+00,9.594681375335356588e-01,4.846552295596309179e-01,8.293636710961278524e-01
9.287057379613212760e-01,7.980086442246481226e-01,5.984754075676269602e-01,9.526730921181263412e-01,9.726574153433341641e-01,9.767817940764543794e-01,6.045960933092447975e-01,9.586549631954218720e-01,9.927889661726676529e-01,9.025639156276360486e-01,9.427054870546061061e-01,9.896409529369081248e-01,8.719879558614408444e-01,9.317972114813740658e-01,1.096587443728224809e+00,8.735728966198484935e-01,9.782103859272313073e-01,9.359780246704212381e-01
9.685144960682328108e-01,9.157699143179336421e-01,8.853610280940386046e-01,1.000000000000000000e+00,7.773522619857657912e-01,8.274014936666838071e-01,9.586549631954218720e-01,5.000000000000000000e-01,9.749624176913236351e-01,8.959256031126225928e-01,9.418173113346124392e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.631476239234859626e-01,1.065489096079135223e+00,9.073923263571113118e-01,9.834651926149546863e-01,8.264588952138103295e-01
9.749584076132769006e-01,9.934874462233597159e-01,9.772803419752834619e-01,9.365286747277548063e-01,9.805324981570574527e-01,9.764355131572135527e-01,9.927889661726676529e-01,9.749624176913236351e-01,2.220446049250313081e-16,9.498999501138656321e-01,9.064664864117112364e-01,9.734535034712415991e-01,9.536110027160762392e-01,9.988770963827521276e-01,1.197079974256027191e+00,9.806330933676501438e-01,1.000000000000000000e+00,9.676178731442179881e-01
9.145231318596446224e-01,8.926367637552492518e-01,8.912853192493731536e-01,9.272287871543026805e-01,9.719382567917489446e-01,9.454720078149122520e-01,9.025639156276360486e-01,8.959256031126225928e-01,9.498999501138656321e-01,6.383487476981876130e-01,8.748973825523366221e-01,9.165871484234212607e-01,9.050608340689462183e-01,9.124455290948764175e-01,1.090329743996085954e+00,9.108693083346440789e-01,9.684242366860781326e-01,9.037118486494805092e-01
9.469162171832257169e-01,9.324532370411533488e-01,8.594037273810248845e-01,1.000000000000000000e+00,9.497457948350163104e-01,8.849968113368973377e-01,9.427054870546061061e-01,9.418173113346124392e-01,9.064664864117112364e-01,8.748973825523366221e-01,1.110223024625156540e-16,9.665208339903941237e-01,1.000000000000000000e+00,9.714286469573368832e-01,1.181909438182310312e+00,9.557948900695754091e-01,8.070863323142261070e-01,8.752159439649206396e-01
9.149179761122794297e-01,9.527050045528262512e-01,9.254328694269586819e-01,7.617586963898068664e-01,9.771334138495300081e-01,9.775182638710852023e-01,9.896409529369081248e-01,1.000000000000000000e+00,9.734535034712415991e-01,9.165871484234212607e-01,9.665208339903941237e-01,2.220446049250313081e-16,9.308177773352114270e-01,9.826856280669384880e-01,1.075980528142279846e+00,8.918260820590060423e-01,9.484767567993850346e-01,1.000000000000000000e+00
9.737980373763236441e-01,7.963835301808501743e-01,8.552045132593819599e-01,9.032097472580601361e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.719879558614408444e-01,1.000000000000000000e+00,9.536110027160762392e-01,9.050608340689462183e-01,1.000000000000000000e+00,9.308177773352114270e-01,1.110223024625156540e-16,9.514316558205750951e-01,1.154329004288690008e+00,8.826628518467831697e-01,9.905263035416900230e-01,1.000000000000000000e+00
9.837827326596662036e-01,9.680632931280848119e-01,9.212006141556788874e-01,9.896560089459113252e-01,9.774532623051183089e-01,9.540948753889074707e-01,9.317972114813740658e-01,9.631476239234859626e-01,9.988770963827521276e-01,9.124455290948764175e-01,9.714286469573368832e-01,9.826856280669384880e-01,9.514316558205750951e-01,2.220446049250313081e-16,1.204358545168197514e+00,9.969164464375868118e-01,9.838467426619602607e-01,8.540328892845852060e-01
