# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,8.102296738900753859e-01,1.000000000000000000e+00,5.818470011592000724e-01,8.248143625438631998e-01,8.342226602477540442e-01,2.519534649873358401e-01,9.245263327604260617e-01,1.000000000000000000e+00,9.148931664919047746e-01,9.828507162394983787e-01,5.172030461604051332e-01,1.000000000000000000e+00,7.782444038577676082e-01,8.604627599100311830e-01,1.259801250227371439e-01,1.000000000000000000e+00,7.313673498702717435e-01
8.102296738900753859e-01,1.110223024625156540e-16,1.000000000000000000e+00,6.556759067784707629e-01,4.523567883330311679e-01,7.485320084658599882e-01,8.754233529170060146e-01,4.218790003545546119e-01,7.879669619802711633e-01,4.624958616758610974e-01,7.361912868150755074e-01,9.263711582985931781e-01,8.595404301451937679e-01,8.612938042786596471e-01,8.473839989016579421e-01,8.553119556780425237e-01,7.666972027107173959e-01,9.171461553382269649e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.220446049250313081e-16,9.548507664187978472e-01,1.000000000000000000e+00,9.427405516217968184e-01,7.710731372331749434e-01,1.000000000000000000e+00,9.885152697282962864e-01,1.000000000000000000e+00,9.080489684448926901e-01,1.000000000000000000e+00,9.991489777541496808e-01,1.000000000000000000e+00,8.337680279745698364e-01,1.000000000000000000e+00,9.570255977117075874e-01,8.715435595341278763e-01
5.818470011592000724e-01,6.556759067784707629e-01,9.548507664187978472e-01,0.000000000000000000e+00,4.871041810916607595e-01,7.696656610794273545e-01,8.031703097874626218e-01,4.805664328818675113e-01,7.341794799723672105e-01,6.238036300246321275e-01,6.138525925371658420e-01,9.257889061894468696e-01,9.080352656108906517e-01,1.000000000000000000e+00,8.960243544442330066e-01,7.956357323374765311e-01,7.380845264004087802e-01,9.123733768937378752e-01
8.248143625438631998e-01,4.523567883330311679e-01,1.000000000000000000e+00,4.871041810916607595e-01,0.000000000000000000e+00,6.574400710792953628e-01,7.924387950420325177e-01,2.449298796145227275e-01,7.566533573723935868e-01,5.306299725374581389e-01,7.546283342979349662e-01,1.000000000000000000e+00,9.977262200195946562e-01,9.327119260937815071e-01,8.109293759163187509e-01,7.055701528223263796e-01,7.169988986124589125e-01,9.369001762531361521e-01
8.342226602477540442e-01,7.485320084658599882e-01,9.427405516217968184e-01,7.696656610794273545e-01,6.574400710792953628e-01,0.000000000000000000e+00,9.960779178168344128e-01,7.220830564130205076e-01,4.808218664247237983e-01,8.217761905947225110e-01,8.270402138495391853e-01,8.756946138530091739e-01,9.719909329867484349e-01,9.228886823108684023e-01,5.393441438092152485e-01,8.163363632477813603e-01,5.172827543545144291e-01,8.946544156469656839e-01
2.519534649873358401e-01,8.754233529170060146e-01,7.710731372331749434e-01,8.031703097874626218e-01,7.924387950420325177e-01,9.960779178168344128e-01,0.000000000000000000e+00,8.972606509042546641e-01,1.000000000000000000e+00,9.097945228380309723e-01,8.418094426754222370e-01,6.511058679195571575e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.670119895839997204e-01,3.113813712320925298e-01,9.929609346193855046e-01,6.583680052140472583e-01
9.245263327604260617e-01,4.218790003545546119e-01,1.000000000000000000e+00,4.805664328818675113e-01,2.449298796145227275e-01,7.220830564130205076e-01,8.972606509042546641e-01,0.000000000000000000e+00,7.346675860907421196e-01,5.941745755942949847e-01,7.373087793737982398e-01,9.726293864534647504e-01,9.790660271161948369e-01,1.000000000000000000e+00,7.839614769126552751e-01,8.260755103459864745e-01,7.215940967832010777e-01,9.355843328813777671e-01
1.000000000000000000e+00,7.879669619802711633e-01,9.885152697282962864e-01,7.341794799723672105e-01,7.566533573723935868e-01,4.808218664247237983e-01,1.000000000000000000e+00,7.346675860907421196e-01,0.000000000000000000e+00,7.560206425688429377e-01,7.259735599148040563e-01,8.500473023176282616e-01,9.532002926551280675e-01,9.588308921217713054e-01,6.041157770131830862e-01,1.000000000000000000e+00,3.713540265801723583e-01,9.193793499022797633e-01
9.148931664919047746e-01,4.624958616758610974e-01,1.000000000000000000e+00,6.238036300246321275e-01,5.306299725374581389e-01,8.217761905947225110e-01,9.097945228380309723e-01,5.941745755942949847e-01,7.560206425688429377e-01,1.110223024625156540e-16,5.737531479009903013e-01,9.812791762410248975e-01,7.809688482284538047e-01,8.016379715320999244e-01,9.140501796808063739e-01,9.441030857863329517e-01,7.945629939218630255e-01,9.727353257390869423e-01
