# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,8.844527413944009986e-01,9.298570468436460068e-01,5.696752689205020204e-01,9.419630731098150855e-01,9.674599467768293382e-01,7.332935248291940766e-01,9.751204606347365633e-01,9.722046465358451517e-01,8.572618213404825660e-01,9.298923228934572460e-01,6.881004629434841480e-01,8.588310183938548947e-01,8.403660754432237256e-01,8.748095830372173420e-01,8.194683602868633177e-01,9.814483248008687433e-01,7.072153864603453188e-01
8.844527413944009986e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.461153092708953771e-01,6.198723332765482263e-01,9.566380183963502093e-01,8.949148868298846260e-01,2.286367977230494564e-01,9.181811691100788542e-01,9.478659186785981516e-01,9.047945626691271670e-01,9.596466394501369512e-01,8.450655820463417456e-01,9.458133807080373323e-01,9.394008191431425514e-01,9.030775121589714738e-01,8.615409812054939387e-01,9.732057855045957995e-01
9.298570468436460068e-01,1.000000000000000000e+00,5.000000000000000000e-01,9.841895437710225236e-01,9.981929383377318166e-01,9.705273847177755542e-01,8.789519418231274139e-01,9.688858340976100880e-01,9.562779717352263287e-01,9.367914006580400077e-01,9.652069032673948890e-01,9.709947416710027479e-01,7.693627415417620963e-01,9.547711574439990967e-01,8.724056501155039722e-01,9.988197768809735644e-01,9.829041046350973643e-01,1.000000000000000000e+00
5.696752689205020204e-01,9.461153092708953771e-01,9.841895437710225236e-01,2.921252610588266907e-01,9.108752626334052360e-01,9.724450844293008878e-01,9.639467572909260484e-01,9.335527312668977507e-01,8.384340406621103581e-01,8.429582942265441137e-01,6.679348701131846422e-01,9.481509522537781010e-01,9.574076718829724886e-01,9.214291172059460022e-01,9.302967547864144926e-01,9.958878166695080969e-01,8.486734279629863931e-01,9.678335139205447302e-01
9.419630731098150855e-01,6.198723332765482263e-01,9.981929383377318166e-01,9.108752626334052360e-01,0.000000000000000000e+00,9.349318587660586655e-01,8.821956442481071470e-01,5.942072992890234939e-01,9.757352927033557943e-01,9.343917160657059240e-01,8.252525411241137254e-01,9.390842319632213275e-01,9.059130973133239229e-01,9.397356098721447726e-01,9.160142479097135304e-01,8.496639006067844280e-01,9.227324025899878990e-01,9.332577218306934430e-01
9.674599467768293382e-01,9.566380183963502093e-01,9.705273847177755542e-01,9.724450844293008878e-01,9.349318587660586655e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.463334367361820876e-01,7.873081157605580360e-01,9.608698299850044755e-01,8.814308758456352866e-01,9.306489486728823923e-01,1.000000000000000000e+00,9.703287422242190541e-01,8.592888174561071901e-01,1.000000000000000000e+00,8.252287727722790178e-01,7.922767594040760475e-01
7.332935248291941877e-01,8.949148868298846260e-01,8.789519418231274139e-01,9.639467572909260484e-01,8.821956442481071470e-01,1.000000000000000000e+00,5.000000000000000000e-01,9.466925637020814355e-01,9.751669035850045741e-01,8.724634103088881876e-01,9.462149820105933973e-01,6.475503088425682563e-01,6.294614470593630218e-01,8.008991354394821016e-01,8.449838410560186475e-01,4.668948512355240443e-01,9.617831523034177099e-01,5.683558617113846356e-01
9.751204606347365633e-01,2.286367977230494564e-01,9.688858340976100880e-01,9.335527312668977507e-01,5.942072992890234939e-01,9.463334367361820876e-01,9.466925637020814355e-01,0.000000000000000000e+00,9.578336384631778166e-01,8.518465161327950508e-01,8.607848244601421506e-01,9.888114545143759093e-01,9.372610286088337572e-01,9.738434190742969454e-01,9.502165044965198426e-01,9.258275429370076415e-01,9.176802908291190608e-01,8.980054449935767069e-01
9.722046465358451517e-01,9.181811691100788542e-01,9.562779717352263287e-01,8.384340406621103581e-01,9.757352927033557943e-01,7.873081157605580360e-01,9.751669035850045741e-01,9.578336384631778166e-01,0.000000000000000000e+00,8.997054603434762043e-01,8.942680338148145669e-01,8.318491178924031226e-01,8.907231119190213153e-01,7.585046487658498870e-01,5.771220004327661801e-01,1.000000000000000000e+00,3.487088188451337167e-01,8.808080514827349994e-01
8.572618213404825660e-01,9.478659186785981516e-01,9.367914006580400077e-01,8.429582942265441137e-01,9.343917160657059240e-01,9.608698299850044755e-01,8.724634103088881876e-01,8.518465161327950508e-01,8.997054603434762043e-01,2.220446049250313081e-16,9.583672048711270319e-01,7.673005632625031769e-01,9.133451764706840281e-01,8.163902117835606376e-01,7.893026779525988967e-01,7.384152823317029490e-01,8.308690483869172194e-01,7.466784943036296474e-01
9.298923228934572460e-01,9.047945626691271670e-01,9.652069032673948890e-01,6.679348701131846422e-01,8.252525411241137254e-01,8.814308758456352866e-01,9.462149820105933973e-01,8.607848244601421506e-01,8.942680338148145669e-01,9.583672048711270319e-01,0.000000000000000000e+00,9.294136072842775764e-01,9.250111150012835237e-01,9.307123273029687116e-01,9.863676693559934039e-01,1.000000000000000000e+00,9.503804558702422245e-01,9.801649273380528271e-01
6.881004629434841480e-01,9.596466394501369512e-01,9.709947416710027479e-01,9.481509522537781010e-01,9.390842319632213275e-01,9.306489486728823923e-01,6.475503088425682563e-01,9.888114545143759093e-01,8.318491178924031226e-01,7.673005632625031769e-01,9.294136072842775764e-01,0.000000000000000000e+00,9.058275120908065858e-01,6.903450570948768128e-01,9.295903103573552873e-01,4.429096866230888274e-01,9.292134568589447419e-01,1.261866906817344924e-01
8.588310183938548947e-01,8.450655820463417456e-01,7.693627415417620963e-01,9.574076718829724886e-01,9.059130973133239229e-01,1.000000000000000000e+00,6.294614470593630218e-01,9.372610286088337572e-01,8.907231119190213153e-01,9.133451764706840281e-01,9.250111150012835237e-01,9.058275120908065858e-01,0.000000000000000000e+00,9.488157307285696174e-01,7.940205040903439704e-01,7.336462166375810057e-01,9.361773188074280494e-01,8.988964924028662873e-01
8.403660754432237256e-01,9.458133807080373323e-01,9.547711574439990967e-01,9.214291172059460022e-01,9.397356098721447726e-01,9.703287422242190541e-01,8.008991354394821016e-01,9.738434190742969454e-01,7.585046487658498870e-01,8.163902117835606376e-01,9.307123273029687116e-01,6.903450570948768128e-01,9.488157307285696174e-01,5.000000000000000000e-01,8.282597895643579733e-01,6.577186460781134780e-01,7.476164620363603408e-01,6.432945223762586151e-01
8.748095830372173420e-01,9.394008191431425514e-01,8.724056501155039722e-01,9.302967547864144926e-01,9.160142479097135304e-01,8.592888174561071901e-01,8.449838410560186475e-01,9.502165044965198426e-01,5.771220004327661801e-01,7.893026779525988967e-01,9.863676693559934039e-01,9.295903103573552873e-01,7.940205040903439704e-01,8.282597895643579733e-01,1.110223024625156540e-16,9.544094590956510027e-01,6.346510764138949545e-01,9.147726107083492542e-01
