# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.915336251856533778e-01,6.207638819553329412e-01,5.951787393294147854e-01,8.546366592662074657e-01,6.065237172803130683e-01,9.592710880944215202e-01,4.913282964591347279e-01,7.111659901715914334e-01,9.083904695258973039e-01,8.804700346697854618e-01,8.519512543370576507e-01,6.048385121795425423e-01,8.644961274846605370e-01,7.833676309962008810e-01,8.565913471797460543e-01,4.742752204975975161e-01,9.266236795816458205e-01,7.997687209496413541e-01
6.207638819553329412e-01,0.000000000000000000e+00,6.596955437837950242e-01,8.440306651397512239e-01,2.766331591100125165e-01,9.572080951671425586e-01,5.417723904927709278e-01,4.038957641822963351e-01,8.366260430724701269e-01,8.430396575151661853e-01,8.279086321867940024e-01,9.042775624077308283e-01,9.516710547675064635e-01,8.346874020069003919e-01,7.940766437546438183e-01,5.780461536655128185e-01,8.545574467254262174e-01,8.510737905686438509e-01
5.951787393294147854e-01,6.596955437837950242e-01,2.364679343450151183e-01,8.318504591068771603e-01,6.909675444745109196e-01,9.655582666465416519e-01,4.715848532471096921e-01,7.468533374269724634e-01,8.483915979575520350e-01,8.892672907736123289e-01,8.472142748647623067e-01,9.043396187995790259e-01,9.301207916551519350e-01,7.111620995951204449e-01,7.621230744888565223e-01,4.463643809164630771e-01,9.137080143528278908e-01,8.953248915433285049e-01
8.546366592662074657e-01,8.440306651397512239e-01,8.318504591068771603e-01,0.000000000000000000e+00,8.349019736147799131e-01,9.739489979910215256e-01,8.270141174554678232e-01,8.914342239428962866e-01,8.561412849979905815e-01,8.282191717346845117e-01,8.780676448585644778e-01,8.344879742149811097e-01,9.795076655347039196e-01,1.000000000000000000e+00,7.143636936354147426e-01,8.050477060521349371e-01,8.628947941458298132e-01,8.635373767242731091e-01
6.065237172803130683e-01,2.766331591100125165e-01,6.909675444745109196e-01,8.349019736147799131e-01,0.000000000000000000e+00,9.369491901113313759e-01,4.945251931336049900e-01,4.015386789061439199e-01,8.167149270962482666e-01,7.864130622592119257e-01,8.084621543917116515e-01,8.868579492530703767e-01,9.412762761934667655e-01,7.243548502807267697e-01,7.462705379439729114e-01,5.048914094586276491e-01,8.408362558474852255e-01,8.242434724341931584e-01
9.592710880944215202e-01,9.572080951671425586e-01,9.655582666465416519e-01,9.739489979910215256e-01,9.369491901113313759e-01,0.000000000000000000e+00,9.582615663693977437e-01,1.000000000000000000e+00,9.065861710342065782e-01,9.345434064343226543e-01,9.672009281148008508e-01,9.608950777902757201e-01,9.401557378709988200e-01,9.712822708054310583e-01,9.164015753461330904e-01,9.640975715380347699e-01,4.999496726004760694e-01,9.703658404236709112e-01
4.913282964591347279e-01,5.417723904927709278e-01,4.715848532471096921e-01,8.270141174554678232e-01,4.945251931336049900e-01,9.582615663693977437e-01,0.000000000000000000e+00,6.998483563731150436e-01,9.559225372262312170e-01,8.707266743659037855e-01,8.461143956559180612e-01,8.695943314148892878e-01,8.474945065277795786e-01,8.478955083966021045e-01,7.843085405448901870e-01,2.053516123391743164e-01,9.675471004787082885e-01,8.807602747242138097e-01
7.111659901715914334e-01,4.038957641822963351e-01,7.468533374269724634e-01,8.914342239428962866e-01,4.015386789061439199e-01,1.000000000000000000e+00,6.998483563731150436e-01,0.000000000000000000e+00,8.098293206438853531e-01,8.451645199738320180e-01,8.344956504047846835e-01,8.479496714832892579e-01,1.000000000000000000e+00,8.988727347976795956e-01,4.860270034738959355e-01,6.785147850126918012e-01,8.354852671493799843e-01,8.260956141152300258e-01
9.083904695258973039e-01,8.366260430724701269e-01,8.483915979575520350e-01,8.561412849979905815e-01,8.167149270962482666e-01,9.065861710342065782e-01,9.559225372262312170e-01,8.098293206438853531e-01,0.000000000000000000e+00,8.349789715052885475e-01,7.180592662109607227e-01,6.390567702954491613e-01,9.282246982917021771e-01,9.976585830926052445e-01,7.927946280576503302e-01,9.316965263672478681e-01,9.307304933642100986e-01,6.965382400261144191e-01
8.804700346697854618e-01,8.430396575151661853e-01,8.892672907736123289e-01,8.282191717346845117e-01,7.864130622592119257e-01,9.345434064343226543e-01,8.707266743659037855e-01,8.451645199738320180e-01,8.349789715052885475e-01,5.000000000000002220e-01,8.091709245878465628e-01,9.166292427697479983e-01,9.301236829046302113e-01,9.729240513082090258e-01,8.347763525046040245e-01,8.569179945103391205e-01,8.479933966612068774e-01,8.397283026303641318e-01
