# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
4.957123033407141444e-01,9.538988408271196207e-01,9.799167235362065131e-01,9.593230101191781989e-01,9.591748657025658265e-01,9.289849846794766552e-01,6.814956884235244816e-01,9.934794842941798709e-01,9.743663595814218148e-01,9.988440594153816798e-01,9.498555421203978000e-01,9.082790499850044164e-01,7.485322048685272289e-01,9.640885740532548764e-01,9.236944321761948462e-01,9.208028951980039567e-01,9.629434642869110217e-01,9.634943763097291169e-01
9.538988408271196207e-01,4.610259050761688626e-01,8.879955824136656073e-01,9.393648451177469827e-01,6.837785913348213285e-01,9.334713222540931277e-01,9.250927933206236631e-01,8.084578281147355439e-01,9.782360485043097853e-01,9.361642016516106279e-01,9.586003934360780576e-01,8.956958067904905452e-01,8.066942412361284287e-01,9.144945397795181119e-01,9.768210150841093453e-01,9.564534371313893057e-01,9.591215176517817742e-01,8.023440727129439454e-01
9.799167235362065131e-01,8.879955824136656073e-01,2.220446049250313081e-16,9.142621530694341470e-01,8.667584657288966987e-01,9.729148865200918372e-01,9.496264037926568369e-01,8.788755900750606642e-01,9.627364215562558281e-01,8.830920561336589314e-01,9.189584673360851053e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.392496000043156990e-01,8.467225822300463722e-01,8.339412251225877259e-01,9.445999080297055039e-01,8.033383147814896486e-01
9.593230101191781989e-01,9.393648451177469827e-01,9.142621530694341470e-01,1.110223024625156540e-16,9.202377952055947885e-01,8.906626347574139180e-01,9.332761966949606469e-01,9.547236598720013623e-01,9.608368589844149543e-01,9.918160793162276168e-01,9.384342112438993633e-01,9.829441816854426195e-01,9.416217818225949276e-01,9.498235754266854958e-01,8.252605520957549956e-01,9.267380415382777681e-01,9.642580775281522909e-01,9.629639007418417940e-01
9.591748657025658265e-01,6.837785913348213285e-01,8.667584657288966987e-01,9.202377952055947885e-01,1.110223024625156540e-16,8.962594226899007754e-01,9.758717809194058512e-01,6.954687619590620429e-01,9.766320976059058578e-01,8.811073755011025188e-01,9.136359267911415838e-01,1.000000000000000000e+00,9.763047242197394615e-01,8.899421425858058399e-01,9.205143217581390758e-01,9.592594089430228621e-01,9.739128659485437600e-01,9.884497282234403492e-01
9.289849846794766552e-01,9.334713222540931277e-01,9.729148865200918372e-01,8.906626347574139180e-01,8.962594226899007754e-01,-2.220446049250313081e-16,7.679928835739134874e-01,8.995684210364591760e-01,7.471101945070296457e-01,9.658034528141616892e-01,9.223287148783603229e-01,8.723142749087797743e-01,8.553341773532407988e-01,9.139269820758927354e-01,8.340409178507858234e-01,6.954441372526829479e-01,8.308209888713383728e-01,9.102787428807828096e-01
6.814956884235244816e-01,9.250927933206236631e-01,9.496264037926568369e-01,9.332761966949606469e-01,9.758717809194058512e-01,7.679928835739134874e-01,0.000000000000000000e+00,8.923339293672869488e-01,8.470416968325977791e-01,9.426891911814029301e-01,8.336414511866296895e-01,9.839735610255213594e-01,6.751062282636088874e-01,9.844617878808215039e-01,7.968118656582116044e-01,8.325546103560459432e-01,9.843508795786924948e-01,9.820806370769480376e-01
9.934794842941798709e-01,8.084578281147355439e-01,8.788755900750606642e-01,9.547236598720013623e-01,6.954687619590620429e-01,8.995684210364591760e-01,8.923339293672869488e-01,0.000000000000000000e+00,8.926451415485993079e-01,8.843463561878411872e-01,9.343466927035295466e-01,9.162578231519133976e-01,9.175509964421112441e-01,7.056804329593298064e-01,9.346385927808118499e-01,9.527144180906084170e-01,9.779727008372421926e-01,9.218118103442161093e-01
9.743663595814218148e-01,9.782360485043097853e-01,9.627364215562558281e-01,9.608368589844149543e-01,9.766320976059058578e-01,7.471101945070296457e-01,8.470416968325977791e-01,8.926451415485993079e-01,0.000000000000000000e+00,9.770562038214867240e-01,9.521721410483363623e-01,8.763396651119554903e-01,8.705258087294394098e-01,9.565695944794145866e-01,8.956313749563517002e-01,8.341893411007351711e-01,9.458671658131173610e-01,8.357421182614162003e-01
9.988440594153816798e-01,9.361642016516106279e-01,8.830920561336589314e-01,9.918160793162276168e-01,8.811073755011025188e-01,9.658034528141616892e-01,9.426891911814029301e-01,8.843463561878411872e-01,9.770562038214867240e-01,4.265968597231895032e-01,8.885002459934918662e-01,9.732887364202340574e-01,9.858099193990441655e-01,8.741428500253640710e-01,8.786902732372987579e-01,9.119674704779048291e-01,9.768851392397446265e-01,9.525890240132302011e-01
9.498555421203978000e-01,9.586003934360780576e-01,9.189584673360851053e-01,9.384342112438993633e-01,9.136359267911415838e-01,9.223287148783603229e-01,8.336414511866296895e-01,9.343466927035295466e-01,9.521721410483363623e-01,8.885002459934918662e-01,-2.220446049250313081e-16,9.742152579948688551e-01,9.744593190913227732e-01,9.870179915878722898e-01,9.550373553764055501e-01,8.677367281438808089e-01,9.548850851337543633e-01,9.473399024285780179e-01
9.082790499850044164e-01,8.956958067904905452e-01,1.000000000000000000e+00,9.829441816854426195e-01,1.000000000000000000e+00,8.723142749087797743e-01,9.839735610255213594e-01,9.162578231519133976e-01,8.763396651119554903e-01,9.732887364202340574e-01,9.742152579948688551e-01,0.000000000000000000e+00,4.915818611040704278e-01,8.534366804415862706e-01,9.329949202942097175e-01,9.373248574435237845e-01,1.000000000000000000e+00,4.673506214064401809e-01
