# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.806439640202241348e-01,7.904587775578505449e-01,9.034966768803268655e-01,9.935555793559390780e-01,9.733189867859327604e-01,1.929943643935210229e-01,1.000000000000000000e+00,9.665893554523954379e-01,1.000000000000000000e+00,9.742930542021746021e-01,4.924513497220625036e-01,-4.854464589192941659e-02,3.687817018275385550e-01,9.514840893160382285e-01,3.730622107476859739e-01,9.480576591947418308e-01,5.985942826847697740e-01
9.806439640202241348e-01,1.110223024625156540e-16,9.870418567977905511e-01,9.531547935714290709e-01,7.885053391375139720e-01,9.243571661492974156e-01,8.547042030852485262e-01,7.197359799050503382e-01,9.592073719775153773e-01,9.629007836150208499e-01,9.452497302889218966e-01,9.689800042205377606e-01,9.610682902335850875e-01,9.322353849369445777e-01,9.675771207246877115e-01,8.995443793951268807e-01,1.000000000000000000e+00,9.655784447310629126e-01
7.904587775578505449e-01,9.870418567977905511e-01,1.744426877539946297e-01,9.739695712472936640e-01,9.008316254408260670e-01,1.000000000000000000e+00,6.727549464947063518e-01,8.969469808583733217e-01,9.546584060210560052e-01,9.816275226153514666e-01,9.705870486511228856e-01,6.174957253785202660e-01,7.308319886774992113e-01,7.881925619679539530e-01,1.000000000000000000e+00,8.902858243779787628e-01,9.800728964719063185e-01,5.720682437708478618e-01
9.034966768803268655e-01,9.531547935714290709e-01,9.739695712472936640e-01,1.110223024625156540e-16,9.076593866426919677e-01,8.837770727803321291e-01,8.379125383858805343e-01,8.779226417157951490e-01,9.740717061079507966e-01,4.200919767085571355e-01,2.767697694330168989e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.498998485007643655e-01,9.722793669611335954e-01,1.000000000000000000e+00,9.546435849660055428e-01,1.000000000000000000e+00
9.935555793559390780e-01,7.885053391375139720e-01,9.008316254408260670e-01,9.076593866426919677e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.491716955307190062e-01,5.600386284142022664e-01,1.000000000000000000e+00,7.853474284217539791e-01,8.713157720125133121e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.733189867859327604e-01,9.243571661492974156e-01,1.000000000000000000e+00,8.837770727803321291e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.687596692605785709e-01,9.668551536485634479e-01,7.629199813149435405e-01,9.454733182015896409e-01,8.868203014680379193e-01,9.536894330392791108e-01,9.447972638865669293e-01,9.379555271580762854e-01,6.297776515782645967e-01,9.820747876334261495e-01,4.588841844858678742e-01,9.553924092937503554e-01
1.929943643935210229e-01,8.547042030852485262e-01,6.727549464947063518e-01,8.379125383858805343e-01,9.491716955307190062e-01,8.687596692605785709e-01,2.220446049250313081e-16,9.587547258530683125e-01,1.000000000000000000e+00,9.466156425672547226e-01,8.937264852992007347e-01,5.891655639321202731e-01,5.252568880856738343e-01,3.742366462500882340e-01,9.202412331149179003e-01,4.570976679493606865e-01,9.055064605119105270e-01,4.821440219731912835e-01
1.000000000000000000e+00,7.197359799050503382e-01,8.969469808583733217e-01,8.779226417157951490e-01,5.600386284142022664e-01,9.668551536485634479e-01,9.587547258530683125e-01,0.000000000000000000e+00,9.953638660904265967e-01,6.943055666246922275e-01,9.322352850196046203e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.911539689093479266e-01,1.000000000000000000e+00
9.665893554523954379e-01,9.592073719775153773e-01,9.546584060210560052e-01,9.740717061079507966e-01,1.000000000000000000e+00,7.629199813149435405e-01,1.000000000000000000e+00,9.953638660904265967e-01,0.000000000000000000e+00,9.748483276651954688e-01,9.771982145574990009e-01,9.320246048083926649e-01,9.561541791320085082e-01,9.956139242048910321e-01,5.251538517686238361e-01,9.678399280010482331e-01,8.277896508334994241e-01,9.537284960992122862e-01
1.000000000000000000e+00,9.629007836150208499e-01,9.816275226153514666e-01,4.200919767085571355e-01,7.853474284217539791e-01,9.454733182015896409e-01,9.466156425672547226e-01,6.943055666246922275e-01,9.748483276651954688e-01,0.000000000000000000e+00,3.441597559172744347e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.715989105146717320e-01,9.656058197024701695e-01,4.387810469957686976e-01,9.674417223091174023e-01,1.000000000000000000e+00
