# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,7.615221896431672022e-01,1.000000000000000000e+00,7.665135313354362046e-01,1.000000000000000000e+00,8.744138108400808518e-01,3.057077267224040940e-01,1.000000000000000000e+00,7.764174216703452203e-01,7.053370028254866142e-01,1.000000000000000000e+00,3.868760044858627900e-01,2.711173547355626434e-01,6.025728676146886453e-01,8.733429096433442673e-01,1.445112832858148622e-01,8.460410715464956599e-01,3.312296711534734595e-01
7.615221896431672022e-01,0.000000000000000000e+00,8.014052363689530001e-01,4.882740120667765638e-01,9.146170390984671439e-01,9.921765187347256765e-01,6.702003134842735577e-01,8.963460404354557376e-01,9.748134977107517640e-01,5.527803366528818430e-01,5.327261317015132835e-01,7.004072369520614183e-01,7.166612371987337582e-01,9.016550277986860040e-01,1.000000000000000000e+00,6.578741809922102890e-01,1.000000000000000000e+00,6.663029797455285452e-01
1.000000000000000000e+00,8.014052363689530001e-01,0.000000000000000000e+00,7.680286982695565534e-01,8.138198628180133287e-01,9.600647269298003827e-01,7.517521108624428683e-01,9.394674748402233044e-01,8.256391418832507156e-01,7.935801044161600037e-01,8.426599272984868216e-01,8.464020404796835928e-01,7.662036162073166956e-01,9.428943521899726399e-01,9.227508138212441313e-01,7.846101109504680648e-01,9.785161878543844338e-01,8.392303092909249029e-01
7.665135313354362046e-01,4.882740120667765638e-01,7.680286982695565534e-01,0.000000000000000000e+00,8.414786705629303531e-01,1.000000000000000000e+00,6.098538239906785563e-01,8.965588765307099806e-01,9.962990138998061296e-01,4.000043705287695817e-01,4.474225941294533992e-01,6.296010750759160057e-01,6.965817125846187619e-01,9.403857076576505047e-01,1.000000000000000000e+00,6.484011491966615859e-01,1.000000000000000000e+00,6.339742002421858702e-01
1.000000000000000000e+00,9.146170390984671439e-01,8.138198628180133287e-01,8.414786705629303531e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.782879411962326799e-01,1.000000000000000000e+00,9.223911907785262709e-01,7.658904048724459734e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.546422367428184508e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.520571094087634467e-01,1.000000000000000000e+00
8.744138108400808518e-01,9.921765187347256765e-01,9.600647269298003827e-01,1.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,8.393796241639950306e-01,8.217045955909487720e-01,7.078355146208354931e-01,9.331259072864230841e-01,8.752530873826837032e-01,8.906704951554110794e-01,8.589298372786855484e-01,8.439539085474986324e-01,5.031004773006573227e-01,8.443707823179308347e-01,4.703288238569377500e-01,8.807492205521040285e-01
3.057077267224040940e-01,6.702003134842735577e-01,7.517521108624428683e-01,6.098538239906785563e-01,1.000000000000000000e+00,8.393796241639950306e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.667798227985010096e-01,6.546316607726003767e-01,1.000000000000000000e+00,3.320645878716177446e-01,2.766018979605804340e-01,5.785695618302738596e-01,8.085270456305934106e-01,2.032676205316926721e-01,8.554800085767872986e-01,3.402310478783292513e-01
1.000000000000000000e+00,8.963460404354557376e-01,9.394674748402233044e-01,8.965588765307099806e-01,2.782879411962326799e-01,8.217045955909487720e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.113730898621135390e-01,7.819736123355111035e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.221323660704451308e-01,1.000000000000000000e+00,9.508205946244977502e-01,9.979937688234573612e-01,9.829443538968536398e-01
7.764174216703452203e-01,9.748134977107517640e-01,8.256391418832507156e-01,9.962990138998061296e-01,1.000000000000000000e+00,7.078355146208354931e-01,6.667798227985010096e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.810781291191505105e-01,8.301214277067888725e-01,8.151005877735533200e-01,9.056296823041892763e-01,8.944440864417977366e-01,7.492916495322106130e-01,8.941758113174599343e-01
7.053370028254866142e-01,5.527803366528818430e-01,7.935801044161600037e-01,4.000043705287695817e-01,9.223911907785262709e-01,9.331259072864230841e-01,6.546316607726003767e-01,8.113730898621135390e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.267903006255278076e-01,6.457700079300512375e-01,6.870343106487148965e-01,8.911696845137020428e-01,1.000000000000000000e+00,6.861696422009784246e-01,1.000000000000000000e+00,6.585074557710441923e-01
