# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.616642390988775491e-01,1.000000000000000000e+00,9.208326194862003211e-01,9.511216310504325699e-01,9.908178600882375786e-01,1.010546212178407455e+00,9.673771869928368128e-01,9.579278135234945424e-01,9.122777926643879098e-01,7.438172717842193027e-01,1.000000000000000000e+00,8.923026681981460762e-01,4.714596198229414892e-01,9.893551779219288411e-01,9.093210328809829823e-01,8.708687842095568232e-01,1.000000000000000000e+00
9.616642390988775491e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.506934062648712436e-01,6.474906408922853629e-01,9.831338318176214841e-01,1.405499317119182079e-01,9.175707518678480890e-01,7.614110133676786907e-01,1.057178277153213664e+00,1.000000000000000000e+00,9.272898254449994937e-01,9.095853906278899004e-01,9.465390275395033637e-01,8.279188887281531128e-01,9.873048318132883194e-01,6.330139018562075393e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.570037050867261641e-01,8.906688170634425861e-01,1.000000000000000000e+00,9.835092337300165299e-01,9.192914377902350331e-01,1.088440149322726480e+00,5.373136939087520547e-01,9.513473203104713116e-01,9.817501206003589331e-01,9.976371858629622391e-01,9.305398814039342881e-01,9.913289316312178245e-01,1.000000000000000000e+00
9.208326194862003211e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,8.592393807441101039e-01,8.953687157827339149e-01,1.066529117802805127e+00,9.706913201014051307e-01,9.261892231678471310e-01,8.553625605447238156e-01,9.421979817658157064e-01,1.000000000000000000e+00,9.849145184933606467e-01,9.858705043380714406e-01,9.678539312538269046e-01,8.711842455233592686e-01,9.352644618733554349e-01,8.184633932862012129e-01
9.511216310504325699e-01,2.506934062648712436e-01,1.000000000000000000e+00,8.592393807441101039e-01,0.000000000000000000e+00,8.548491621083377234e-01,9.311472796731145030e-01,2.494996179280309923e-01,9.102369342784326633e-01,9.139972788871166820e-01,1.014763635909511352e+00,9.822190939755056638e-01,8.940362069829941305e-01,8.691959163423228496e-01,9.370352210299568441e-01,9.161892623859159146e-01,9.657053386686305085e-01,9.318657120627373835e-01
9.908178600882375786e-01,6.474906408922853629e-01,9.570037050867261641e-01,8.953687157827339149e-01,8.548491621083377234e-01,0.000000000000000000e+00,9.595505399466853769e-01,8.520268784095590409e-01,8.618608249723456183e-01,9.198913972660501814e-01,1.058619033232568896e+00,9.618732999714139087e-01,9.468388296632429535e-01,9.537611159922404491e-01,7.950878792599774814e-01,9.440637909269606887e-01,8.996383883159814188e-01,9.730873232886599888e-01
1.010546212178407455e+00,9.831338318176214841e-01,8.906688170634425861e-01,1.066529117802805127e+00,9.311472796731145030e-01,9.595505399466853769e-01,6.343947389797395253e-01,9.772845481232256271e-01,1.053901181024025302e+00,9.056986730730899327e-01,1.122181543478918186e+00,9.362552064586958656e-01,9.985105841932808701e-01,1.012593328116035529e+00,1.044734317637055154e+00,1.051998137494791319e+00,1.083760953191763354e+00,1.052647495358994822e+00
9.673771869928368128e-01,1.405499317119182079e-01,1.000000000000000000e+00,9.706913201014051307e-01,2.494996179280309923e-01,8.520268784095590409e-01,9.772845481232256271e-01,0.000000000000000000e+00,9.161274169488841101e-01,8.833924247733540014e-01,1.109782117124031187e+00,9.060826045068783863e-01,8.983407366796901661e-01,8.638612481501504181e-01,8.717709940599502882e-01,9.206397144517257658e-01,9.293303454312136225e-01,1.000000000000000000e+00
9.579278135234945424e-01,9.175707518678480890e-01,9.835092337300165299e-01,9.261892231678471310e-01,9.102369342784326633e-01,8.618608249723456183e-01,1.053901181024025302e+00,9.161274169488841101e-01,-2.220446049250313081e-16,9.476653564601265067e-01,1.404423539617117189e+00,9.772773329650705776e-01,9.783417563798495475e-01,9.449414145511244589e-01,9.121562411257534420e-01,9.791756521514189959e-01,9.209612049349269469e-01,9.803732199467162234e-01
9.122777926643879098e-01,7.614110133676786907e-01,9.192914377902350331e-01,8.553625605447238156e-01,9.139972788871166820e-01,9.198913972660501814e-01,9.056986730730899327e-01,8.833924247733540014e-01,9.476653564601265067e-01,3.694884380433752780e-01,1.145645325797029601e+00,9.654986553879916222e-01,9.340327173630718072e-01,9.825479145272486559e-01,9.663658789808886596e-01,9.357429684351709076e-01,9.102547347934266675e-01,9.831155954749224435e-01
7.438172717842193027e-01,1.057178277153213664e+00,1.088440149322726480e+00,9.421979817658157064e-01,1.014763635909511352e+00,1.058619033232568896e+00,1.122181543478918186e+00,1.109782117124031187e+00,1.404423539617117189e+00,1.145645325797029601e+00,2.220446049250313081e-16,1.072943226762671287e+00,1.233252620559899704e+00,1.138146881630653473e+00,1.357299734238602174e+00,1.125962172610566414e+00,1.292942527584691526e+00,1.095030157461267972e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.373136939087520547e-01,1.000000000000000000e+00,9.822190939755056638e-01,9.618732999714139087e-01,9.362552064586958656e-01,9.060826045068783863e-01,9.772773329650705776e-01,9.654986553879916222e-01,1.072943226762671287e+00,0.000000000000000000e+00,9.435558873121969725e-01,8.790475678929284831e-01,9.448413597466759350e-01,8.710425894855869933e-01,9.924203316891753168e-01,9.848587411507658818e-01
8.923026681981460762e-01,9.272898254449994937e-01,9.513473203104713116e-01,9.849145184933606467e-01,8.940362069829941305e-01,9.468388296632429535e-01,9.985105841932808701e-01,8.983407366796901661e-01,9.783417563798495475e-01,9.340327173630718072e-01,1.233252620559899704e+00,9.435558873121969725e-01,-2.220446049250313081e-16,9.847141276671949051e-01,9.833665081194119528e-01,7.830976124984719844e-01,9.801127911250038238e-01,9.557683872327054075e-01
4.714596198229414892e-01,9.095853906278899004e-01,9.817501206003589331e-01,9.858705043380714406e-01,8.691959163423228496e-01,9.537611159922404491e-01,1.012593328116035529e+00,8.638612481501504181e-01,9.449414145511244589e-01,9.825479145272486559e-01,1.138146881630653473e+00,8.790475678929284831e-01,9.847141276671949051e-01,0.000000000000000000e+00,9.591001574068775959e-01,9.333990375666574302e-01,9.859560274004491864e-01,9.797082010650284278e-01
9.893551779219288411e-01,9.465390275395033637e-01,9.976371858629622391e-01,9.678539312538269046e-01,9.370352210299568441e-01,7.950878792599774814e-01,1.044734317637055154e+00,8.717709940599502882e-01,9.121562411257534420e-01,9.663658789808886596e-01,1.357299734238602174e+00,9.448413597466759350e-01,9.833665081194119528e-01,9.591001574068775959e-01,-2.220446049250313081e-16,9.835428946560357266e-01,9.496152889657648588e-01,9.842618498252322379e-01
9.093210328809829823e-01,8.279188887281531128e-01,9.305398814039342881e-01,8.711842455233592686e-01,9.161892623859159146e-01,9.440637909269606887e-01,1.051998137494791319e+00,9.206397144517257658e-01,9.791756521514189959e-01,9.357429684351709076e-01,1.125962172610566414e+00,8.710425894855869933e-01,7.830976124984719844e-01,9.333990375666574302e-01,9.835428946560357266e-01,3.330669073875469621e-16,9.754114369360676884e-01,9.351313689983252742e-01
8.708687842095568232e-01,9.873048318132883194e-01,9.913289316312178245e-01,9.352644618733554349e-01,9.657053386686305085e-01,8.996383883159814188e-01,1.083760953191763354e+00,9.293303454312136225e-01,9.209612049349269469e-01,9.102547347934266675e-01,1.292942527584691526e+00,9.924203316891753168e-01,9.801127911250038238e-01,9.859560274004491864e-01,9.496152889657648588e-01,9.754114369360676884e-01,0.000000000000000000e+00,8.668282778696574375e-01
1.000000000000000000e+00,6.330139018562075393e-01,1.000000000000000000e+00,8.184633932862012129e-01,9.318657120627373835e-01,9.730873232886599888e-01,1.052647495358994822e+00,1.000000000000000000e+00,9.803732199467162234e-01,9.831155954749224435e-01,1.095030157461267972e+00,9.848587411507658818e-01,9.557683872327054075e-01,9.797082010650284278e-01,9.842618498252322379e-01,9.351313689983252742e-01,8.668282778696574375e-01,0.000000000000000000e+00
