# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,8.669983921942600036e-01,8.486882783320385260e-01,9.759574075150894146e-01,9.642612199616212854e-01,9.701134709838385994e-01,7.684723110111739697e-01,9.614628832923812762e-01,9.241738288410747959e-01,8.834879659411932762e-01,7.735138598231338092e-01,7.628826859373375457e-01,9.422813765967088528e-01,8.978295314352633394e-01,8.989432581838006087e-01,9.261437306673754311e-01,9.216724523415121828e-01,9.434936894688515929e-01
8.669983921942600036e-01,-2.220446049250313081e-16,9.498755293000160638e-01,9.882525391192424902e-01,2.936660119902259058e-01,1.000000000000000000e+00,8.712513588974697409e-01,2.561372778036631326e-01,9.204114148117347183e-01,7.904858660791909131e-01,7.507255920041897568e-01,6.187950905880504893e-01,9.464198922841567940e-01,9.942526548742288695e-01,9.062847654878030124e-01,9.594569490379176724e-01,8.896735077411337400e-01,8.063885781645302453e-01
8.486882783320385260e-01,9.498755293000160638e-01,4.320479775708069292e-01,9.174533319366342532e-01,9.291172781940435499e-01,9.005767699172593233e-01,7.768938099478530646e-01,9.097159040638032046e-01,9.016521137252024864e-01,8.805066141829183124e-01,9.842887259256638544e-01,8.198807797904659189e-01,9.363283632010048763e-01,9.161816816342056580e-01,9.265858228162133781e-01,9.720109741805946779e-01,9.608386961177562968e-01,7.568201444761246677e-01
9.759574075150894146e-01,9.882525391192424902e-01,9.174533319366342532e-01,4.440892098500626162e-16,1.000000000000000000e+00,9.252488297470623513e-01,9.313356264634791160e-01,9.909431018171525052e-01,9.789926574505426471e-01,9.340024767988754917e-01,9.510969427401259058e-01,9.838650204624903584e-01,8.186442533881034267e-01,8.641580738322967026e-01,9.149569240128102576e-01,9.608608711336026342e-01,9.359959635989253401e-01,9.031897091324757598e-01
9.642612199616212854e-01,2.936660119902259058e-01,9.291172781940435499e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.854530581551753654e-01,9.150896993449797456e-01,2.710396191884762995e-01,9.155827411940260507e-01,5.683255814215604218e-01,7.489739292861746778e-01,9.251263649775851583e-01,9.087707780169520522e-01,9.690066129192096422e-01,8.479260240806046900e-01,8.110837462613958992e-01,8.794830183258861567e-01,8.432067866727156469e-01
9.701134709838385994e-01,1.000000000000000000e+00,9.005767699172593233e-01,9.252488297470623513e-01,9.854530581551753654e-01,1.110223024625156540e-16,9.415339074111673812e-01,9.671426111374075152e-01,7.586386396353175243e-01,9.789206654635502769e-01,9.012923879144347783e-01,1.000000000000000000e+00,9.833637692036593103e-01,8.132321826940442921e-01,9.699319535954868954e-01,9.965448122279489951e-01,7.447454375118206515e-01,8.522482960398732876e-01
7.684723110111739697e-01,8.712513588974697409e-01,7.768938099478530646e-01,9.313356264634791160e-01,9.150896993449797456e-01,9.415339074111673812e-01,5.000000000000000000e-01,9.134946994283312804e-01,1.000000000000000000e+00,7.779025558059886603e-01,9.718547459382390619e-01,8.233356773959987773e-01,6.806118975990980147e-01,9.005647492394331932e-01,9.372227206233383345e-01,7.198740045298115398e-01,8.646589225944969481e-01,8.422681212594239630e-01
9.614628832923812762e-01,2.561372778036631326e-01,9.097159040638032046e-01,9.909431018171525052e-01,2.710396191884762995e-01,9.671426111374075152e-01,9.134946994283312804e-01,-2.220446049250313081e-16,9.157821143456097435e-01,7.597921774089453351e-01,6.157056626996257886e-01,9.100549642357247393e-01,9.240130638596291135e-01,9.865409011162321606e-01,8.772234364714538435e-01,9.441086915031923210e-01,8.692932615472077629e-01,8.737623052033212101e-01
9.241738288410747959e-01,9.204114148117347183e-01,9.016521137252024864e-01,9.789926574505426471e-01,9.155827411940260507e-01,7.586386396353175243e-01,1.000000000000000000e+00,9.157821143456097435e-01,-2.220446049250313081e-16,9.025104795056005935e-01,8.858712424078802883e-01,8.840845793884571924e-01,9.765230372675339776e-01,1.000000000000000000e+00,7.811692119303423887e-01,9.106138393526467256e-01,9.314303385768184507e-01,8.113552205258164340e-01
8.834879659411932762e-01,7.904858660791909131e-01,8.805066141829183124e-01,9.340024767988754917e-01,5.683255814215604218e-01,9.789206654635502769e-01,7.779025558059887713e-01,7.597921774089453351e-01,9.025104795056005935e-01,5.000000000000000000e-01,8.064630432557383655e-01,7.453460950297121634e-01,9.332827076707128633e-01,9.519985349201187663e-01,9.089270443435186753e-01,5.908278061165148642e-01,8.791306229077034962e-01,9.170846562040896321e-01
