# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.623775537051246776e-01,3.459011371294781201e-01,1.000000000000000000e+00,9.203860915613839566e-01,9.514523049564981294e-01,2.378410434511919469e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.400712249304029600e-01,2.781335137175040551e-01,2.398767044389750192e-01,6.583205745029375722e-01,1.000000000000000000e+00,1.066930241089347753e-01,8.986688182822386572e-01,2.888821820166441734e-01
9.623775537051246776e-01,0.000000000000000000e+00,9.444119449431254143e-01,9.396741199795479726e-01,2.756472709560249257e-01,8.968473765039028933e-01,9.278919842261869055e-01,4.239529510239823384e-01,8.648643288031823140e-01,9.436979083422261105e-01,8.065057779973989760e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.406001975094263834e-01,1.000000000000000000e+00,7.911924283256921431e-01,9.818333589261321048e-01
3.459011371294781201e-01,9.444119449431254143e-01,2.225682291811389990e-01,9.762003742025527897e-01,9.755786728449566958e-01,1.000000000000000000e+00,4.005844260820989322e-01,9.379097811108759730e-01,9.808713612068477028e-01,9.254579582522604042e-01,9.427961760249271572e-01,3.768829941979426335e-01,4.008246503667355909e-01,8.139794739571465376e-01,9.798840619087796355e-01,3.793844044093951928e-01,9.522076021771208598e-01,3.853024345622706459e-01
1.000000000000000000e+00,9.396741199795479726e-01,9.762003742025527897e-01,2.309551008758272961e-01,8.790741055270862025e-01,9.712648396375396231e-01,1.000000000000000000e+00,9.483509860238533706e-01,8.601932787288344429e-01,7.552836115694874231e-01,8.454891943564311063e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.975823739241322041e-01,1.000000000000000000e+00,9.537674078424196455e-01,1.000000000000000000e+00
9.203860915613839566e-01,2.756472709560249257e-01,9.755786728449566958e-01,8.790741055270862025e-01,0.000000000000000000e+00,9.500225585567549924e-01,1.000000000000000000e+00,5.526042279991598694e-01,8.390630034025452488e-01,9.298200911853469197e-01,7.218350268537598868e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.768140349335464601e-01,8.807214622799338644e-01,9.922614532211553318e-01,7.736119989374330430e-01,1.000000000000000000e+00
9.514523049564981294e-01,8.968473765039028933e-01,1.000000000000000000e+00,9.712648396375396231e-01,9.500225585567549924e-01,-4.440892098500626162e-16,9.952305087953527973e-01,1.000000000000000000e+00,6.094208407731886989e-01,9.807404198078337743e-01,9.573376265580954003e-01,9.649788277358269939e-01,1.000000000000000000e+00,9.479765027942042011e-01,6.552014272460529032e-01,9.672434466717375612e-01,9.151083361286621587e-01,9.475351951876305190e-01
2.378410434511919469e-01,9.278919842261869055e-01,4.005844260820989322e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.952305087953527973e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.139809162924118713e-01,9.973193723235344033e-01,2.822514066559773660e-01,3.027888255494417535e-01,7.196662957382193859e-01,1.000000000000000000e+00,1.777042467225107281e-01,1.000000000000000000e+00,2.732193157256935789e-01
1.000000000000000000e+00,4.239529510239823384e-01,9.379097811108759730e-01,9.483509860238533706e-01,5.526042279991598694e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,8.426497080346295743e-01,1.000000000000000000e+00,8.947817017748520563e-01,1.000000000000000000e+00,9.109402413528271403e-01,1.000000000000000000e+00,9.896508909200780746e-01,1.000000000000000000e+00,8.714037659337824371e-01,2.618733250250495637e-01
1.000000000000000000e+00,8.648643288031823140e-01,9.808713612068477028e-01,8.601932787288344429e-01,8.390630034025452488e-01,6.094208407731886989e-01,1.000000000000000000e+00,8.426497080346295743e-01,2.220446049250313081e-16,9.551213803181431983e-01,8.375044592745140015e-01,9.679100797889306218e-01,1.000000000000000000e+00,9.313341650830602170e-01,6.449814085265135333e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.436979083422261105e-01,9.254579582522604042e-01,7.552836115694874231e-01,9.298200911853469197e-01,9.807404198078337743e-01,8.139809162924118713e-01,1.000000000000000000e+00,9.551213803181431983e-01,0.000000000000000000e+00,4.687019953163107377e-01,8.544249533257948226e-01,8.957474103561173795e-01,9.813972304251112888e-01,9.668505440622769953e-01,8.978950879233104088e-01,9.075753074631210948e-01,8.322772222074146242e-01
