# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
6.196244799363930245e-01,1.099229079081220917e+00,9.441784992661459430e-01,1.173421709229838683e+00,1.090671494929265517e+00,1.126907447798078943e+00,8.982791904067759514e-01,9.710210955386822107e-01,1.012437277073421571e+00,1.131104208536037659e+00,1.110828311673857316e+00,1.015572867729588769e+00,1.142801721016301952e+00,1.060755258426329339e+00,1.276217992931002687e+00,8.888394052881753993e-01,1.119917179795341333e+00,9.989584578048462671e-01
1.099229079081220917e+00,4.821001697784518814e-02,1.188857324835763674e+00,1.208726220601074486e+00,1.255539249099199894e+00,1.321856482543237066e+00,1.082361204949782385e+00,9.519243618046606681e-01,1.405380108863095723e+00,1.043287516536239856e+00,1.248895434349282185e+00,1.252705272781928780e+00,1.258648468870581016e+00,1.194273341817964962e+00,9.898759067523652533e-01,1.169582046822804422e+00,1.383720093160511366e+00,1.154925683466006214e+00
9.441784992661459430e-01,1.188857324835763674e+00,-2.220446049250313081e-16,9.834689886316958507e-01,1.334716551112246519e+00,1.000000000000000000e+00,1.031223745378790912e+00,1.000000000000000000e+00,9.809650513843419795e-01,1.051658736047218046e+00,1.247771114241946311e+00,9.812282021464754367e-01,8.542145218868856249e-01,1.260401351767943767e+00,1.242362354125420731e+00,8.211650398591934241e-01,9.483454647495541678e-01,9.775087083552835843e-01
1.173421709229838683e+00,1.208726220601074486e+00,9.834689886316958507e-01,1.362083761792877712e-01,1.166995544008877062e+00,9.893734945882397547e-01,1.072720577753985216e+00,9.453551518247097496e-01,9.929977310848988603e-01,1.048738739570152845e+00,1.009071130972369001e+00,9.878625979052420014e-01,9.768467748761353597e-01,1.225513603905757254e+00,1.261847180910341759e+00,9.486917116207211897e-01,9.848440668569948819e-01,9.680942720913658928e-01
1.090671494929265517e+00,1.255539249099199894e+00,1.334716551112246519e+00,1.166995544008877062e+00,1.110223024625156540e-16,1.301901004762707537e+00,1.073958000940317570e+00,6.573209070800383191e-01,1.270607235038620164e+00,1.237005097510626594e+00,1.186375727830330629e+00,1.212592679097878046e+00,1.292310596990909666e+00,1.236551185052908952e+00,1.410161223522058194e+00,1.044972638191109970e+00,1.245764899255353164e+00,1.237618996738015786e+00
1.126907447798078943e+00,1.321856482543237066e+00,1.000000000000000000e+00,9.893734945882397547e-01,1.301901004762707537e+00,0.000000000000000000e+00,1.163829291723046611e+00,9.817946867454243609e-01,1.000000000000000000e+00,1.126930077255304363e+00,1.274738751047145735e+00,9.234468837754048476e-01,9.817920829735752308e-01,1.132503257895874249e+00,1.351406139917733951e+00,1.000000000000000000e+00,7.974039314945566836e-01,9.695807344355901192e-01
8.982791904067759514e-01,1.082361204949782385e+00,1.031223745378790912e+00,1.072720577753985216e+00,1.073958000940317570e+00,1.163829291723046611e+00,3.844014232074652315e-01,1.050626767724539778e+00,1.025457159426643727e+00,1.173556053578120650e+00,1.245733684248170103e+00,1.014827742320769000e+00,1.094453295907249046e+00,1.006876153329789636e+00,1.192028445519461632e+00,7.162220886458523506e-01,1.086940910465728161e+00,1.067678505763401509e+00
9.710210955386822107e-01,9.519243618046606681e-01,1.000000000000000000e+00,9.453551518247097496e-01,6.573209070800383191e-01,9.817946867454243609e-01,1.050626767724539778e+00,1.110223024625156540e-16,9.774512818879630416e-01,1.106954851127256223e+00,1.097914955514289082e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.112125330330706596e+00,1.160013247512317491e+00,8.847285735621236435e-01,9.657823617251400927e-01,6.433465879769788565e-01
1.012437277073421571e+00,1.405380108863095723e+00,9.809650513843419795e-01,9.929977310848988603e-01,1.270607235038620164e+00,1.000000000000000000e+00,1.025457159426643727e+00,9.774512818879630416e-01,1.110223024625156540e-16,1.142714058723192982e+00,1.162197240365794082e+00,9.299226682499701635e-01,9.027726248282592625e-01,1.231597760228826166e+00,1.330616303783126453e+00,1.000000000000000000e+00,9.331487871053459893e-01,9.269445223266057354e-01
1.131104208536037659e+00,1.043287516536239856e+00,1.051658736047218046e+00,1.048738739570152845e+00,1.237005097510626594e+00,1.126930077255304363e+00,1.173556053578120650e+00,1.106954851127256223e+00,1.142714058723192982e+00,6.154786981648796562e-01,9.865173167184612124e-01,1.126607835246172140e+00,1.105457325390030388e+00,1.179473326065168415e+00,1.076912399570005174e+00,1.040044475698479021e+00,1.063608365049175886e+00,1.084215020433925369e+00
1.110828311673857316e+00,1.248895434349282185e+00,1.247771114241946311e+00,1.009071130972369001e+00,1.186375727830330629e+00,1.274738751047145735e+00,1.245733684248170103e+00,1.097914955514289082e+00,1.162197240365794082e+00,9.865173167184612124e-01,0.000000000000000000e+00,1.317310095264331071e+00,1.303469298012451594e+00,1.179020059056766989e+00,1.268709669767348336e+00,1.213890698040277272e+00,1.256225820657348002e+00,1.156034148125687722e+00
1.015572867729588769e+00,1.252705272781928780e+00,9.812282021464754367e-01,9.878625979052420014e-01,1.212592679097878046e+00,9.234468837754048476e-01,1.014827742320769000e+00,1.000000000000000000e+00,9.299226682499701635e-01,1.126607835246172140e+00,1.317310095264331071e+00,-2.220446049250313081e-16,3.839048764379136003e-01,1.168470673097863788e+00,1.220150008323641178e+00,9.266886286696063291e-01,9.882561258829141160e-01,8.731937048870376250e-01
1.142801721016301952e+00,1.258648468870581016e+00,8.542145218868856249e-01,9.768467748761353597e-01,1.292310596990909666e+00,9.817920829735752308e-01,1.094453295907249046e+00,1.000000000000000000e+00,9.027726248282592625e-01,1.105457325390030388e+00,1.303469298012451594e+00,3.839048764379136003e-01,3.330669073875469621e-16,1.190609292782768058e+00,1.194718286928464046e+00,9.920599925994960655e-01,9.924540976976843343e-01,9.992373905365624642e-01
1.060755258426329339e+00,1.194273341817964962e+00,1.260401351767943767e+00,1.225513603905757254e+00,1.236551185052908952e+00,1.132503257895874249e+00,1.006876153329789636e+00,1.112125330330706596e+00,1.231597760228826166e+00,1.179473326065168637e+00,1.179020059056766989e+00,1.168470673097863788e+00,1.190609292782768058e+00,5.046124207257320915e-01,1.242332320643518173e+00,1.073166980913052182e+00,1.181835332747399381e+00,1.212580032292256860e+00
1.276217992931002687e+00,9.898759067523652533e-01,1.242362354125420731e+00,1.261847180910341759e+00,1.410161223522058194e+00,1.351406139917733951e+00,1.192028445519461632e+00,1.160013247512317491e+00,1.330616303783126453e+00,1.076912399570005174e+00,1.268709669767348336e+00,1.220150008323641178e+00,1.194718286928464046e+00,1.242332320643518173e+00,0.000000000000000000e+00,1.220283040133662622e+00,1.376937669632814609e+00,1.301739180206357593e+00
8.888394052881753993e-01,1.169582046822804422e+00,8.211650398591934241e-01,9.486917116207211897e-01,1.044972638191109970e+00,1.000000000000000000e+00,7.162220886458523506e-01,8.847285735621236435e-01,1.000000000000000000e+00,1.040044475698479021e+00,1.213890698040277272e+00,9.266886286696063291e-01,9.920599925994960655e-01,1.073166980913052182e+00,1.220283040133662622e+00,1.110223024625156540e-16,9.545375332823483605e-01,9.928185837589823537e-01
1.119917179795341333e+00,1.383720093160511366e+00,9.483454647495541678e-01,9.848440668569948819e-01,1.245764899255353164e+00,7.974039314945566836e-01,1.086940910465728161e+00,9.657823617251400927e-01,9.331487871053459893e-01,1.063608365049175886e+00,1.256225820657348002e+00,9.882561258829141160e-01,9.924540976976843343e-01,1.181835332747399381e+00,1.376937669632814609e+00,9.545375332823483605e-01,1.110223024625156540e-16,9.814781821921120253e-01
9.989584578048462671e-01,1.154925683466006214e+00,9.775087083552835843e-01,9.680942720913658928e-01,1.237618996738015786e+00,9.695807344355901192e-01,1.067678505763401509e+00,6.433465879769788565e-01,9.269445223266057354e-01,1.084215020433925369e+00,1.156034148125687722e+00,8.731937048870376250e-01,9.992373905365624642e-01,1.212580032292256860e+00,1.301739180206357593e+00,9.928185837589823537e-01,9.814781821921120253e-01,-2.220446049250313081e-16
