# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.062035018933468855e+00,4.547996270952534559e-01,1.224873654167696557e+00,9.540289726650308388e-01,1.242292300973288244e+00,1.494088376636522053e-01,1.025887546271402773e+00,1.115143840522156982e+00,1.212889469114916574e+00,1.137623111880481153e+00,2.706780292943695709e-01,1.390729116574241919e-01,6.469059835063648567e-01,1.132043977545892588e+00,1.020978620787372559e+00,1.152440889419515724e+00,2.277255377468818676e-01
1.062035018933468855e+00,2.220446049250313081e-16,1.062508667411177221e+00,1.378919551647241670e+00,6.013941204491941583e-01,1.178394826276618623e+00,9.685559279457198745e-01,4.952748687542636308e-01,1.263577598329909568e+00,1.017870743071544792e+00,1.114242192542894472e+00,1.116160982978452232e+00,1.185430899916894099e+00,1.166251313497175701e+00,1.114350238859368236e+00,8.848842039048332442e-01,1.324135885668610735e+00,1.138211759476851714e+00
4.547996270952534559e-01,1.062508667411177221e+00,0.000000000000000000e+00,1.231846821654543511e+00,9.104920926216371058e-01,1.276707263861650787e+00,5.297229300026916610e-01,8.067867939942064970e-01,1.176913786786923044e+00,1.004241074657363564e+00,1.201722142923065340e+00,5.370673037466404676e-01,5.314569241708854141e-01,8.197976435734981582e-01,1.175457372792008570e+00,1.207261151643812758e+00,1.174797904465466614e+00,5.182000645773312542e-01
1.224873654167696557e+00,1.378919551647241670e+00,1.231846821654543511e+00,1.110223024625156540e-16,1.320322856178148152e+00,9.727746223692838035e-01,1.202956812587194113e+00,1.299755792829353940e+00,9.939636798102472470e-01,1.164799629682542470e+00,1.205529891743436943e+00,1.209070071970549609e+00,1.280601773946203448e+00,1.278239808592244398e+00,9.766763571749041972e-01,9.551483359263336359e-01,9.711918291860309749e-01,1.216626811391214869e+00
9.540289726650308388e-01,6.013941204491941583e-01,9.104920926216371058e-01,1.320322856178148152e+00,0.000000000000000000e+00,1.215627143393964271e+00,1.133929240714172781e+00,5.208167121715486791e-01,1.255013047842677976e+00,1.056466641373776216e+00,1.257907798444844349e+00,1.135208151163197066e+00,1.192116835398024044e+00,1.221157929513166707e+00,1.340519240143465574e+00,1.110098783754741136e+00,1.269842698961605842e+00,1.114933480458369930e+00
1.242292300973288244e+00,1.178394826276618623e+00,1.276707263861650787e+00,9.727746223692838035e-01,1.215627143393964271e+00,0.000000000000000000e+00,1.278953654439280108e+00,1.208717158197363473e+00,6.896270543187092983e-01,1.216355876868290053e+00,1.226875927331370519e+00,1.271788616743193323e+00,1.348084681083691061e+00,1.231287854690310102e+00,7.655653371483144287e-01,8.576186617898796660e-01,8.581725531976598376e-01,1.264292227911228306e+00
1.494088376636522053e-01,9.685559279457198745e-01,5.297229300026916610e-01,1.202956812587194113e+00,1.133929240714172781e+00,1.278953654439280108e+00,-2.220446049250313081e-16,8.646826251758380488e-01,1.092031659194002469e+00,1.212567804653932768e+00,1.104458288309141833e+00,2.421774196408151836e-01,2.848811544816847174e-01,7.497114423417965412e-01,1.130405749935248672e+00,1.053609887727171346e+00,1.139004649402235447e+00,3.225269926366574058e-01
1.025887546271402773e+00,4.952748687542636308e-01,8.067867939942064970e-01,1.299755792829353940e+00,5.208167121715486791e-01,1.208717158197363473e+00,8.646826251758380488e-01,3.330669073875469621e-16,1.231506294458029505e+00,1.092075665496609949e+00,1.176767325533280673e+00,9.925191063048562912e-01,1.063777548583217492e+00,9.115531250787081152e-01,1.240902794106494511e+00,9.822440319015152133e-01,1.299069907020766745e+00,8.056738894673481921e-01
1.115143840522156982e+00,1.263577598329909568e+00,1.176913786786923044e+00,9.939636798102472470e-01,1.255013047842677976e+00,6.896270543187092983e-01,1.092031659194002469e+00,1.231506294458029505e+00,-2.220446049250313081e-16,1.175720628757491726e+00,1.223844500709843297e+00,1.145023355235728957e+00,1.164583058907100233e+00,1.263268554802999155e+00,4.952001536219106104e-01,9.538883389819006187e-01,7.427510500968783624e-01,1.101566338379236232e+00
1.212889469114916574e+00,1.017870743071544792e+00,1.004241074657363564e+00,1.164799629682542470e+00,1.056466641373776216e+00,1.216355876868290053e+00,1.212567804653932768e+00,1.092075665496609949e+00,1.175720628757491726e+00,2.220446049250313081e-16,6.519984742309428150e-01,1.122307910306465706e+00,1.128594928578336098e+00,1.079898720388794642e+00,1.210774695081339392e+00,1.167710706673909193e+00,1.267879052939263840e+00,1.117456076670899634e+00
