# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.286767224405533483e-01,5.510370322019754186e-01,8.822492135200837859e-01,8.968354732922902972e-01,9.436871885287869688e-01,3.086557843723088945e-01,9.819540799513847285e-01,9.318589579053584426e-01,1.000000000000000000e+00,8.694804629902244120e-01,9.688468965656525933e-01,8.188151224826633046e-01,8.745512157975300349e-01,8.846698412540890955e-01,4.151790822954477544e-01,9.375200892092938609e-01,9.638911190437431387e-01
8.286767224405533483e-01,0.000000000000000000e+00,8.890116707412587527e-01,8.943370553558338543e-01,5.263501386141413718e-01,8.985657471812086294e-01,8.901898888932703313e-01,5.480665799354096368e-01,8.514446465833571676e-01,9.523458281917498436e-01,8.888172334363169114e-01,9.462531531572289101e-01,9.437146181511315568e-01,9.155329298510974656e-01,9.379260026724957067e-01,9.057281731268871372e-01,9.593283944614662273e-01,9.409367495891294286e-01
5.510370322019754186e-01,8.890116707412587527e-01,1.110223024625156540e-16,9.770408211805280407e-01,7.503467361335938168e-01,9.465472008144135696e-01,6.053208219111495536e-01,9.466179766181385125e-01,9.070058954174866628e-01,9.111053808008620081e-01,9.892436350590804173e-01,9.414867266456528050e-01,6.401090842663306191e-01,7.199590706170342358e-01,8.888399337901616848e-01,4.866641290138467024e-01,9.386305669373844474e-01,9.574820345002967859e-01
8.822492135200837859e-01,8.943370553558338543e-01,9.770408211805280407e-01,0.000000000000000000e+00,9.658982602625181269e-01,8.352146204001467122e-01,9.093393339215054549e-01,1.000000000000000000e+00,9.840412422971996920e-01,9.913514505605568461e-01,9.393522121431288063e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.331680500328362049e-01,8.601815992143446721e-01,9.764159951796177461e-01,9.769465935439058946e-01,1.000000000000000000e+00
8.968354732922902972e-01,5.263501386141413718e-01,7.503467361335938168e-01,9.658982602625181269e-01,-2.220446049250313081e-16,9.691747262439032173e-01,7.402780425046993074e-01,3.815637912392156883e-01,9.098544115166227186e-01,8.654887965675273076e-01,7.165533640143630922e-01,8.927676231611416657e-01,8.946844715119759428e-01,8.521628531727214462e-01,9.095087639021456338e-01,7.213960719706542513e-01,9.521486935187637446e-01,8.886421046178959449e-01
9.436871885287869688e-01,8.985657471812086294e-01,9.465472008144135696e-01,8.352146204001467122e-01,9.691747262439032173e-01,3.330669073875469621e-16,9.090093594271724253e-01,8.801036458102594606e-01,8.224943615408654152e-01,9.125431973444997347e-01,9.862328334791412576e-01,9.773263990856000394e-01,9.623491790745349883e-01,9.304184298162665456e-01,9.916401286157907613e-01,8.680850449753316767e-01,4.417579397471180780e-01,1.000000000000000000e+00
3.086557843723088945e-01,8.901898888932703313e-01,6.053208219111495536e-01,9.093393339215054549e-01,7.402780425046993074e-01,9.090093594271724253e-01,0.000000000000000000e+00,8.328665977664735376e-01,9.299863874070792846e-01,8.775754092590467570e-01,9.463647955968381709e-01,9.572354472925074242e-01,6.249433624604012749e-01,7.756093979527693971e-01,8.830877819854319188e-01,1.959733289942193757e-01,9.106703252339589660e-01,9.535165122192634790e-01
9.819540799513847285e-01,5.480665799354096368e-01,9.466179766181385125e-01,1.000000000000000000e+00,3.815637912392156883e-01,8.801036458102594606e-01,8.328665977664735376e-01,2.220446049250313081e-16,9.598747327796079976e-01,9.845370827137911451e-01,7.159241635519257851e-01,8.424818138246801258e-01,8.458245912191063587e-01,9.880527923057309536e-01,9.422084893393983807e-01,8.047994736974657393e-01,9.042713743632155854e-01,8.100950499353335443e-01
9.318589579053584426e-01,8.514446465833571676e-01,9.070058954174866628e-01,9.840412422971996920e-01,9.098544115166227186e-01,8.224943615408654152e-01,9.299863874070792846e-01,9.598747327796079976e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.515482446782670412e-01,8.131844555964836685e-01,9.285244145208859656e-01,9.297207453408640188e-01,9.777536527046646331e-01,9.230007406303570860e-01,8.859416116341970460e-01,8.265443561672013439e-01
1.000000000000000000e+00,9.523458281917498436e-01,9.111053808008620081e-01,9.913514505605568461e-01,8.654887965675273076e-01,9.125431973444997347e-01,8.775754092590467570e-01,9.845370827137911451e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,9.058001067347346558e-01,1.000000000000000000e+00,8.700043759600772919e-01,9.898737980069809428e-01,8.384282544425125661e-01,9.352473065318371859e-01,9.198708396139084753e-01
