# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.919467917998719964e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.675889521691549922e-01,9.463304978691110536e-01,4.616521632131282971e-01,9.534183812882138787e-01,9.776241661816482686e-01,9.090303758189105521e-01,7.474052169104828947e-01,8.432704285027974311e-01,1.000000000000000000e+00,8.654427141433862491e-01,8.705039047540372721e-01,3.553380618490691312e-01,9.120775129388473124e-01,8.669111315285737973e-01
9.919467917998719964e-01,0.000000000000000000e+00,9.293831301380443000e-01,1.000000000000000000e+00,7.988799580356507057e-01,6.951555588776818784e-01,7.997399486038070382e-01,5.989171916782329852e-01,9.111979006367564304e-01,9.451147199142718724e-01,8.382936531957052573e-01,9.448326893351771671e-01,8.324262333062346642e-01,8.935149295977231620e-01,9.309702271596486112e-01,7.904843629352014123e-01,9.211909269698944636e-01,9.378113604039651774e-01
1.000000000000000000e+00,9.293831301380443000e-01,0.000000000000000000e+00,9.140687964547150601e-01,9.175031177186524500e-01,8.430595597901382465e-01,9.837737423815094973e-01,9.623892739947520480e-01,1.000000000000000000e+00,9.245560283910645438e-01,9.092261805667372077e-01,8.633978324411469840e-01,9.427523578666472392e-01,9.895255966069310682e-01,9.772592930573855696e-01,9.722294047705299924e-01,8.678829247193391438e-01,8.890278663230316569e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.140687964547150601e-01,0.000000000000000000e+00,9.639202615046077449e-01,9.924316815692877380e-01,1.000000000000000000e+00,9.732737671096636234e-01,9.856623337764488513e-01,9.590057653391642623e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.809320339187956872e-01,9.830566159032035900e-01,9.201709880252071372e-01,7.723105471879343487e-01
8.675889521691549922e-01,7.988799580356507057e-01,9.175031177186524500e-01,9.639202615046077449e-01,2.220446049250313081e-16,9.175109405077379598e-01,8.323107716422255553e-01,7.589805576907541207e-01,9.135210717095105792e-01,9.696072425304035347e-01,9.395722612972756682e-01,7.091136296891771273e-01,9.803509328063139128e-01,9.523521703505434255e-01,9.356409990345371241e-01,7.954808303506625267e-01,9.202271280217608762e-01,7.063587008791601951e-01
9.463304978691110536e-01,6.951555588776818784e-01,8.430595597901382465e-01,9.924316815692877380e-01,9.175109405077379598e-01,0.000000000000000000e+00,8.823190793040582847e-01,8.096082245198408245e-01,8.765571208909026524e-01,9.950882238280108760e-01,9.755623947459114431e-01,8.787958586967392627e-01,8.727664452693124630e-01,8.760917949928892501e-01,8.179214135896608617e-01,8.153365662212330722e-01,8.515158444313600805e-01,8.782833399174772016e-01
4.616521632131282971e-01,7.997399486038070382e-01,9.837737423815094973e-01,1.000000000000000000e+00,8.323107716422255553e-01,8.823190793040582847e-01,0.000000000000000000e+00,8.933157593352429870e-01,9.721021007662608016e-01,7.663989687468242273e-01,7.135340792216300354e-01,7.243899737308492348e-01,1.000000000000000000e+00,8.486521249516034704e-01,6.852809713350269671e-01,2.512504632542988947e-01,9.147256956521424565e-01,7.207128772566712138e-01
9.534183812882138787e-01,5.989171916782329852e-01,9.623892739947520480e-01,9.732737671096636234e-01,7.589805576907541207e-01,8.096082245198408245e-01,8.933157593352429870e-01,4.999999999999999445e-01,9.608632541774985159e-01,9.997458596166499678e-01,8.956285235464989114e-01,8.551397055927447699e-01,9.457245257008514150e-01,1.000000000000000000e+00,9.622083033675694619e-01,9.082872458667190507e-01,9.155766059260073142e-01,7.927230316253290887e-01
9.776241661816482686e-01,9.111979006367564304e-01,1.000000000000000000e+00,9.856623337764488513e-01,9.135210717095105792e-01,8.765571208909026524e-01,9.721021007662608016e-01,9.608632541774985159e-01,0.000000000000000000e+00,9.762780785972944297e-01,9.565888703471280285e-01,9.634109782212678663e-01,8.331248832143042238e-01,9.979568488081336231e-01,9.264410078741626142e-01,9.487352788899597877e-01,8.567697500056996596e-01,9.689303933931893154e-01
9.090303758189105521e-01,9.451147199142718724e-01,9.245560283910645438e-01,9.590057653391642623e-01,9.696072425304035347e-01,9.950882238280108760e-01,7.663989687468242273e-01,9.997458596166499678e-01,9.762780785972944297e-01,5.551115123125782702e-16,8.385464081592771679e-01,1.000000000000000000e+00,9.648252277870745797e-01,9.957585214547717278e-01,8.664503671089516246e-01,7.951386108019544707e-01,9.756224007280914767e-01,1.000000000000000000e+00
