# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
4.794832257682794530e-01,6.971667685815396975e-01,9.276915971786643400e-01,8.568536265665896989e-01,9.111375813321667128e-01,9.534143285745113605e-01,7.079751151921015451e-01,8.557093643373230307e-01,9.420028566602667297e-01,9.685611145612439410e-01,8.364631293436902704e-01,8.471476950134910755e-01,8.948765335106649843e-01,8.324050802577693808e-01,1.072357350722805691e+00,6.149400985075573756e-01,9.892888391441898577e-01,8.565821815908913894e-01
6.971667685815396975e-01,0.000000000000000000e+00,9.304666536421674072e-01,8.234322029752112471e-01,4.919948452673905681e-01,1.000000000000000000e+00,7.483349122827316346e-01,3.832141036932912304e-01,8.130086257236087688e-01,8.442154403646328076e-01,7.582492117681314259e-01,9.150268938268801833e-01,9.250615465551503824e-01,9.496046882510510434e-01,1.011391113157318777e+00,9.183893020420531572e-01,9.781491858741985235e-01,9.061461908396196696e-01
9.276915971786643400e-01,9.304666536421674072e-01,4.138117890200719851e-01,9.299383203753548433e-01,9.357039876193702366e-01,9.787037719550517600e-01,9.751183504984641814e-01,8.919365650450866712e-01,8.631333496381816683e-01,8.621188277695713831e-01,9.684389282501271179e-01,9.000042932111946836e-01,9.221712728644431145e-01,9.435047044609425893e-01,1.141213158856552390e+00,8.251080829573917974e-01,9.348798317350068832e-01,8.968206625368716489e-01
8.568536265665896989e-01,8.234322029752112471e-01,9.299383203753548433e-01,0.000000000000000000e+00,7.509023280964575164e-01,1.000000000000000000e+00,8.955393081698240776e-01,8.189794860290645628e-01,9.086337870784423343e-01,9.661354862747960626e-01,3.803441516347317863e-01,9.136879985925294712e-01,9.158372785276458483e-01,7.181397933427368097e-01,9.539709799062050521e-01,7.714255364256006331e-01,1.000000000000000000e+00,9.382857404701842041e-01
9.111375813321667128e-01,4.919948452673905681e-01,9.357039876193702366e-01,7.509023280964575164e-01,-2.220446049250313081e-16,9.837165345933568394e-01,7.512573979610978059e-01,4.728887865209792096e-01,8.108020932577686413e-01,9.530751568817463770e-01,8.290075036101010042e-01,9.145979130856826123e-01,9.139078628549937022e-01,9.290603257554465033e-01,8.833899319749707324e-01,8.216352714664132417e-01,9.758360387559760207e-01,9.247622185555538499e-01
9.534143285745113605e-01,1.000000000000000000e+00,9.787037719550517600e-01,1.000000000000000000e+00,9.837165345933568394e-01,0.000000000000000000e+00,9.077815221157526926e-01,1.000000000000000000e+00,9.532188909718921632e-01,8.678013524483196850e-01,1.000000000000000000e+00,9.445915601497268943e-01,9.284612389875771532e-01,9.462593007055896122e-01,1.066206879105503935e+00,7.854730468446400327e-01,6.857941705037842173e-01,9.567125743449529374e-01
7.079751151921015451e-01,7.483349122827316346e-01,9.751183504984641814e-01,8.955393081698240776e-01,7.512573979610978059e-01,9.077815221157526926e-01,1.706295429135726849e-01,7.330390346608539609e-01,9.059885353673748920e-01,9.513802509319966294e-01,8.608430823397850151e-01,9.019227910032246998e-01,9.102190573299371312e-01,8.980591640233482886e-01,1.063411195889114369e+00,8.619170651042276088e-01,9.578060238651973091e-01,8.631526719876233544e-01
8.557093643373230307e-01,3.832141036932912304e-01,8.919365650450866712e-01,8.189794860290645628e-01,4.728887865209792096e-01,1.000000000000000000e+00,7.330390346608539609e-01,0.000000000000000000e+00,8.698976355142828965e-01,8.454812054369984509e-01,6.923788735074947187e-01,9.218428337189419342e-01,9.309701902690169506e-01,8.979305198663993792e-01,1.004543329313777544e+00,8.957003711358085818e-01,9.216075956681780701e-01,6.369231308328147101e-01
9.420028566602667297e-01,8.130086257236087688e-01,8.631333496381816683e-01,9.086337870784423343e-01,8.108020932577686413e-01,9.532188909718921632e-01,9.059885353673748920e-01,8.698976355142828965e-01,0.000000000000000000e+00,8.650470238905436648e-01,9.246056884170444912e-01,8.853190498053947755e-01,9.176622617008606264e-01,9.798550986273123486e-01,1.140155513172505852e+00,8.788652160708294581e-01,9.751815114264252848e-01,8.820197776963352165e-01
9.685611145612439410e-01,8.442154403646328076e-01,8.621188277695713831e-01,9.661354862747960626e-01,9.530751568817463770e-01,8.678013524483196850e-01,9.513802509319966294e-01,8.454812054369984509e-01,8.650470238905436648e-01,2.220446049250313081e-16,1.000000000000000000e+00,8.988951197588899156e-01,9.788538618686086767e-01,9.999821847857996993e-01,1.057351399157923311e+00,1.000000000000000000e+00,9.444600563274503369e-01,9.871958712052381069e-01
8.364631293436902704e-01,7.582492117681314259e-01,9.684389282501271179e-01,3.803441516347317863e-01,8.290075036101010042e-01,1.000000000000000000e+00,8.608430823397850151e-01,6.923788735074947187e-01,9.246056884170444912e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.122048925741056413e-01,9.041335444898191964e-01,7.750670529746905846e-01,9.770705579558213172e-01,6.700770057024122428e-01,1.000000000000000000e+00,8.996219174932282847e-01
8.471476950134910755e-01,9.150268938268801833e-01,9.000042932111946836e-01,9.136879985925294712e-01,9.145979130856826123e-01,9.445915601497268943e-01,9.019227910032246998e-01,9.218428337189419342e-01,8.853190498053947755e-01,8.988951197588899156e-01,9.122048925741056413e-01,1.110223024625156540e-16,1.953489970702773082e-01,1.000000000000000000e+00,1.116183859383479193e+00,7.496243270625368993e-01,9.757395080166950674e-01,1.072905909110007938e-01
8.948765335106649843e-01,9.250615465551503824e-01,9.221712728644431145e-01,9.158372785276458483e-01,9.139078628549937022e-01,9.284612389875771532e-01,9.102190573299371312e-01,9.309701902690169506e-01,9.176622617008606264e-01,9.788538618686086767e-01,9.041335444898191964e-01,1.953489970702773082e-01,-2.220446049250313081e-16,1.000000000000000000e+00,1.081281558282852773e+00,7.485857214250233316e-01,9.950774544559271018e-01,1.869258967536669980e-01
8.324050802577693808e-01,9.496046882510510434e-01,9.435047044609425893e-01,7.181397933427368097e-01,9.290603257554465033e-01,9.462593007055896122e-01,8.980591640233482886e-01,8.979305198663993792e-01,9.798550986273123486e-01,9.999821847857996993e-01,7.750670529746905846e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.096203784837290307e+00,7.173319064767254005e-01,9.850155499597710307e-01,1.000000000000000000e+00
1.072357350722805691e+00,1.011391113157318777e+00,1.141213158856552390e+00,9.539709799062050521e-01,8.833899319749707324e-01,1.066206879105503935e+00,1.063411195889114369e+00,1.004543329313777544e+00,1.140155513172505852e+00,1.057351399157923311e+00,9.770705579558213172e-01,1.116183859383479193e+00,1.081281558282852773e+00,1.096203784837290307e+00,0.000000000000000000e+00,1.088971156135982721e+00,1.182824650906850739e+00,1.137323137277326257e+00
6.149400985075573756e-01,9.183893020420531572e-01,8.251080829573917974e-01,7.714255364256006331e-01,8.216352714664132417e-01,7.854730468446400327e-01,8.619170651042276088e-01,8.957003711358085818e-01,8.788652160708294581e-01,1.000000000000000000e+00,6.700770057024122428e-01,7.496243270625368993e-01,7.485857214250233316e-01,7.173319064767254005e-01,1.088971156135982721e+00,1.110223024625156540e-16,8.848740578511882227e-01,6.885662594607798725e-01
9.892888391441898577e-01,9.781491858741985235e-01,9.348798317350068832e-01,1.000000000000000000e+00,9.758360387559760207e-01,6.857941705037842173e-01,9.578060238651973091e-01,9.216075956681780701e-01,9.751815114264252848e-01,9.444600563274503369e-01,1.000000000000000000e+00,9.757395080166950674e-01,9.950774544559271018e-01,9.850155499597710307e-01,1.182824650906850739e+00,8.848740578511882227e-01,-2.220446049250313081e-16,9.366532306843704525e-01
8.565821815908913894e-01,9.061461908396196696e-01,8.968206625368716489e-01,9.382857404701842041e-01,9.247622185555538499e-01,9.567125743449529374e-01,8.631526719876233544e-01,6.369231308328147101e-01,8.820197776963352165e-01,9.871958712052381069e-01,8.996219174932282847e-01,1.072905909110007938e-01,1.869258967536669980e-01,1.000000000000000000e+00,1.137323137277326257e+00,6.885662594607798725e-01,9.366532306843704525e-01,0.000000000000000000e+00
