# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.310106303767634817e-01,9.740710025249360582e-01,8.233821298809409495e-01,1.000000000000000000e+00,8.117019980403548107e-01,8.341808483999204604e-01,9.526322128062140182e-01,1.000000000000000000e+00,9.294237136021813450e-01,1.038224477149393810e+00,1.000000000000000000e+00,8.079572587667717132e-01,8.679873692960348164e-01,1.000000000000000000e+00,1.504819851947697407e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.310106303767634817e-01,0.000000000000000000e+00,9.771983525146242799e-01,9.443303091261314730e-01,8.186681615226847342e-01,8.574589295035510705e-01,8.559033957425296046e-01,6.431125855280466208e-01,9.549297912115022324e-01,8.577986719143616545e-01,1.119774349393136692e+00,9.508588836527532839e-01,8.732040669298994917e-01,7.321266744511512048e-01,9.253228042208535564e-01,9.057779963705692161e-01,1.000000000000000000e+00,9.026696472789751402e-01
9.740710025249360582e-01,9.771983525146242799e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.404160794789033995e-01,1.000000000000000000e+00,8.443622516754512031e-01,9.204804541699629361e-01,9.333404721418790961e-01,9.246690906481583871e-01,1.132046165246132663e+00,9.836393489914143640e-01,8.987357232244355121e-01,9.723427179750345761e-01,9.024010088164977628e-01,9.294506646773601499e-01,9.805792031374512829e-01,9.598426058528670701e-01
8.233821298809409495e-01,9.443303091261314730e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.567515644407655895e-01,9.575729376612311938e-01,9.808330076446962753e-01,9.754251509535764031e-01,9.489050230651602247e-01,1.057568773661606176e+00,9.471271055050505261e-01,1.000000000000000000e+00,9.739233091746051230e-01,9.810980047130538617e-01,8.459108427318303702e-01,9.920023575811144356e-01,9.593231342151166130e-01
1.000000000000000000e+00,8.186681615226847342e-01,8.404160794789033995e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.535015390575469763e-01,8.965474618430409048e-01,7.657794063110372473e-01,9.642196525338273538e-01,8.822802828504269224e-01,1.056526752323091234e+00,9.965351130903659094e-01,1.000000000000000000e+00,8.205423185951007392e-01,9.710636860113175395e-01,1.000000000000000000e+00,8.753683353694017288e-01,8.368882172287368526e-01
8.117019980403548107e-01,8.574589295035510705e-01,1.000000000000000000e+00,9.567515644407655895e-01,9.535015390575469763e-01,0.000000000000000000e+00,9.455309232146058562e-01,9.209424021444334585e-01,8.983846873781096143e-01,8.714835311707039844e-01,1.008288051062012691e+00,8.680073929302870583e-01,9.067203569854443979e-01,8.348941696300304915e-01,9.694210484088049418e-01,8.164271928692981017e-01,8.897502412019674400e-01,9.285108264041106452e-01
8.341808483999204604e-01,8.559033957425296046e-01,8.443622516754512031e-01,9.575729376612311938e-01,8.965474618430409048e-01,9.455309232146058562e-01,4.742271569650144958e-01,9.268805338598266053e-01,9.302058224591673863e-01,8.168095455058410614e-01,1.129767957543661439e+00,8.747110925300467521e-01,9.387914667089004572e-01,9.337339970389849642e-01,9.260743033800421520e-01,8.638647161908952210e-01,9.830818602409778784e-01,8.859768059366623927e-01
9.526322128062140182e-01,6.431125855280466208e-01,9.204804541699629361e-01,9.808330076446962753e-01,7.657794063110372473e-01,9.209424021444334585e-01,9.268805338598267163e-01,5.000000000000000000e-01,9.621624828842689769e-01,9.182404208044631089e-01,1.073838681993037669e+00,9.470272693569801170e-01,8.925165356891489044e-01,7.446497218039800359e-01,9.701656412040144950e-01,9.742121915976726942e-01,9.520626602483576173e-01,9.460449158574018025e-01
1.000000000000000000e+00,9.549297912115022324e-01,9.333404721418790961e-01,9.754251509535764031e-01,9.642196525338273538e-01,8.983846873781096143e-01,9.302058224591673863e-01,9.621624828842689769e-01,2.220446049250313081e-16,9.776119919961147042e-01,1.268418613250954508e+00,9.496381040569980003e-01,1.000000000000000000e+00,9.950052953483634610e-01,9.380128175309493388e-01,1.000000000000000000e+00,9.805774962158901875e-01,9.629945033094490237e-01
9.294237136021813450e-01,8.577986719143616545e-01,9.246690906481583871e-01,9.489050230651602247e-01,8.822802828504269224e-01,8.714835311707039844e-01,8.168095455058409504e-01,9.182404208044631089e-01,9.776119919961147042e-01,4.724243975807546625e-01,1.030700972054612974e+00,9.916252945362779014e-01,9.000980399019246070e-01,8.685478745600061501e-01,9.566043577377585372e-01,8.823010940455704443e-01,9.643753808557883334e-01,9.822584929798274800e-01
1.038224477149393810e+00,1.119774349393136692e+00,1.132046165246132663e+00,1.057568773661606176e+00,1.056526752323091234e+00,1.008288051062012691e+00,1.129767957543661439e+00,1.073838681993037669e+00,1.268418613250954508e+00,1.030700972054612974e+00,6.296060801034671917e-01,1.129769119613961648e+00,1.036496580713076376e+00,1.140503785926061386e+00,1.306984915399262093e+00,9.926070548815926209e-01,1.287140196245334378e+00,1.164553360058878662e+00
1.000000000000000000e+00,9.508588836527532839e-01,9.836393489914143640e-01,9.471271055050505261e-01,9.965351130903659094e-01,8.680073929302870583e-01,8.747110925300467521e-01,9.470272693569801170e-01,9.496381040569980003e-01,9.916252945362780125e-01,1.129769119613961648e+00,5.000000000000000000e-01,9.596635167594587124e-01,9.824185746925468976e-01,1.000000000000000000e+00,9.874832694539581457e-01,9.978005244772898408e-01,9.384619876844083608e-01
8.079572587667717132e-01,8.732040669298994917e-01,8.987357232244355121e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.067203569854443979e-01,9.387914667089004572e-01,8.925165356891489044e-01,1.000000000000000000e+00,9.000980399019246070e-01,1.036496580713076376e+00,9.596635167594587124e-01,-2.220446049250313081e-16,9.190135600684181671e-01,9.626978063374216354e-01,8.764318053150650378e-01,9.866053681089570482e-01,9.286740827915035412e-01
8.679873692960348164e-01,7.321266744511512048e-01,9.723427179750345761e-01,9.739233091746051230e-01,8.205423185951007392e-01,8.348941696300304915e-01,9.337339970389849642e-01,7.446497218039800359e-01,9.950052953483634610e-01,8.685478745600061501e-01,1.140503785926061386e+00,9.824185746925468976e-01,9.190135600684181671e-01,4.999999999999999445e-01,9.344644086695780283e-01,8.616325284921928507e-01,9.789538217206310566e-01,9.752369779484911794e-01
1.000000000000000000e+00,9.253228042208535564e-01,9.024010088164977628e-01,9.810980047130538617e-01,9.710636860113175395e-01,9.694210484088049418e-01,9.260743033800421520e-01,9.701656412040144950e-01,9.380128175309493388e-01,9.566043577377585372e-01,1.306984915399262093e+00,1.000000000000000000e+00,9.626978063374216354e-01,9.344644086695780283e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.756060067313808926e-01,9.310711502718300725e-01
1.504819851947697407e-01,9.057779963705692161e-01,9.294506646773601499e-01,8.459108427318303702e-01,1.000000000000000000e+00,8.164271928692981017e-01,8.638647161908952210e-01,9.742121915976726942e-01,1.000000000000000000e+00,8.823010940455704443e-01,9.926070548815926209e-01,9.874832694539581457e-01,8.764318053150650378e-01,8.616325284921928507e-01,1.000000000000000000e+00,1.110223024625156540e-16,8.976570099393088586e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.805792031374512829e-01,9.920023575811144356e-01,8.753683353694017288e-01,8.897502412019674400e-01,9.830818602409778784e-01,9.520626602483576173e-01,9.805774962158901875e-01,9.643753808557883334e-01,1.287140196245334378e+00,9.978005244772898408e-01,9.866053681089570482e-01,9.789538217206310566e-01,8.756060067313808926e-01,8.976570099393088586e-01,-2.220446049250313081e-16,9.683241777933758732e-01
1.000000000000000000e+00,9.026696472789751402e-01,9.598426058528670701e-01,9.593231342151166130e-01,8.368882172287368526e-01,9.285108264041106452e-01,8.859768059366623927e-01,9.460449158574018025e-01,9.629945033094490237e-01,9.822584929798274800e-01,1.164553360058878662e+00,9.384619876844083608e-01,9.286740827915035412e-01,9.752369779484911794e-01,9.310711502718300725e-01,1.000000000000000000e+00,9.683241777933758732e-01,5.000000000000000000e-01
