# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.624597480984289577e-01,8.006945525607238601e-01,9.344062157739926322e-01,8.980295170057400744e-01,9.546362339002169017e-01,3.968494895557452828e-01,9.047109187076192161e-01,9.797501059584742267e-01,1.000000000000000000e+00,nan,9.575992363413752262e-01,9.170791381660539088e-01,1.000000000000000000e+00,9.611721821128831333e-01,5.895396258766452124e-01,9.583643833877067975e-01,9.591935468637090567e-01
8.624597480984289577e-01,-2.220446049250313081e-16,9.114985448853174521e-01,8.026918588044841263e-01,6.399357391716913313e-01,9.798370810987145907e-01,8.445654810263443224e-01,7.000510878847228113e-01,1.000000000000000000e+00,8.643446910859629018e-01,nan,9.843464078786204885e-01,9.992587431095185657e-01,8.892028955348231234e-01,9.684111836567748099e-01,7.767850529158403239e-01,8.697211561793760648e-01,9.901255732914351348e-01
8.006945525607238601e-01,9.114985448853174521e-01,-2.220446049250313081e-16,9.497125135779845850e-01,8.466875319728466298e-01,1.000000000000000000e+00,5.359611481163889524e-01,8.722665554845596692e-01,1.000000000000000000e+00,8.905407575091546235e-01,nan,7.370631744221323167e-01,7.329030097312838610e-01,1.000000000000000000e+00,9.641882234786197658e-01,7.281099109449051809e-01,9.489306372608979911e-01,7.683929096113352175e-01
9.344062157739926322e-01,8.026918588044841263e-01,9.497125135779845850e-01,0.000000000000000000e+00,8.550472222079357199e-01,9.880353246963171632e-01,9.164655122895669637e-01,8.928051562795481511e-01,8.661941672320249141e-01,8.431649506447842501e-01,nan,9.893918275898111458e-01,9.875602391705795569e-01,9.531189265749531181e-01,1.000000000000000000e+00,9.135983001761690536e-01,9.196265604370762459e-01,9.902021274570995679e-01
8.980295170057400744e-01,6.399357391716913313e-01,8.466875319728466298e-01,8.550472222079357199e-01,0.000000000000000000e+00,9.914804706073300222e-01,7.687707811561185212e-01,3.440917242628309669e-01,9.543757221353669218e-01,9.787785140868960898e-01,nan,8.894582798483031683e-01,9.625298440856200344e-01,9.090185340962919636e-01,9.465001369387685548e-01,8.858939935064691351e-01,8.368801183498462137e-01,9.669281430571766700e-01
9.546362339002169017e-01,9.798370810987145907e-01,1.000000000000000000e+00,9.880353246963171632e-01,9.914804706073300222e-01,0.000000000000000000e+00,9.003624409438383269e-01,1.000000000000000000e+00,8.498108937221574566e-01,9.877514811314573873e-01,nan,9.572031572467762928e-01,9.487747501401571082e-01,9.858280215105671429e-01,8.669032408589361083e-01,9.794039323984379264e-01,8.654398444090444231e-01,9.595380608488546237e-01
3.968494895557452828e-01,8.445654810263443224e-01,5.359611481163889524e-01,9.164655122895669637e-01,7.687707811561185212e-01,9.003624409438383269e-01,0.000000000000000000e+00,7.785916022774144185e-01,9.519047221231933253e-01,9.439513577090874463e-01,nan,8.838433040287617670e-01,8.002357948948344291e-01,9.006388422400670724e-01,9.939904161725692244e-01,3.454787914183660158e-01,8.189016585190234121e-01,8.712341746012185473e-01
9.047109187076192161e-01,7.000510878847228113e-01,8.722665554845596692e-01,8.928051562795481511e-01,3.440917242628309669e-01,1.000000000000000000e+00,7.785916022774144185e-01,2.220446049250313081e-16,9.562644183103494733e-01,9.725611754023417710e-01,nan,9.266976711848724513e-01,8.738086704098351198e-01,9.365696648951655767e-01,1.000000000000000000e+00,9.253497313335454777e-01,8.995863500365881560e-01,9.358176986481038240e-01
9.797501059584742267e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.661941672320249141e-01,9.543757221353669218e-01,8.498108937221574566e-01,9.519047221231933253e-01,9.562644183103494733e-01,-2.220446049250313081e-16,9.195375628724606898e-01,nan,7.141678265516846480e-01,7.315271089859067821e-01,8.887175881640092534e-01,5.714661251060272340e-01,8.827642520243864643e-01,8.571319542126094593e-01,7.860312926542429857e-01
1.000000000000000000e+00,8.643446910859629018e-01,8.905407575091546235e-01,8.431649506447842501e-01,9.787785140868960898e-01,9.877514811314573873e-01,9.439513577090874463e-01,9.725611754023417710e-01,9.195375628724606898e-01,1.110223024625156540e-16,nan,9.810011980483662741e-01,9.869258990841626167e-01,8.913563835735026641e-01,8.762124566557079053e-01,9.731376591535498832e-01,9.158308117009134053e-01,9.801543217706391031e-01
