# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,1.000000000000000000e+00,9.662251757573603328e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.841636123855866947e-01,1.000000000000000000e+00,1.000000000000000000e+00,nan,1.011638044309987938e+00,1.000000000000000000e+00,1.225240864756491410e+00,8.870648920878907440e-01,9.944419432398357017e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,8.521030784072359809e-01,9.251355350229103491e-01,9.999538155171957543e-01,9.857584549829320197e-01,8.221572893225549405e-01,4.880657577361159905e-01,7.482519227156125829e-01,nan,1.026864776288522352e+00,7.209728860641806403e-01,1.072228059879259288e+00,9.456550006689430354e-01,9.941290886344769095e-01,8.107378227220434219e-01,9.353905110372950915e-01,5.511150687868454634e-01
9.662251757573603328e-01,8.521030784072359809e-01,3.888267028498977318e-01,9.599062704751777364e-01,9.666280030351602770e-01,1.000000000000000000e+00,8.835204708462551793e-01,7.827938601953002840e-01,9.779639991128336041e-01,nan,1.074486048657647519e+00,8.984982370862415468e-01,9.843446835190452493e-01,9.573977710762211490e-01,9.942929130487381251e-01,7.153406142484202146e-01,9.973954930695342336e-01,9.136614196095799167e-01
1.000000000000000000e+00,9.251355350229103491e-01,9.599062704751777364e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.538712828373049346e-01,1.000000000000000000e+00,9.116781433410410251e-01,9.408899046244409980e-01,nan,1.130685361356394747e+00,1.000000000000000000e+00,1.436090664970322006e+00,9.489454111450050799e-01,9.236233949174812441e-01,1.000000000000000000e+00,9.197398921127284410e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.999538155171957543e-01,9.666280030351602770e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.567322628888771385e-01,9.834166767321028679e-01,9.609871874818201043e-01,1.000000000000000000e+00,nan,1.103391035337409010e+00,9.755080371307375264e-01,1.215877619507180318e+00,9.505474770232278381e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.993005144653305472e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.857584549829320197e-01,1.000000000000000000e+00,9.538712828373049346e-01,9.567322628888771385e-01,0.000000000000000000e+00,9.357738257450215480e-01,8.804682975800466327e-01,7.843468039889851529e-01,nan,1.017412311358272259e+00,9.754909583708757381e-01,1.267185637670388054e+00,8.926564382561713584e-01,8.297891530426602102e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.615742364954185106e-01
9.841636123855866947e-01,8.221572893225549405e-01,8.835204708462551793e-01,1.000000000000000000e+00,9.834166767321028679e-01,9.357738257450215480e-01,6.493280834591903528e-01,9.110778262081046242e-01,9.985157041160080960e-01,nan,1.089469198081165047e+00,9.559635927304842573e-01,1.227850812603544783e+00,9.502747591562199503e-01,9.729666333174561421e-01,7.604088308082328496e-01,9.683459042571312958e-01,9.595624823672053161e-01
1.000000000000000000e+00,4.880657577361159905e-01,7.827938601953002840e-01,9.116781433410410251e-01,9.609871874818201043e-01,8.804682975800466327e-01,9.110778262081046242e-01,1.743312091490157312e-01,8.555413736719447160e-01,nan,9.098792868388819732e-01,9.002219597267296924e-01,1.181720279424724795e+00,9.573886200847526728e-01,8.762920609628803703e-01,7.645660219279800662e-01,9.587140389241337601e-01,8.967408205974927160e-01
1.000000000000000000e+00,7.482519227156125829e-01,9.779639991128336041e-01,9.408899046244409980e-01,1.000000000000000000e+00,7.843468039889851529e-01,9.985157041160080960e-01,8.555413736719447160e-01,0.000000000000000000e+00,nan,1.064056430524375596e+00,9.248147043162348035e-01,1.342886740236241883e+00,9.259762583033619432e-01,9.384323948770059154e-01,9.847722919631379801e-01,9.716252126214189877e-01,9.301792969860716020e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.011638044309987938e+00,1.026864776288522352e+00,1.074486048657647519e+00,1.130685361356394747e+00,1.103391035337409010e+00,1.017412311358272259e+00,1.089469198081165047e+00,9.098792868388819732e-01,1.064056430524375596e+00,nan,4.416681861785144991e-01,1.145673090137844463e+00,1.285089401148321819e+00,1.072820914572349960e+00,1.123926966107317238e+00,1.100093041925365611e+00,1.127477531687876011e+00,1.139829822492717692e+00
1.000000000000000000e+00,7.209728860641806403e-01,8.984982370862415468e-01,1.000000000000000000e+00,9.755080371307375264e-01,9.754909583708757381e-01,9.559635927304842573e-01,9.002219597267296924e-01,9.248147043162348035e-01,nan,1.145673090137844463e+00,0.000000000000000000e+00,1.267446263697686648e+00,9.752248850540247149e-01,9.672113463222774543e-01,8.396465979259185586e-01,1.000000000000000000e+00,1.211143507909733241e-01
1.225240864756491410e+00,1.072228059879259288e+00,9.843446835190452493e-01,1.436090664970322006e+00,1.215877619507180318e+00,1.267185637670388054e+00,1.227850812603544783e+00,1.181720279424724795e+00,1.342886740236241883e+00,nan,1.285089401148321819e+00,1.267446263697686648e+00,0.000000000000000000e+00,1.303335124985310456e+00,1.324212315143889596e+00,9.628918396334738006e-01,1.313415732243363943e+00,1.183208665368946644e+00
8.870648920878907440e-01,9.456550006689430354e-01,9.573977710762211490e-01,9.489454111450050799e-01,9.505474770232278381e-01,8.926564382561713584e-01,9.502747591562199503e-01,9.573886200847525618e-01,9.259762583033619432e-01,nan,1.072820914572349960e+00,9.752248850540247149e-01,1.303335124985310456e+00,3.219120662108020947e-01,9.459429218119758120e-01,1.000000000000000000e+00,9.552587582030234170e-01,9.620920985458547570e-01
9.944419432398357017e-01,9.941290886344769095e-01,9.942929130487381251e-01,9.236233949174812441e-01,1.000000000000000000e+00,8.297891530426602102e-01,9.729666333174561421e-01,8.762920609628803703e-01,9.384323948770059154e-01,nan,1.123926966107317238e+00,9.672113463222774543e-01,1.324212315143889596e+00,9.459429218119758120e-01,2.220446049250313081e-16,9.907990427990319704e-01,5.703447914850138245e-01,9.757832461708055849e-01
1.000000000000000000e+00,8.107378227220434219e-01,7.153406142484202146e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.604088308082328496e-01,7.645660219279800662e-01,9.847722919631379801e-01,nan,1.100093041925365611e+00,8.396465979259185586e-01,9.628918396334738006e-01,1.000000000000000000e+00,9.907990427990319704e-01,2.220446049250313081e-16,1.000000000000000000e+00,8.278710933236382852e-01
1.000000000000000000e+00,9.353905110372950915e-01,9.973954930695342336e-01,9.197398921127284410e-01,8.993005144653305472e-01,1.000000000000000000e+00,9.683459042571312958e-01,9.587140389241337601e-01,9.716252126214189877e-01,nan,1.127477531687876011e+00,1.000000000000000000e+00,1.313415732243363943e+00,9.552587582030234170e-01,5.703447914850138245e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.903455083508437840e-01
1.000000000000000000e+00,5.511150687868454634e-01,9.136614196095799167e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.615742364954185106e-01,9.595624823672053161e-01,8.967408205974927160e-01,9.301792969860716020e-01,nan,1.139829822492717692e+00,1.211143507909733241e-01,1.183208665368946644e+00,9.620920985458547570e-01,9.757832461708055849e-01,8.278710933236382852e-01,9.903455083508437840e-01,0.000000000000000000e+00
