# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.618811811080870910e-01,5.336258311298655022e-01,8.973048925092815820e-01,9.270540673485416772e-01,1.000000000000000000e+00,4.451937384659212515e-01,9.487147646254543432e-01,9.783582985378214136e-01,8.310933665449907748e-01,7.893563525905475942e-01,1.000000000000000000e+00,8.523945926724896260e-01,7.758138788603113900e-01,1.000000000000000000e+00,4.358323285166739725e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.618811811080870910e-01,0.000000000000000000e+00,9.711194327624611544e-01,9.732340811452405704e-01,7.828203337619903390e-01,8.188533404565691010e-01,8.369618087261661010e-01,5.338670836161345523e-01,8.199426843139039356e-01,9.395612522248054654e-01,7.965519990740245193e-01,9.406878278147305927e-01,9.136066688358610577e-01,1.000000000000000000e+00,8.021875586544189307e-01,9.579837935709957231e-01,9.541327532815370160e-01,9.149959891085661656e-01
5.336258311298655022e-01,9.711194327624611544e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.954119643553575036e-01,1.000000000000000000e+00,5.410342881372427470e-01,1.000000000000000000e+00,9.581351974217727774e-01,8.175830661450804726e-01,9.478840996886395143e-01,6.939398154344129654e-01,5.816642125514306372e-01,7.978941912438558548e-01,1.000000000000000000e+00,4.772102370077184741e-01,1.000000000000000000e+00,7.324791768701177652e-01
8.973048925092815820e-01,9.732340811452405704e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.911134905810072837e-01,1.000000000000000000e+00,9.451083536859762324e-01,9.962950130880853239e-01,1.000000000000000000e+00,8.819230371157553705e-01,7.938792820063118594e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.862228871644467709e-01,1.000000000000000000e+00,9.405744097821405747e-01,9.579600009404606320e-01,1.000000000000000000e+00
9.270540673485416772e-01,7.828203337619903390e-01,9.954119643553575036e-01,9.911134905810072837e-01,1.110223024625156540e-16,9.012408136619101118e-01,9.586836182254994121e-01,6.453758553279300703e-01,9.132111932279715072e-01,9.722764775909377155e-01,9.991130652535462620e-01,8.738571113940833968e-01,9.032354760854114373e-01,1.000000000000000000e+00,9.057254756812962437e-01,9.357658580717924668e-01,9.701444248458712671e-01,9.143124731648314407e-01
1.000000000000000000e+00,8.188533404565691010e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.012408136619101118e-01,1.110223024625156540e-16,9.793512233562183811e-01,8.491063128039326724e-01,6.964530798600541139e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.018201869926020242e-01,9.059655341277117468e-01,9.389983436476510015e-01,2.589926981354599977e-01,9.306554889268896513e-01,8.723733730963616484e-01,9.087618534660668601e-01
4.451937384659212515e-01,8.369618087261661010e-01,5.410342881372427470e-01,9.451083536859762324e-01,9.586836182254994121e-01,9.793512233562183811e-01,0.000000000000000000e+00,9.916833267463791568e-01,8.956980781653662849e-01,8.702011354425436274e-01,5.356578662315475414e-01,9.287299932104857714e-01,7.151786760583948022e-01,8.577091986147425962e-01,9.524686056981293003e-01,2.349398112381115844e-01,1.000000000000000000e+00,9.335002255351456668e-01
9.487147646254543432e-01,5.338670836161345523e-01,1.000000000000000000e+00,9.962950130880853239e-01,6.453758553279300703e-01,8.491063128039326724e-01,9.916833267463791568e-01,2.220446049250313081e-16,8.318186838482681811e-01,9.951645800295406685e-01,9.903894409535283216e-01,9.231713702360003770e-01,9.096771458128921628e-01,1.000000000000000000e+00,8.595701682216315698e-01,9.556678222208446760e-01,9.601244048061108316e-01,9.011253870409176026e-01
9.783582985378214136e-01,8.199426843139039356e-01,9.581351974217727774e-01,1.000000000000000000e+00,9.132111932279715072e-01,6.964530798600541139e-01,8.956980781653662849e-01,8.318186838482681811e-01,3.995427308507031317e-01,9.739585639417065455e-01,9.631009168210540317e-01,9.039435098015671244e-01,8.505561350304869928e-01,1.000000000000000000e+00,6.952578997205342004e-01,8.428760952072031909e-01,9.128627751442073279e-01,8.780625186776286339e-01
8.310933665449907748e-01,9.395612522248054654e-01,8.175830661450804726e-01,8.819230371157553705e-01,9.722764775909377155e-01,1.000000000000000000e+00,8.702011354425436274e-01,9.951645800295406685e-01,9.739585639417065455e-01,1.110223024625156540e-16,8.789327478361030899e-01,9.278869351129670484e-01,8.762017605676812870e-01,8.290371919637735676e-01,1.000000000000000000e+00,8.550401836843611880e-01,9.627797600112673049e-01,9.501430491451359206e-01
7.893563525905475942e-01,7.965519990740245193e-01,9.478840996886395143e-01,7.938792820063118594e-01,9.991130652535462620e-01,1.000000000000000000e+00,5.356578662315475414e-01,9.903894409535283216e-01,9.631009168210540317e-01,8.789327478361030899e-01,1.110223024625156540e-16,9.039117098054340049e-01,9.384506655297263356e-01,8.806896080736642540e-01,9.819845856570184051e-01,7.995073320044521203e-01,9.720815293967960402e-01,9.282097493551439982e-01
