# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,7.249241982072631707e-01,1.000000000000000000e+00,9.368063716664618568e-01,8.905269963224146101e-01,1.000000000000000000e+00,4.133360589723040768e-01,8.725690144890290156e-01,9.990984408164459429e-01,8.675529803809544083e-01,9.715707049188299083e-01,1.000000000000000000e+00,8.948701034958870260e-01,4.652314494832487934e-01,9.873222805624962684e-01,8.794418899938205580e-01,9.791981234963382796e-01,1.000000000000000000e+00
7.249241982072631707e-01,0.000000000000000000e+00,8.847390231797312987e-01,9.436559347790198782e-01,9.920447900263739127e-01,9.917182831521060837e-01,7.253411459002995221e-01,4.867095648638678496e-01,9.204004350142329649e-01,8.162997631824833178e-01,9.769321304139868545e-01,9.846371997425305000e-01,9.075159283268529054e-01,8.018266372005627973e-01,9.946092381612542388e-01,7.757154579229289526e-01,9.870458016487815289e-01,9.184641314339478946e-01
1.000000000000000000e+00,8.847390231797312987e-01,0.000000000000000000e+00,9.427321621747273284e-01,9.041529064864638476e-01,8.237545653820477209e-01,9.113566265925576726e-01,9.589652401427509743e-01,8.465197608065345714e-01,9.701785432144366395e-01,1.000000000000000000e+00,8.726397666536215292e-01,9.262454465407283788e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.080025128693912873e-01,1.000000000000000000e+00,8.721338336191699625e-01
9.368063716664618568e-01,9.436559347790198782e-01,9.427321621747273284e-01,1.110223024625156540e-16,9.464564747006232182e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.320178960598611839e-01,9.063641062531642145e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.977177181800420680e-01,9.971903479599606435e-01,1.000000000000000000e+00
8.905269963224146101e-01,9.920447900263739127e-01,9.041529064864638476e-01,9.464564747006232182e-01,0.000000000000000000e+00,9.501175846720762985e-01,9.831805750316354731e-01,8.818384303940726143e-01,1.000000000000000000e+00,9.819632739692807366e-01,9.539728940079272856e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.337453515476796806e-01,9.879983325925367765e-01,1.000000000000000000e+00,8.971290053883764770e-01
1.000000000000000000e+00,9.917182831521060837e-01,8.237545653820477209e-01,1.000000000000000000e+00,9.501175846720762985e-01,-2.220446049250313081e-16,1.000000000000000000e+00,7.801244465118455373e-01,4.575441271434737001e-01,1.000000000000000000e+00,9.207655795575983015e-01,8.836221169090873184e-01,1.000000000000000000e+00,6.286795222233004798e-01,4.881159775372647669e-01,9.240689542860821559e-01,5.998726658217925500e-01,8.619229862109427653e-01
4.133360589723040768e-01,7.253411459002995221e-01,9.113566265925576726e-01,1.000000000000000000e+00,9.831805750316354731e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.215387409767635818e-01,9.669323658661895804e-01,9.068517864446252741e-01,9.535434946042582460e-01,1.000000000000000000e+00,7.365673084177137842e-01,5.192603088481255735e-01,9.184060050266333874e-01,6.764979979064607019e-01,8.848910019167619545e-01,9.432146522653077625e-01
8.725690144890290156e-01,4.867095648638678496e-01,9.589652401427509743e-01,1.000000000000000000e+00,8.818384303940726143e-01,7.801244465118455373e-01,9.215387409767635818e-01,2.220446049250313081e-16,9.791541217713449763e-01,7.573591433029117637e-01,7.403856331957217041e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.282770574687178033e-01,1.000000000000000000e+00,9.419670576591315792e-01,9.985594301776449244e-01,9.237029861367657135e-01
9.990984408164459429e-01,9.204004350142329649e-01,8.465197608065345714e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.575441271434737001e-01,9.669323658661895804e-01,9.791541217713449763e-01,-2.220446049250313081e-16,9.282568204851191496e-01,9.508495086918786754e-01,9.529334177778239212e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.091403515260141122e-01,9.617845754204390474e-01,6.746152683447657061e-01,8.832410422361696156e-01
8.675529803809544083e-01,8.162997631824833178e-01,9.701785432144366395e-01,9.320178960598611839e-01,9.819632739692807366e-01,1.000000000000000000e+00,9.068517864446252741e-01,7.573591433029117637e-01,9.282568204851191496e-01,1.110223024625156540e-16,8.359063280673831864e-01,9.902830241132367650e-01,8.675478224622600321e-01,8.605720570585825291e-01,8.605147215796966620e-01,8.573444755207999535e-01,8.800959667141188270e-01,9.931996790020914956e-01
9.715707049188299083e-01,9.769321304139868545e-01,1.000000000000000000e+00,9.063641062531642145e-01,9.539728940079272856e-01,9.207655795575983015e-01,9.535434946042582460e-01,7.403856331957217041e-01,9.508495086918786754e-01,8.359063280673831864e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.383189071306824447e-01,9.086751061948287189e-01,1.000000000000000000e+00,9.577138454789156929e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.846371997425305000e-01,8.726397666536215292e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.836221169090873184e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.529334177778239212e-01,9.902830241132367650e-01,1.000000000000000000e+00,0.000000000000000000e+00,5.710408788980489980e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.240746873063087286e-01
8.948701034958870260e-01,9.075159283268529054e-01,9.262454465407283788e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.365673084177137842e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.675478224622600321e-01,9.383189071306824447e-01,5.710408788980489980e-01,0.000000000000000000e+00,5.410571070020681050e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.985454678752682112e-01,6.394814684609454458e-01
4.652314494832487934e-01,8.018266372005627973e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.286795222233004798e-01,5.192603088481255735e-01,9.282770574687178033e-01,1.000000000000000000e+00,8.605720570585825291e-01,9.086751061948287189e-01,1.000000000000000000e+00,5.410571070020681050e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.156654498522801555e-01,9.409385009712850634e-01,1.000000000000000000e+00
9.873222805624962684e-01,9.946092381612542388e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.337453515476796806e-01,4.881159775372647669e-01,9.184060050266333874e-01,1.000000000000000000e+00,5.091403515260141122e-01,8.605147215796966620e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.988110253824482587e-01,1.000000000000000000e+00
8.794418899938205580e-01,7.757154579229289526e-01,8.080025128693912873e-01,9.977177181800420680e-01,9.879983325925367765e-01,9.240689542860821559e-01,6.764979979064607019e-01,9.419670576591315792e-01,9.617845754204390474e-01,8.573444755207999535e-01,9.577138454789156929e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.156654498522801555e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.595219319336120156e-01,1.000000000000000000e+00
9.791981234963382796e-01,9.870458016487815289e-01,1.000000000000000000e+00,9.971903479599606435e-01,1.000000000000000000e+00,5.998726658217925500e-01,8.848910019167619545e-01,9.985594301776449244e-01,6.746152683447657061e-01,8.800959667141188270e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.985454678752682112e-01,9.409385009712850634e-01,4.988110253824482587e-01,9.595219319336120156e-01,2.220446049250313081e-16,9.935103643791114436e-01
1.000000000000000000e+00,9.184641314339478946e-01,8.721338336191699625e-01,1.000000000000000000e+00,8.971290053883764770e-01,8.619229862109427653e-01,9.432146522653077625e-01,9.237029861367657135e-01,8.832410422361696156e-01,9.931996790020914956e-01,1.000000000000000000e+00,3.240746873063087286e-01,6.394814684609454458e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.935103643791114436e-01,-2.220446049250313081e-16
