# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,7.850834702982145696e-01,8.648439549170139351e-01,8.897407919841682222e-01,8.787604494380527598e-01,1.000000000000000000e+00,3.006453932086277092e-01,9.543304839555623031e-01,9.502267146899970873e-01,8.424008093445600753e-01,7.122496203048193086e-01,1.000000000000000000e+00,3.007982210284889657e-01,7.101595436848234799e-01,9.777960568137948894e-01,2.775060842376041448e-01,1.135880509996524790e+00,1.000000000000000000e+00
7.850834702982145696e-01,2.220446049250313081e-16,9.128445206906207199e-01,8.823661025815828785e-01,4.746718536411774769e-01,9.823073855890459560e-01,8.159240714625364266e-01,7.387109654994079566e-01,9.774592582148525777e-01,8.972542572380260983e-01,9.870692860468905927e-01,9.613807509233942561e-01,8.589639812111955486e-01,9.464456391541616886e-01,9.653041831055946265e-01,8.625509790033335511e-01,1.208034695793420710e+00,8.707791066748447051e-01
8.648439549170139351e-01,9.128445206906207199e-01,0.000000000000000000e+00,9.490803278155270917e-01,8.860733989113924736e-01,8.533285307003604103e-01,9.166219870807212899e-01,7.506614051354887351e-01,9.239736794307290557e-01,9.487588592542643973e-01,8.994150706911350213e-01,6.274809520955898501e-01,9.684897412098876224e-01,9.635591594607644250e-01,9.531604482627413777e-01,9.123762998676385738e-01,1.054903273088959592e+00,7.478387847464418314e-01
8.897407919841682222e-01,8.823661025815828785e-01,9.490803278155270917e-01,1.110223024625156540e-16,9.284042349925453186e-01,1.000000000000000000e+00,9.746922917963765087e-01,9.244030089521589888e-01,9.274781356176053926e-01,9.089166294912094379e-01,8.821736273591935795e-01,8.958077756140766512e-01,9.263414688373763362e-01,9.643773913274223952e-01,8.901114647577744732e-01,9.153186652544130775e-01,1.031093461518336918e+00,7.335803454215923392e-01
8.787604494380527598e-01,4.746718536411774769e-01,8.860733989113924736e-01,9.284042349925453186e-01,2.220446049250313081e-16,9.839696475224729566e-01,8.683522086821537922e-01,6.910382767771452439e-01,9.856383502435654975e-01,9.840215141659415243e-01,9.894369702540942724e-01,9.272462136261213628e-01,8.143763019755709820e-01,9.988872059207477561e-01,9.792830232369656995e-01,7.973284287350903554e-01,1.143354265979899864e+00,8.171718591522100228e-01
1.000000000000000000e+00,9.823073855890459560e-01,8.533285307003604103e-01,1.000000000000000000e+00,9.839696475224729566e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.824791004312450893e-01,5.674926269766812359e-01,9.089747932618403858e-01,1.000000000000000000e+00,7.019459976205666418e-01,9.859296304776402620e-01,1.000000000000000000e+00,7.729225708556255459e-01,9.973406518530123499e-01,5.783498840248917361e-01,8.470399216775067464e-01
3.006453932086277092e-01,8.159240714625364266e-01,9.166219870807212899e-01,9.746922917963765087e-01,8.683522086821537922e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.761027978487175627e-01,9.615407327113252300e-01,8.279582915931085196e-01,7.860371733189293053e-01,9.948161817895668779e-01,3.799571875576913671e-01,7.354362164328458462e-01,9.799863405958281204e-01,3.567490644416302370e-01,1.115962731841620981e+00,9.850195590419116298e-01
9.543304839555623031e-01,7.387109654994079566e-01,7.506614051354887351e-01,9.244030089521589888e-01,6.910382767771452439e-01,9.824791004312450893e-01,9.761027978487175627e-01,-2.220446049250313081e-16,9.791146987780012800e-01,8.362117887583173648e-01,9.902393648660811065e-01,9.617656442239705950e-01,9.353404021615714381e-01,9.395192590741729965e-01,8.687801081401158587e-01,9.094710247239300438e-01,1.254934205130143310e+00,5.739187284875557626e-01
9.502267146899970873e-01,9.774592582148525777e-01,9.239736794307290557e-01,9.274781356176053926e-01,9.856383502435654975e-01,5.674926269766812359e-01,9.615407327113252300e-01,9.791146987780012800e-01,-2.220446049250313081e-16,9.754446399444940408e-01,9.642074598326648704e-01,8.881314379831709571e-01,9.608303451411431828e-01,9.115349408670541109e-01,9.050640013790054450e-01,8.941638103202165233e-01,7.070577091229629518e-01,7.910243747496890077e-01
8.424008093445600753e-01,8.972542572380260983e-01,9.487588592542643973e-01,9.089166294912094379e-01,9.840215141659415243e-01,9.089747932618403858e-01,8.279582915931085196e-01,8.362117887583173648e-01,9.754446399444940408e-01,0.000000000000000000e+00,8.536334604318233099e-01,9.856826475060047610e-01,8.513881198828454622e-01,9.278836685476388180e-01,9.807215547859653437e-01,8.864327069884877508e-01,1.047706589698382151e+00,1.000000000000000000e+00
7.122496203048193086e-01,9.870692860468905927e-01,8.994150706911350213e-01,8.821736273591935795e-01,9.894369702540942724e-01,1.000000000000000000e+00,7.860371733189293053e-01,9.902393648660811065e-01,9.642074598326648704e-01,8.536334604318233099e-01,-2.220446049250313081e-16,9.582400853522413664e-01,8.217316293399052896e-01,7.996025110917481804e-01,8.690092755027355453e-01,7.901593979824432790e-01,1.229641246195778637e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.613807509233942561e-01,6.274809520955898501e-01,8.958077756140766512e-01,9.272462136261213628e-01,7.019459976205666418e-01,9.948161817895668779e-01,9.617656442239705950e-01,8.881314379831709571e-01,9.856826475060047610e-01,9.582400853522413664e-01,2.220446049250313081e-16,9.594342266715226719e-01,1.000000000000000000e+00,8.326531515041786236e-01,9.160309218215474392e-01,9.427769676016263256e-01,5.441551019069050810e-01
3.007982210284889657e-01,8.589639812111955486e-01,9.684897412098876224e-01,9.263414688373763362e-01,8.143763019755709820e-01,9.859296304776402620e-01,3.799571875576913671e-01,9.353404021615714381e-01,9.608303451411431828e-01,8.513881198828454622e-01,8.217316293399052896e-01,9.594342266715226719e-01,0.000000000000000000e+00,7.637087382019931425e-01,1.000000000000000000e+00,2.288566010728243505e-01,1.093194133063045026e+00,9.321349123694997463e-01
7.101595436848234799e-01,9.464456391541616886e-01,9.635591594607644250e-01,9.643773913274223952e-01,9.988872059207477561e-01,1.000000000000000000e+00,7.354362164328458462e-01,9.395192590741729965e-01,9.115349408670541109e-01,9.278836685476388180e-01,7.996025110917481804e-01,1.000000000000000000e+00,7.637087382019931425e-01,3.330669073875469621e-16,1.000000000000000000e+00,7.163823051011872778e-01,1.209550280593409743e+00,1.000000000000000000e+00
9.777960568137948894e-01,9.653041831055946265e-01,9.531604482627413777e-01,8.901114647577744732e-01,9.792830232369656995e-01,7.729225708556255459e-01,9.799863405958281204e-01,8.687801081401158587e-01,9.050640013790054450e-01,9.807215547859653437e-01,8.690092755027355453e-01,8.326531515041786236e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.220446049250313081e-16,9.918711849956166615e-01,1.029720378332035891e+00,8.306744322610002396e-01
2.775060842376041448e-01,8.625509790033335511e-01,9.123762998676385738e-01,9.153186652544130775e-01,7.973284287350903554e-01,9.973406518530123499e-01,3.567490644416302370e-01,9.094710247239300438e-01,8.941638103202165233e-01,8.864327069884877508e-01,7.901593979824432790e-01,9.160309218215474392e-01,2.288566010728243505e-01,7.163823051011872778e-01,9.918711849956166615e-01,0.000000000000000000e+00,1.116458553011893118e+00,8.784739263917231700e-01
1.135880509996524790e+00,1.208034695793420710e+00,1.054903273088959592e+00,1.031093461518336918e+00,1.143354265979899864e+00,5.783498840248917361e-01,1.115962731841620981e+00,1.254934205130143310e+00,7.070577091229629518e-01,1.047706589698382151e+00,1.229641246195778637e+00,9.427769676016263256e-01,1.093194133063045026e+00,1.209550280593409743e+00,1.029720378332035891e+00,1.116458553011893118e+00,-2.220446049250313081e-16,8.839900560871806201e-01
1.000000000000000000e+00,8.707791066748447051e-01,7.478387847464418314e-01,7.335803454215923392e-01,8.171718591522100228e-01,8.470399216775067464e-01,9.850195590419116298e-01,5.739187284875557626e-01,7.910243747496890077e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.441551019069050810e-01,9.321349123694997463e-01,1.000000000000000000e+00,8.306744322610002396e-01,8.784739263917231700e-01,8.839900560871806201e-01,1.110223024625156540e-16
