# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.453968577853530064e-01,9.552866663739656428e-01,9.306662853007960923e-01,9.021852729869700438e-01,9.219193740872303477e-01,1.000000000000000000e+00,9.800570153063273837e-01,8.014506400215550830e-01,9.685200215889104847e-01,1.057358528058603753e+00,7.031688276851741914e-01,9.631956580905552956e-01,9.849867051509589855e-01,9.956062836487687973e-01,3.610381824232699044e-01,1.000000000000000000e+00,9.183547402870145815e-01
8.453968577853530064e-01,2.523368062023151337e-01,7.281480396229110807e-01,9.525209750859323643e-01,8.708140782932638491e-01,9.677163723671897699e-01,9.140965658493314105e-01,9.482340819645188601e-01,8.831648112863255129e-01,8.206019644282709358e-01,9.971928043447583212e-01,8.721450614133288148e-01,8.194819695468473775e-01,9.158379076848282008e-01,9.550114569375082185e-01,8.193011190729224680e-01,9.282052770232179784e-01,8.887530240027210482e-01
9.552866663739656428e-01,7.281480396229110807e-01,0.000000000000000000e+00,8.924229446604650118e-01,7.903969883498311866e-01,9.906856265593618760e-01,9.768396943661391552e-01,9.240732361185031163e-01,9.720843098494760248e-01,8.640198003162865570e-01,9.018829938496365495e-01,8.784127738528098028e-01,4.493622064092871460e-01,8.554718748819983842e-01,9.539281572848788970e-01,9.634548836754811552e-01,9.781714279468506357e-01,7.588147757161360918e-01
9.306662853007960923e-01,9.525209750859323643e-01,8.924229446604650118e-01,1.275923138072332652e-01,9.712378598506522520e-01,9.469846406545048279e-01,9.970401222418785459e-01,9.356842225881101260e-01,9.622923499165170202e-01,9.350895797552890576e-01,1.011687210820229055e+00,9.027225137081902329e-01,9.445315842315602506e-01,9.555439395477037801e-01,8.561070530636527565e-01,9.464435696702998557e-01,6.510114262898634152e-01,9.137642348049739294e-01
9.021852729869700438e-01,8.708140782932638491e-01,7.903969883498311866e-01,9.712378598506522520e-01,4.587151907483091318e-01,9.801786422562034362e-01,8.665514637277659249e-01,9.497738618455762172e-01,9.821141462565490254e-01,9.255480018058166447e-01,1.008161918592260564e+00,1.000000000000000000e+00,8.483945806359372011e-01,9.532673441804873082e-01,9.521004509415218475e-01,7.591354418038560592e-01,9.197089819132624466e-01,7.873029218223857040e-01
9.219193740872303477e-01,9.677163723671897699e-01,9.906856265593618760e-01,9.469846406545048279e-01,9.801786422562034362e-01,0.000000000000000000e+00,9.866878985486094988e-01,9.143711102870691887e-01,8.775426477786881785e-01,9.039650144982175339e-01,8.691919078216379102e-01,1.000000000000000000e+00,9.913032193298346728e-01,9.129987132803659700e-01,8.612478067024516015e-01,8.878754469427103668e-01,8.309443137349072916e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.140965658493314105e-01,9.768396943661391552e-01,9.970401222418785459e-01,8.665514637277659249e-01,9.866878985486094988e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.991346889272255671e-01,9.381927343964834298e-01,1.009782219053692032e+00,1.000000000000000000e+00,8.434273690644257249e-01,9.367464814227443037e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.828136237959618215e-01
9.800570153063273837e-01,9.482340819645188601e-01,9.240732361185031163e-01,9.356842225881101260e-01,9.497738618455762172e-01,9.143711102870691887e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.852235632321618919e-01,8.766790714687135999e-01,9.768773548586816569e-01,9.425531416211319069e-01,9.096007921857387490e-01,8.470977287413030687e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.828210822139903602e-01,7.835394293094843920e-01
8.014506400215550830e-01,8.831648112863255129e-01,9.720843098494760248e-01,9.622923499165170202e-01,9.821141462565490254e-01,8.775426477786881785e-01,9.991346889272255671e-01,8.852235632321618919e-01,2.220446049250313081e-16,9.365192789683954855e-01,1.028192270234191907e+00,8.050599397688054104e-01,9.756983971224642005e-01,1.000000000000000000e+00,9.967036412502899845e-01,7.826780333275732415e-01,8.918429543082171396e-01,8.954315271468475945e-01
9.685200215889104847e-01,8.206019644282709358e-01,8.640198003162865570e-01,9.350895797552890576e-01,9.255480018058166447e-01,9.039650144982175339e-01,9.381927343964834298e-01,8.766790714687135999e-01,9.365192789683954855e-01,5.551115123125782702e-16,9.568590698262058325e-01,1.000000000000000000e+00,7.723837297241408217e-01,9.098868966068632824e-01,9.279952161566582536e-01,9.359999331022366142e-01,8.812461056720370944e-01,9.957378536125881530e-01
