# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.208535575414739327e-01,9.354772200904161172e-01,9.300285460507655699e-01,8.564907308509253081e-01,1.000000000000000000e+00,9.233219298080963533e-01,4.275977883508259025e-01,9.933229047119720434e-01,9.791967277197222153e-01,9.124301823625023955e-01,8.680210092978550840e-01,1.000000000000000000e+00,9.867740780691162117e-01,8.935250503813843004e-01,1.286676530291328557e+00,7.931234780986083921e-01,9.889157825402704605e-01,1.000000000000000000e+00
9.354772200904162283e-01,4.231148953022604853e-01,1.000000000000000000e+00,8.902398122807808623e-01,8.500324573510462667e-01,9.326066064965363722e-01,8.853528260459611055e-01,9.256781560111013718e-01,9.105372274421461576e-01,9.139203382015839150e-01,8.834973437914310779e-01,9.567186665460580830e-01,8.123802282259890983e-01,9.258982595263852700e-01,1.347960627989359450e+00,8.909523296679499049e-01,9.521254238348960675e-01,9.416875384441494301e-01
9.300285460507655699e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.828706965268332318e-01,1.000000000000000000e+00,9.961917405783774493e-01,7.220386670436940157e-01,9.771618204462980684e-01,1.000000000000000000e+00,9.997359233214582197e-01,9.277225673634156289e-01,9.373148475750952002e-01,9.473409342035821190e-01,1.000000000000000000e+00,9.146110651718682982e-01,9.402786620557379571e-01,1.000000000000000000e+00,9.972503120019391432e-01
8.564907308509253081e-01,8.902398122807808623e-01,9.828706965268332318e-01,3.963639206314766295e-01,9.640895514464233873e-01,8.872544469128507139e-01,8.678654354969779217e-01,7.511024770488414770e-01,9.893385492611015408e-01,9.744703890312879091e-01,8.836887376619295686e-01,9.875615031800653032e-01,9.985318160828837719e-01,9.772456036048497996e-01,1.311468346967140208e+00,8.990105419313143553e-01,9.714827547293863885e-01,9.852089771625702763e-01
1.000000000000000000e+00,8.500324573510462667e-01,1.000000000000000000e+00,9.640895514464233873e-01,0.000000000000000000e+00,9.812805269835824795e-01,9.898426785325514787e-01,4.705696923039397461e-01,1.000000000000000000e+00,9.597956188222828144e-01,9.643718813843114024e-01,9.677512881918018950e-01,1.000000000000000000e+00,9.653598319505202197e-01,1.258178037744986488e+00,1.000000000000000000e+00,9.182238604141844673e-01,1.000000000000000000e+00
9.233219298080963533e-01,9.326066064965363722e-01,9.961917405783774493e-01,8.872544469128507139e-01,9.812805269835824795e-01,0.000000000000000000e+00,8.852130343086497266e-01,9.118003499283435787e-01,9.560306846440139728e-01,9.528874264655751158e-01,9.504405284084255223e-01,9.481574349057426687e-01,9.139269111570658133e-01,9.495323589387373309e-01,1.251074389799567754e+00,9.418509492342178602e-01,7.773719208182308105e-01,1.000000000000000000e+00
4.275977883508259025e-01,8.853528260459611055e-01,7.220386670436940157e-01,8.678654354969779217e-01,9.898426785325514787e-01,8.852130343086497266e-01,0.000000000000000000e+00,9.889118067554333313e-01,9.438539284315795586e-01,9.735276167466706543e-01,9.082411928245224253e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.123174510525431380e-01,1.316877835041844635e+00,9.747276220545184611e-01,9.591211787935001176e-01,1.000000000000000000e+00
9.933229047119720434e-01,9.256781560111013718e-01,9.771618204462980684e-01,7.511024770488414770e-01,4.705696923039397461e-01,9.118003499283435787e-01,9.889118067554333313e-01,-2.220446049250313081e-16,9.562487238293961855e-01,9.796754822675737273e-01,8.654562465079179701e-01,1.000000000000000000e+00,9.980276187628845941e-01,9.925587177171800723e-01,1.163737785005405145e+00,9.685965237435688602e-01,9.959478312385166010e-01,1.000000000000000000e+00
9.791967277197222153e-01,9.105372274421461576e-01,1.000000000000000000e+00,9.893385492611015408e-01,1.000000000000000000e+00,9.560306846440139728e-01,9.438539284315795586e-01,9.562487238293961855e-01,0.000000000000000000e+00,9.622365319102934578e-01,9.545853754788563572e-01,9.226308138701567740e-01,9.578804979506390094e-01,8.724144402255458175e-01,1.186202759755605074e+00,9.506910590253049298e-01,9.738875291842797877e-01,9.357168293704980488e-01
9.124301823625023955e-01,9.139203382015839150e-01,9.997359233214582197e-01,9.744703890312879091e-01,9.597956188222828144e-01,9.528874264655751158e-01,9.735276167466706543e-01,9.796754822675737273e-01,9.622365319102934578e-01,3.105904451934693444e-01,1.000000000000000000e+00,9.736720126934507169e-01,9.806600060216119630e-01,9.233033557740430997e-01,1.221944291021926698e+00,9.035441984985252972e-01,9.144115524016862562e-01,9.197891979944576857e-01
8.680210092978550840e-01,8.834973437914310779e-01,9.277225673634156289e-01,8.836887376619295686e-01,9.643718813843114024e-01,9.504405284084255223e-01,9.082411928245224253e-01,8.654562465079179701e-01,9.545853754788563572e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.900223466829480845e-01,8.121349249685310134e-01,9.314920718534198674e-01,1.191741323697457222e+00,8.085143623753942022e-01,9.337733660596462260e-01,9.889859693272349261e-01
1.000000000000000000e+00,9.567186665460580830e-01,9.373148475750952002e-01,9.875615031800653032e-01,9.677512881918018950e-01,9.481574349057426687e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.226308138701567740e-01,9.736720126934507169e-01,9.900223466829480845e-01,-2.220446049250313081e-16,5.586486703893814854e-01,8.776417134109043561e-01,1.267097974626266499e+00,9.980510977195035105e-01,1.000000000000000000e+00,1.348458435837124325e-01
9.867740780691162117e-01,8.123802282259890983e-01,9.473409342035821190e-01,9.985318160828837719e-01,1.000000000000000000e+00,9.139269111570658133e-01,1.000000000000000000e+00,9.980276187628845941e-01,9.578804979506390094e-01,9.806600060216119630e-01,8.121349249685310134e-01,5.586486703893814854e-01,1.110223024625156540e-16,9.476857115369092810e-01,1.257813008857493919e+00,5.701560518008446099e-01,8.677772869418910462e-01,9.265601174492154035e-01
8.935250503813843004e-01,9.258982595263852700e-01,1.000000000000000000e+00,9.772456036048497996e-01,9.653598319505202197e-01,9.495323589387373309e-01,9.123174510525431380e-01,9.925587177171800723e-01,8.724144402255458175e-01,9.233033557740430997e-01,9.314920718534198674e-01,8.776417134109043561e-01,9.476857115369092810e-01,0.000000000000000000e+00,1.045290434014061187e+00,7.387155921880210752e-01,8.517259958145425580e-01,8.578971396525978399e-01
1.286676530291328557e+00,1.347960627989359450e+00,9.146110651718682982e-01,1.311468346967140208e+00,1.258178037744986488e+00,1.251074389799567754e+00,1.316877835041844635e+00,1.163737785005405145e+00,1.186202759755605074e+00,1.221944291021926698e+00,1.191741323697457222e+00,1.267097974626266499e+00,1.257813008857493919e+00,1.045290434014061187e+00,0.000000000000000000e+00,1.072822993134974645e+00,1.240430770351460765e+00,1.203138293173582341e+00
7.931234780986083921e-01,8.909523296679499049e-01,9.402786620557379571e-01,8.990105419313143553e-01,1.000000000000000000e+00,9.418509492342178602e-01,9.747276220545184611e-01,9.685965237435688602e-01,9.506910590253049298e-01,9.035441984985252972e-01,8.085143623753942022e-01,9.980510977195035105e-01,5.701560518008446099e-01,7.387155921880210752e-01,1.072822993134974645e+00,1.110223024625156540e-16,9.049765761670390818e-01,9.890150431651050233e-01
