# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.227852407032525184e-01,8.348547450210366261e-01,6.054350731885043135e-01,9.336696295490285458e-01,9.762057935690993116e-01,8.700502532503859854e-01,9.102773150093361743e-01,9.792210446346950592e-01,9.523595235048305518e-01,1.064417643776216726e+00,6.200955669221893674e-01,8.523242380303498456e-01,7.708130107299175915e-01,9.961990781672708239e-01,1.588402593684485886e-01,1.000000000000000000e+00,9.525870271882518336e-01
9.227852407032525184e-01,0.000000000000000000e+00,9.711385835453937299e-01,8.883475809744529883e-01,3.627393984225606438e-01,9.707607806225139191e-01,8.192013264211355228e-01,5.843969766786289988e-01,9.951030058940143475e-01,7.933089468624560103e-01,1.168306244748239298e+00,8.850423820657551399e-01,6.363910657782885227e-01,9.126199998783308676e-01,9.926959883671646612e-01,9.328293284126335516e-01,8.863427426909379347e-01,7.992690508513775605e-01
8.348547450210366261e-01,9.711385835453937299e-01,0.000000000000000000e+00,9.869777254408578226e-01,9.976296399699767781e-01,8.666307633548775424e-01,8.095185061220999678e-01,9.985591347901738857e-01,9.882288445619170636e-01,8.488442725611585749e-01,1.006383995016483901e+00,8.864882383412113764e-01,8.839198493663119605e-01,8.457172096046319254e-01,1.000000000000000000e+00,8.903179657907529521e-01,9.883934561495814064e-01,9.297579656890141431e-01
6.054350731885043135e-01,8.883475809744529883e-01,9.869777254408578226e-01,0.000000000000000000e+00,8.549844970670397171e-01,9.737212950347108320e-01,9.225248702273791679e-01,9.010877167963097234e-01,9.231172481134225505e-01,8.742955448857393508e-01,1.008033538382800520e+00,9.381525048846744985e-01,1.000000000000000000e+00,9.699824997390581460e-01,9.382900478109493791e-01,8.693277080439331117e-01,9.887362574278772964e-01,9.731209107471702202e-01
9.336696295490285458e-01,3.627393984225606438e-01,9.976296399699767781e-01,8.549844970670397171e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.757260034155097683e-01,6.182120793872561970e-01,9.943307005090311623e-01,7.905180748562307125e-01,1.141879757526657713e+00,8.297382420862615682e-01,5.677489313408138338e-01,9.470036594384502182e-01,9.956261524883720515e-01,4.363508293115693215e-01,8.575812830405007414e-01,8.060377376581323583e-01
9.762057935690993116e-01,9.707607806225139191e-01,8.666307633548775424e-01,9.737212950347108320e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.335540757495928155e-01,9.846778958428201722e-01,1.000000000000000000e+00,9.932301580693616572e-01,1.189340379915943213e+00,9.735640603830939543e-01,8.095444936819475856e-01,9.531296714710030260e-01,9.031341970211821391e-01,9.306801740864001360e-01,9.045338219710500338e-01,9.807247110283846547e-01
8.700502532503859854e-01,8.192013264211355228e-01,8.095185061220999678e-01,9.225248702273791679e-01,8.757260034155097683e-01,9.335540757495928155e-01,4.266269453090820729e-01,8.789396539710099265e-01,9.417883967517990396e-01,8.961037655659107592e-01,1.077865682701060424e+00,7.215343019564790517e-01,7.044050957694594217e-01,6.682219156642820179e-01,1.000000000000000000e+00,8.514929294877510157e-01,9.583164536133765843e-01,9.981360433036674529e-01
9.102773150093361743e-01,5.843969766786289988e-01,9.985591347901738857e-01,9.010877167963097234e-01,6.182120793872561970e-01,9.846778958428201722e-01,8.789396539710099265e-01,3.806263192950524732e-01,1.000000000000000000e+00,8.228571441467326109e-01,1.065958336312221366e+00,9.593388093067154454e-01,8.646387211088746305e-01,9.316910934397499844e-01,1.000000000000000000e+00,9.789212887869189750e-01,8.066232888927751254e-01,9.644253357732295306e-01
9.792210446346950592e-01,9.951030058940143475e-01,9.882288445619170636e-01,9.231172481134225505e-01,9.943307005090311623e-01,1.000000000000000000e+00,9.417883967517990396e-01,1.000000000000000000e+00,3.330669073875469621e-16,9.630066437855345773e-01,1.213691552550679509e+00,9.790520381221816670e-01,9.843291153506260605e-01,9.880395435442406171e-01,9.784810073306597911e-01,9.976450821031102034e-01,9.572892650737490072e-01,9.821583688766345466e-01
9.523595235048305518e-01,7.933089468624560103e-01,8.488442725611585749e-01,8.742955448857393508e-01,7.905180748562307125e-01,9.932301580693616572e-01,8.961037655659108703e-01,8.228571441467326109e-01,9.630066437855345773e-01,6.086879596390404323e-01,1.133026017159033394e+00,8.651195899100611042e-01,9.771883233134106561e-01,8.866101382627583627e-01,9.857060313058479961e-01,9.845571162710448077e-01,9.248065677092388581e-01,8.077382145088848331e-01
1.064417643776216726e+00,1.168306244748239298e+00,1.006383995016483901e+00,1.008033538382800520e+00,1.141879757526657713e+00,1.189340379915943213e+00,1.077865682701060424e+00,1.065958336312221144e+00,1.213691552550679509e+00,1.133026017159033394e+00,7.955207653057638773e-01,1.088395146606194075e+00,1.167773327562719343e+00,1.092103392412813401e+00,1.138251643419259329e+00,1.074945770120941280e+00,1.056178277777598984e+00,1.141072916415881489e+00
6.200955669221893674e-01,8.850423820657551399e-01,8.864882383412113764e-01,9.381525048846744985e-01,8.297382420862615682e-01,9.735640603830939543e-01,7.215343019564790517e-01,9.593388093067154454e-01,9.790520381221816670e-01,8.651195899100611042e-01,1.088395146606194075e+00,2.220446049250313081e-16,1.000000000000000000e+00,8.901778856428065323e-01,9.894814768503682467e-01,7.535552178070318297e-01,9.825260046233926792e-01,4.636802734713065810e-01
8.523242380303498456e-01,6.363910657782885227e-01,8.839198493663119605e-01,1.000000000000000000e+00,5.677489313408138338e-01,8.095444936819475856e-01,7.044050957694594217e-01,8.646387211088746305e-01,9.843291153506260605e-01,9.771883233134106561e-01,1.167773327562719343e+00,1.000000000000000000e+00,-2.220446049250313081e-16,6.466318489215128196e-01,1.000000000000000000e+00,6.532236490986641497e-01,9.638406310466191007e-01,1.000000000000000000e+00
