# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.428937329157976999e-01,1.000000000000000000e+00,9.747712634515578456e-01,9.756304328209114418e-01,9.005482205157966380e-01,7.390773275458847325e-01,9.633372686400161200e-01,9.031433866360828455e-01,1.000000000000000000e+00,9.717855684360994228e-01,1.125448021437885249e+00,9.760359638628993695e-01,9.268547905947693843e-01,8.213764498892762722e-01,5.231017500691494959e-01,8.675045181741060096e-01,9.932676831913628268e-01
9.428937329157976999e-01,0.000000000000000000e+00,8.667033152034364640e-01,9.002817676171789296e-01,5.227053511832724375e-01,9.038322907949094542e-01,9.151574949618879184e-01,2.915931323219513871e-01,8.836395896775298686e-01,8.856688158915906328e-01,9.890130746204582879e-01,1.051812048722303494e+00,8.438022503539276409e-01,9.324831042454977403e-01,9.891215139669794487e-01,9.779976952615918595e-01,9.334509558314311173e-01,8.554320480135637617e-01
1.000000000000000000e+00,8.667033152034364640e-01,0.000000000000000000e+00,9.895140429323655562e-01,8.401610361761592261e-01,9.049035217108636342e-01,6.834903807630987593e-01,9.231277538061741783e-01,9.571840910022452187e-01,9.646722230654040109e-01,9.836823730273398514e-01,1.199162809294936682e+00,9.605962914793167995e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.726605090640503715e-01,8.008549685016811415e-01,9.451950715262029679e-01
9.747712634515578456e-01,9.002817676171789296e-01,9.895140429323655562e-01,0.000000000000000000e+00,8.890734318088377997e-01,9.727731387313943712e-01,9.552966934611971661e-01,9.360727599285784128e-01,9.458809612060448124e-01,1.000000000000000000e+00,9.949301899098358382e-01,1.059987979483526299e+00,9.972724435061133264e-01,8.707424079168453179e-01,1.000000000000000000e+00,9.960173511831029725e-01,9.642481190810745506e-01,9.062780555713556563e-01
9.756304328209114418e-01,5.227053511832724375e-01,8.401610361761592261e-01,8.890734318088377997e-01,2.220446049250313081e-16,8.927944016266879945e-01,9.124136648619451950e-01,6.614585147427786138e-01,8.762423808895627442e-01,8.735231070082690730e-01,8.969698543853515948e-01,1.180557418899697009e+00,9.962576169381698321e-01,9.248560933955748409e-01,9.992797812019897918e-01,9.906976169895587159e-01,8.992684146581138016e-01,9.224931058921010951e-01
9.005482205157966380e-01,9.038322907949094542e-01,9.049035217108636342e-01,9.727731387313943712e-01,8.927944016266879945e-01,-2.220446049250313081e-16,8.940062869482603425e-01,9.760285419917790195e-01,7.558309518016801398e-01,9.873614172875782025e-01,9.793651392963962365e-01,1.128624623317344478e+00,9.308407435737583446e-01,9.687195437512248208e-01,9.082502637963399961e-01,9.284659529378761489e-01,6.519448319127709723e-01,9.234508525796391032e-01
7.390773275458847325e-01,9.151574949618879184e-01,6.834903807630987593e-01,9.552966934611971661e-01,9.124136648619451950e-01,8.940062869482603425e-01,4.166846000633291358e-01,9.905511698059460413e-01,9.041517255767861361e-01,9.342833481140192520e-01,8.432691003965475662e-01,1.148745670885121806e+00,9.405689085927568804e-01,9.713780780119312119e-01,8.875436320433245374e-01,5.175300941111334874e-01,8.911857846273801842e-01,9.656721453990125825e-01
9.633372686400161200e-01,2.915931323219513871e-01,9.231277538061741783e-01,9.360727599285784128e-01,6.614585147427786138e-01,9.760285419917790195e-01,9.905511698059460413e-01,1.110223024625156540e-16,9.341973808756807163e-01,8.229193258557142565e-01,9.862936506959834038e-01,1.187211270833810506e+00,7.227903780002296052e-01,9.980814334130697629e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.490170101228987409e-01,8.757795712621191386e-01
9.031433866360828455e-01,8.836395896775298686e-01,9.571840910022452187e-01,9.458809612060448124e-01,8.762423808895627442e-01,7.558309518016801398e-01,9.041517255767861361e-01,9.341973808756807163e-01,1.110223024625156540e-16,9.690540438172691173e-01,9.647641281613130726e-01,1.245719172374106565e+00,9.190549183389530308e-01,9.732532654865481136e-01,9.162417795500389373e-01,9.529458587472525721e-01,7.800086440254825337e-01,8.596782444795256772e-01
1.000000000000000000e+00,8.856688158915906328e-01,9.646722230654040109e-01,1.000000000000000000e+00,8.735231070082690730e-01,9.873614172875782025e-01,9.342833481140192520e-01,8.229193258557142565e-01,9.690540438172691173e-01,5.643034140268193832e-01,8.949134756574124161e-01,1.161361761552344607e+00,9.672938159407712400e-01,9.689684592345263470e-01,9.932599653567102393e-01,1.000000000000000000e+00,9.585794423759338434e-01,9.865732413339861617e-01
