# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,8.906294594861209335e-01,1.000000000000000000e+00,8.871112700528149819e-01,9.749188923229864523e-01,9.035409243493626175e-01,9.663242528014250876e-01,9.625781674933623355e-01,1.000000000000000000e+00,9.868092253320587259e-01,9.600733926162021703e-01,8.631619046161822517e-01,1.093753781788719515e+00,8.994120180352978000e-01,1.000000000000000000e+00,9.945006989532486630e-01,9.522824117148100953e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.394980021961140126e-01,5.945578345322679592e-01,8.471933016100356983e-01,9.250526752173622302e-01,8.699186906269514852e-01,8.941285494984233528e-01,9.695670794026802763e-01,9.236384672661525075e-01,1.000000000000000000e+00,8.725261358816996937e-01,7.088174810440501794e-01,1.089016182790980114e+00,9.552629106640043721e-01,1.000000000000000000e+00,9.441423815395830754e-01,9.879386298991688076e-01
8.906294594861209335e-01,9.394980021961140126e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.260401900415817789e-01,9.742312548060795274e-01,9.696745723209277967e-01,9.296418775301544812e-01,1.000000000000000000e+00,8.511905152259503504e-01,9.221892743631771028e-01,9.854877294343004079e-01,9.924080950662171885e-01,1.053532303620495547e+00,9.660017093377689656e-01,1.000000000000000000e+00,9.788370160021934163e-01,9.790305358079511855e-01
1.000000000000000000e+00,5.945578345322679592e-01,1.000000000000000000e+00,2.220446049250313081e-16,8.816665282090571099e-01,1.000000000000000000e+00,9.340401231046050468e-01,9.822510124165176881e-01,9.978460215447323423e-01,8.812574144328165771e-01,9.153075273142784463e-01,7.320108870855593919e-01,9.442904840139120237e-01,1.103544618262747079e+00,1.000000000000000000e+00,9.281775792324756802e-01,9.697804980275004372e-01,9.241579410955820251e-01
8.871112700528149819e-01,8.471933016100356983e-01,9.260401900415817789e-01,8.816665282090571099e-01,0.000000000000000000e+00,9.023934957908242849e-01,9.205412581122347504e-01,8.756248721702066806e-01,9.721574828178949357e-01,8.455608947030661682e-01,9.927010081915815798e-01,8.599022719381002045e-01,6.498503147580090289e-01,1.084097465889208634e+00,9.901726986790491125e-01,9.487490393531763377e-01,9.988262132278633576e-01,8.999194462189110677e-01
9.749188923229864523e-01,9.250526752173622302e-01,9.742312548060795274e-01,1.000000000000000000e+00,9.023934957908242849e-01,0.000000000000000000e+00,9.581651622065687768e-01,9.133695659466187777e-01,9.532830958873127480e-01,8.854556822183071718e-01,9.883719783752897836e-01,9.190239491087752732e-01,8.853351512813767421e-01,1.212523352109311059e+00,9.474644520953006133e-01,9.488475463229668616e-01,9.153234105929197728e-01,9.936845747692448771e-01
9.035409243493626175e-01,8.699186906269514852e-01,9.696745723209277967e-01,9.340401231046050468e-01,9.205412581122347504e-01,9.581651622065687768e-01,3.924014385573783015e-01,9.185126346676295572e-01,9.810635747740191759e-01,9.668232193045240841e-01,9.246038432930605566e-01,9.249161916974151243e-01,9.088372842821679232e-01,1.107553088255651463e+00,9.451873441501319473e-01,7.095723230930830461e-01,9.890081710662266268e-01,8.483249272540529518e-01
9.663242528014250876e-01,8.941285494984233528e-01,9.296418775301544812e-01,9.822510124165176881e-01,8.756248721702066806e-01,9.133695659466187777e-01,9.185126346676295572e-01,4.999999999999999445e-01,9.825303234830559118e-01,9.649476677258594925e-01,9.770069889558115062e-01,9.915030568386735688e-01,8.646237869156866429e-01,1.093370010417956895e+00,1.000000000000000000e+00,7.203724908926283366e-01,9.943439274889115387e-01,7.266471711992086302e-01
9.625781674933623355e-01,9.695670794026802763e-01,1.000000000000000000e+00,9.978460215447323423e-01,9.721574828178949357e-01,9.532830958873127480e-01,9.810635747740191759e-01,9.825303234830559118e-01,0.000000000000000000e+00,9.443488671733556439e-01,9.932202181576439415e-01,1.000000000000000000e+00,9.402122961876255847e-01,1.243947137373158096e+00,8.428686525144535313e-01,1.000000000000000000e+00,9.252548557090497505e-01,9.718889892710327327e-01
1.000000000000000000e+00,9.236384672661525075e-01,8.511905152259503504e-01,8.812574144328165771e-01,8.455608947030661682e-01,8.854556822183071718e-01,9.668232193045240841e-01,9.649476677258594925e-01,9.443488671733556439e-01,0.000000000000000000e+00,8.953997809744966840e-01,8.777518398414853040e-01,8.398979883611276120e-01,1.191923987564110332e+00,8.928871785231881075e-01,9.096123564985119092e-01,8.316026980577402306e-01,9.451435437904628367e-01
