# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.217285413563889307e+00,1.044044812149598656e+00,1.311331840592767861e+00,1.305577825427240102e+00,1.349181257650288401e+00,1.311067485694703549e+00,1.331753297161959448e+00,1.253728380095371797e+00,1.172733150375856681e+00,1.121097694080983809e+00,1.170496882151176976e+00,7.232212184374826602e-01,1.185253048714793200e+00,1.326669385703500348e+00,1.087405632159423430e+00,1.344775182163372440e+00,8.914105676250041466e-01
1.217285413563889307e+00,-2.220446049250313081e-16,9.083873735927938675e-01,8.918036482873967774e-01,9.296408970059367727e-01,1.000000000000000000e+00,9.766073423143561971e-01,9.918627557568754360e-01,9.863988776776143608e-01,1.077138461753649246e+00,1.000000000000000000e+00,9.044972133654114455e-01,1.316667907759678791e+00,1.000000000000000000e+00,9.951788063129598516e-01,8.717142074712130873e-01,9.356606521571413371e-01,1.062291327819547604e+00
1.044044812149598656e+00,9.083873735927938675e-01,2.220446049250313081e-16,1.000000000000000000e+00,8.861784303472675095e-01,1.000000000000000000e+00,8.574399277070650083e-01,9.296808180321338710e-01,9.207199912195860314e-01,1.098040433664502435e+00,9.000670967162487379e-01,8.245708904939041961e-01,1.170921971651477378e+00,1.000000000000000000e+00,8.908975167886546975e-01,9.022752000369349545e-01,9.615103190445548620e-01,1.044300932779532509e+00
1.311331840592767861e+00,8.918036482873967774e-01,1.000000000000000000e+00,5.000000000000000000e-01,8.896001424257649060e-01,9.376517064855783845e-01,9.760593573243394605e-01,9.742177302736843014e-01,9.689908666522175640e-01,1.094595196322916575e+00,1.000000000000000000e+00,9.214117019889900284e-01,1.387752795760024194e+00,9.799237559852068680e-01,9.876492278500152988e-01,1.000000000000000000e+00,9.789576771957751999e-01,1.100834010474444291e+00
1.305577825427240102e+00,9.296408970059367727e-01,8.861784303472675095e-01,8.896001424257649060e-01,0.000000000000000000e+00,9.904969610135482272e-01,9.724663726436690858e-01,9.305146799242046685e-01,9.675450225172317342e-01,1.110081894722572349e+00,7.355816123094369718e-01,8.966450560651374468e-01,1.332802809847893011e+00,9.304796629725632373e-01,9.730048182933609402e-01,8.119297209450061503e-01,9.743097158713346362e-01,1.092015392821021447e+00
1.349181257650288401e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.376517064855783845e-01,9.904969610135482272e-01,3.330669073875469621e-16,9.065213752708688455e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.085399323805650074e+00,1.000000000000000000e+00,9.756345650111990508e-01,1.458732452392006440e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.981341787851869540e-01,1.158795269634818492e+00
1.311067485694703549e+00,9.766073423143561971e-01,8.574399277070650083e-01,9.760593573243394605e-01,9.724663726436690858e-01,9.065213752708688455e-01,2.220446049250313081e-16,9.805788879480143994e-01,9.839997769982059550e-01,1.091391810371357129e+00,1.000000000000000000e+00,9.870249676216338308e-01,1.315133778781296892e+00,9.861252171489325313e-01,9.410645026314654604e-01,9.891647279156801087e-01,9.777446711218485964e-01,1.122715669284143569e+00
1.331753297161959448e+00,9.918627557568754360e-01,9.296808180321338710e-01,9.742177302736843014e-01,9.305146799242046685e-01,1.000000000000000000e+00,9.805788879480143994e-01,0.000000000000000000e+00,9.892627314012838458e-01,1.023695120919430268e+00,1.000000000000000000e+00,9.810821539178831152e-01,1.329280817569884920e+00,1.000000000000000000e+00,9.783236983329826053e-01,9.972161002474355662e-01,9.898831198827136024e-01,1.125821328918398256e+00
1.253728380095371797e+00,9.863988776776143608e-01,9.207199912195860314e-01,9.689908666522175640e-01,9.675450225172317342e-01,1.000000000000000000e+00,9.839997769982059550e-01,9.892627314012838458e-01,3.330669073875469621e-16,1.113497516930799902e+00,1.000000000000000000e+00,9.690062470221099122e-01,1.323125082606008585e+00,9.230507968023020648e-01,6.373643787008242967e-01,1.000000000000000000e+00,6.007135385979882614e-01,1.147853445494292135e+00
1.172733150375856681e+00,1.077138461753649246e+00,1.098040433664502435e+00,1.094595196322916575e+00,1.110081894722572349e+00,1.085399323805650074e+00,1.091391810371357129e+00,1.023695120919430268e+00,1.113497516930799902e+00,5.565066428409950472e-01,1.092207315717460547e+00,1.021501926954970774e+00,1.275961712479418253e+00,1.085005654913201667e+00,1.165269821539640205e+00,1.154287493688353372e+00,1.131631864839383494e+00,1.128094549038752392e+00
