# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,7.335633394929020890e-01,5.954563781333039874e-01,8.753668670177124911e-01,8.309897247085837879e-01,1.000000000000000000e+00,8.174626677976852829e-01,9.360396600148815915e-01,1.000000000000000000e+00,7.946675179127834499e-01,9.799106196931727242e-01,7.248500384786003004e-01,7.699977571094063222e-01,9.319425369724616548e-01,9.965611898630174492e-01,6.889564274210833172e-01,9.479706877891610484e-01,8.976578161421120416e-01
7.335633394929020890e-01,-2.220446049250313081e-16,6.727034078088129920e-01,9.269936449137895496e-01,5.057862696991404228e-01,9.895258192631234406e-01,9.127746279162475274e-01,7.901533859017177974e-01,9.742428142232266719e-01,7.816833910442921862e-01,8.767994505952745321e-01,7.519757617053288712e-01,7.761309980938255748e-01,9.529245630535206901e-01,9.606683964280664512e-01,9.440755226167488745e-01,8.365935903519140515e-01,8.609041945513626892e-01
5.954563781333039874e-01,6.727034078088129920e-01,-2.220446049250313081e-16,9.913112645336956685e-01,6.068678186298539501e-01,9.573372077697238636e-01,8.951530917452776848e-01,8.617783546154644814e-01,9.183843551612151934e-01,7.047788974313728971e-01,1.000000000000000000e+00,6.552280358979885033e-01,5.997360992512601463e-01,8.545537932493335598e-01,9.090070190092579550e-01,7.844724985035433917e-01,9.769849123916540812e-01,6.844495230498460758e-01
8.753668670177124911e-01,9.269936449137895496e-01,9.913112645336956685e-01,2.220446049250313081e-16,8.588367190475758584e-01,1.000000000000000000e+00,9.670451203653245287e-01,9.482663644514959245e-01,9.416833117421553601e-01,4.927275459581996753e-01,9.511550034868525572e-01,7.891214498031108304e-01,8.087122725481827867e-01,8.532679695483540439e-01,9.741727866896870980e-01,8.581436437850522569e-01,9.966147556792915863e-01,8.463070674307122676e-01
8.309897247085837879e-01,5.057862696991404228e-01,6.068678186298539501e-01,8.588367190475758584e-01,0.000000000000000000e+00,9.363165702363526188e-01,8.960119864428752745e-01,8.503249318906862531e-01,9.170104702417433140e-01,7.603197626726631020e-01,9.370779168887725108e-01,7.913453189892628581e-01,8.334058786569713551e-01,8.925914937652118519e-01,9.607762569856276302e-01,6.897164226022759470e-01,8.446266890778336700e-01,8.908995008645770319e-01
1.000000000000000000e+00,9.895258192631234406e-01,9.573372077697238636e-01,1.000000000000000000e+00,9.363165702363526188e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.331315052100526142e-01,9.553148340735676536e-01,9.477721936332781372e-01,9.274951161312282588e-01,6.670807074973610362e-01,1.000000000000000000e+00,9.851015665899207630e-01,9.800063741346278778e-01,1.000000000000000000e+00,9.330176857517867850e-01,9.796949116341970853e-01
8.174626677976852829e-01,9.127746279162475274e-01,8.951530917452776848e-01,9.670451203653245287e-01,8.960119864428752745e-01,1.000000000000000000e+00,5.000000000000000000e-01,8.729952967626644078e-01,9.237782843749414718e-01,8.606627065322755010e-01,8.982117004457590426e-01,8.857374748162862854e-01,8.762260546150915097e-01,6.899207187208618031e-01,9.471239948839051959e-01,6.486279134555845705e-01,9.849562674272820395e-01,9.432401604417970375e-01
9.360396600148815915e-01,7.901533859017177974e-01,8.617783546154644814e-01,9.482663644514959245e-01,8.503249318906862531e-01,9.331315052100526142e-01,8.729952967626646299e-01,4.562119401421529385e-01,9.536732652912569552e-01,8.890406738326794844e-01,9.107314285321216341e-01,9.089989408783235580e-01,9.271807348706739837e-01,8.250134041360079884e-01,9.419714222775958934e-01,9.437943664430121782e-01,9.039509624950432531e-01,8.885832872574774832e-01
1.000000000000000000e+00,9.742428142232266719e-01,9.183843551612151934e-01,9.416833117421553601e-01,9.170104702417433140e-01,9.553148340735676536e-01,9.237782843749414718e-01,9.536732652912569552e-01,0.000000000000000000e+00,8.733418050418836343e-01,9.063958775135332324e-01,9.226061687136610789e-01,8.212034397886966985e-01,8.698992237425035023e-01,3.806972464788297428e-01,9.649995837573038804e-01,9.695812807154314816e-01,9.458779437737601103e-01
7.946675179127834499e-01,7.816833910442921862e-01,7.047788974313728971e-01,4.927275459581996753e-01,7.603197626726631020e-01,9.477721936332781372e-01,8.606627065322755010e-01,8.890406738326794844e-01,8.733418050418836343e-01,4.440892098500626162e-16,7.762015255029467431e-01,7.070559825090713124e-01,7.186623858335552395e-01,7.769077374066991615e-01,8.725243714088608549e-01,8.684369683016652797e-01,9.409899871022606721e-01,7.950975230370691538e-01
9.799106196931727242e-01,8.767994505952745321e-01,1.000000000000000000e+00,9.511550034868525572e-01,9.370779168887725108e-01,9.274951161312282588e-01,8.982117004457590426e-01,9.107314285321216341e-01,9.063958775135332324e-01,7.762015255029467431e-01,0.000000000000000000e+00,8.778384940312269347e-01,8.947857660654675582e-01,8.645356481419805839e-01,8.572249736492506544e-01,8.533641678370249561e-01,8.702234381076596748e-01,9.552793389803617696e-01
7.248500384786003004e-01,7.519757617053288712e-01,6.552280358979885033e-01,7.891214498031108304e-01,7.913453189892628581e-01,6.670807074973610362e-01,8.857374748162862854e-01,9.089989408783235580e-01,9.226061687136610789e-01,7.070559825090713124e-01,8.778384940312269347e-01,2.220446049250313081e-16,2.336283438337047880e-01,8.088550312217546168e-01,9.135717187134599904e-01,7.318362142649805779e-01,9.314399003218479800e-01,6.043563637097477681e-01
7.699977571094063222e-01,7.761309980938255748e-01,5.997360992512601463e-01,8.087122725481827867e-01,8.334058786569713551e-01,1.000000000000000000e+00,8.762260546150915097e-01,9.271807348706739837e-01,8.212034397886966985e-01,7.186623858335552395e-01,8.947857660654675582e-01,2.336283438337047880e-01,-2.220446049250313081e-16,8.077829220585230896e-01,9.096005056361795571e-01,8.569025689791038847e-01,9.394373016760616535e-01,3.520433006375570661e-01
9.319425369724616548e-01,9.529245630535206901e-01,8.545537932493335598e-01,8.532679695483540439e-01,8.925914937652118519e-01,9.851015665899207630e-01,6.899207187208618031e-01,8.250134041360079884e-01,8.698992237425035023e-01,7.769077374066991615e-01,8.645356481419805839e-01,8.088550312217546168e-01,8.077829220585230896e-01,1.110223024625156540e-16,7.680938643531328713e-01,9.102732470708251311e-01,9.874626636868946150e-01,9.073479826042606389e-01
9.965611898630174492e-01,9.606683964280664512e-01,9.090070190092579550e-01,9.741727866896870980e-01,9.607762569856276302e-01,9.800063741346278778e-01,9.471239948839051959e-01,9.419714222775958934e-01,3.806972464788297428e-01,8.725243714088608549e-01,8.572249736492506544e-01,9.135717187134599904e-01,9.096005056361795571e-01,7.680938643531328713e-01,-2.220446049250313081e-16,9.911163066461678994e-01,9.565008765836113813e-01,9.437638763777466133e-01
6.889564274210833172e-01,9.440755226167488745e-01,7.844724985035433917e-01,8.581436437850522569e-01,6.897164226022759470e-01,1.000000000000000000e+00,6.486279134555845705e-01,9.437943664430121782e-01,9.649995837573038804e-01,8.684369683016652797e-01,8.533641678370249561e-01,7.318362142649805779e-01,8.569025689791038847e-01,9.102732470708251311e-01,9.911163066461678994e-01,-2.220446049250313081e-16,9.443058305577481937e-01,7.836041229265477970e-01
9.479706877891610484e-01,8.365935903519140515e-01,9.769849123916540812e-01,9.966147556792915863e-01,8.446266890778336700e-01,9.330176857517867850e-01,9.849562674272820395e-01,9.039509624950432531e-01,9.695812807154314816e-01,9.409899871022606721e-01,8.702234381076596748e-01,9.314399003218479800e-01,9.394373016760616535e-01,9.874626636868946150e-01,9.565008765836113813e-01,9.443058305577481937e-01,2.220446049250313081e-16,9.414926634742326605e-01
