# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.350533772132116894e-01,7.560440342536446368e-01,1.000000000000000000e+00,9.810297108196791571e-01,9.279775122658791009e-01,7.346468436518607259e-01,1.094335828336840732e+00,9.947373369298019297e-01,9.940918583715272483e-01,nan,7.626701596776347403e-01,1.000000000000000000e+00,8.223711437234744182e-01,9.931844611070699269e-01,4.736800943396747288e-01,9.482943778282151293e-01,9.552943307933142725e-01
9.350533772132116894e-01,2.220446049250313081e-16,8.606661630626414317e-01,9.275342986648293930e-01,9.222769760087915492e-01,8.729462402660099762e-01,9.652713874881273526e-01,8.635162212032030382e-01,8.575194506717969123e-01,8.478170274918912508e-01,nan,7.845840202970273403e-01,8.784100059852725240e-01,8.951647915595591920e-01,8.232140017648369446e-01,8.584115366589963880e-01,9.182909932318179536e-01,6.820936710284836169e-01
7.560440342536446368e-01,8.606661630626414317e-01,2.356761112099384214e-01,1.000000000000000000e+00,9.313055878901411733e-01,9.539207591641333250e-01,7.724261291174008282e-01,1.017198735869996540e+00,8.999116516458606219e-01,9.283740497000212422e-01,nan,6.398139053005533761e-01,9.807498513713757138e-01,8.270751452874186560e-01,8.358751792001208880e-01,8.306169477157787639e-01,9.602399111630230966e-01,7.459783494167733231e-01
1.000000000000000000e+00,9.275342986648293930e-01,1.000000000000000000e+00,4.440892098500626162e-16,1.000000000000000000e+00,7.164358555255276872e-01,9.796631249768380512e-01,1.180056046489005528e+00,9.307108264231278572e-01,1.000000000000000000e+00,nan,9.641114932580098218e-01,9.620805476940939016e-01,9.778825131976766061e-01,9.116715876046930234e-01,1.000000000000000000e+00,9.597989394591528445e-01,9.725155706187670335e-01
9.810297108196791571e-01,9.222769760087915492e-01,9.313055878901411733e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.302286072044326781e-01,9.610959402480845348e-01,1.040718767590386395e+00,9.728723026545659236e-01,9.160877854553127753e-01,nan,8.948341477760206608e-01,9.631214611576289775e-01,1.000000000000000000e+00,9.756976897219926670e-01,1.000000000000000000e+00,9.871096779972250435e-01,9.986428129514368646e-01
9.279775122658791009e-01,8.729462402660099762e-01,9.539207591641333250e-01,7.164358555255276872e-01,9.302286072044326781e-01,3.330669073875469621e-16,7.919528555784826063e-01,1.067207532353786847e+00,9.152292570280365913e-01,9.731747297767860960e-01,nan,9.382001926320476803e-01,9.352515661296516569e-01,9.435627372270039004e-01,8.916363565696426852e-01,9.497820326799661927e-01,1.000000000000000000e+00,9.299352234186135657e-01
7.346468436518607259e-01,9.652713874881273526e-01,7.724261291174008282e-01,9.796631249768380512e-01,9.610959402480845348e-01,7.919528555784826063e-01,0.000000000000000000e+00,1.145654743664932695e+00,9.476450296478238222e-01,9.704229859112968315e-01,nan,7.326601418209262029e-01,9.824479473252848427e-01,9.490100940679953023e-01,1.000000000000000000e+00,8.536118953888094385e-01,9.227139391474172836e-01,8.730964489767121250e-01
1.094335828336840732e+00,8.635162212032030382e-01,1.017198735869996540e+00,1.180056046489005528e+00,1.040718767590386395e+00,1.067207532353786847e+00,1.145654743664932695e+00,0.000000000000000000e+00,1.126317714957625338e+00,1.043236448119898352e+00,nan,1.070425737548265088e+00,1.205097634703334197e+00,9.853378047063927614e-01,9.402571587509775952e-01,1.072429107533827475e+00,1.218466661487027425e+00,1.033447352448779277e+00
9.947373369298019297e-01,8.575194506717969123e-01,8.999116516458606219e-01,9.307108264231278572e-01,9.728723026545659236e-01,9.152292570280365913e-01,9.476450296478238222e-01,1.126317714957625338e+00,-2.220446049250313081e-16,9.458924114583290299e-01,nan,9.375850221955207564e-01,9.279921373064200507e-01,8.212433607308617933e-01,4.749522933019132420e-01,9.554343603089113790e-01,9.068198160963271137e-01,9.191767387327738348e-01
9.940918583715272483e-01,8.478170274918912508e-01,9.283740497000212422e-01,1.000000000000000000e+00,9.160877854553127753e-01,9.731747297767860960e-01,9.704229859112968315e-01,1.043236448119898352e+00,9.458924114583290299e-01,3.330669073875469621e-16,nan,9.065719180575435576e-01,1.000000000000000000e+00,9.732066557302098131e-01,8.753714796925823327e-01,9.796124508867516401e-01,1.000000000000000000e+00,8.769081189632939033e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.626701596776347403e-01,7.845840202970273403e-01,6.398139053005533761e-01,9.641114932580098218e-01,8.948341477760206608e-01,9.382001926320476803e-01,7.326601418209262029e-01,1.070425737548265088e+00,9.375850221955207564e-01,9.065719180575435576e-01,nan,0.000000000000000000e+00,8.767645005279527393e-01,9.255667422712865466e-01,8.333435628611087775e-01,7.099019546599213415e-01,9.519862994252412669e-01,5.553120767482084830e-01
1.000000000000000000e+00,8.784100059852725240e-01,9.807498513713757138e-01,9.620805476940939016e-01,9.631214611576289775e-01,9.352515661296516569e-01,9.824479473252848427e-01,1.205097634703334197e+00,9.279921373064200507e-01,1.000000000000000000e+00,nan,8.767645005279527393e-01,0.000000000000000000e+00,9.591995282089018637e-01,9.521457450772400355e-01,9.545246017413727690e-01,9.007006069351413124e-01,7.061142633750928654e-01
8.223711437234744182e-01,8.951647915595591920e-01,8.270751452874186560e-01,9.778825131976766061e-01,1.000000000000000000e+00,9.435627372270039004e-01,9.490100940679953023e-01,9.853378047063927614e-01,8.212433607308617933e-01,9.732066557302098131e-01,nan,9.255667422712865466e-01,9.591995282089018637e-01,0.000000000000000000e+00,7.715635962717259932e-01,9.370939041702606165e-01,9.165158091482720204e-01,8.129105893766565005e-01
9.931844611070699269e-01,8.232140017648369446e-01,8.358751792001208880e-01,9.116715876046930234e-01,9.756976897219926670e-01,8.916363565696426852e-01,1.000000000000000000e+00,9.402571587509775952e-01,4.749522933019132420e-01,8.753714796925823327e-01,nan,8.333435628611087775e-01,9.521457450772400355e-01,7.715635962717259932e-01,2.220446049250313081e-16,9.234220019556845793e-01,9.110719810841300115e-01,9.099505861612007251e-01
4.736800943396747288e-01,8.584115366589963880e-01,8.306169477157787639e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.497820326799661927e-01,8.536118953888094385e-01,1.072429107533827475e+00,9.554343603089113790e-01,9.796124508867516401e-01,nan,7.099019546599213415e-01,9.545246017413727690e-01,9.370939041702606165e-01,9.234220019556845793e-01,2.220446049250313081e-16,9.290856988081097612e-01,8.472123733469774098e-01
9.482943778282151293e-01,9.182909932318179536e-01,9.602399111630230966e-01,9.597989394591528445e-01,9.871096779972250435e-01,1.000000000000000000e+00,9.227139391474172836e-01,1.218466661487027425e+00,9.068198160963271137e-01,1.000000000000000000e+00,nan,9.519862994252412669e-01,9.007006069351413124e-01,9.165158091482720204e-01,9.110719810841300115e-01,9.290856988081097612e-01,-2.220446049250313081e-16,9.558126480775066547e-01
9.552943307933142725e-01,6.820936710284836169e-01,7.459783494167733231e-01,9.725155706187670335e-01,9.986428129514368646e-01,9.299352234186135657e-01,8.730964489767121250e-01,1.033447352448779277e+00,9.191767387327738348e-01,8.769081189632939033e-01,nan,5.553120767482084830e-01,7.061142633750928654e-01,8.129105893766565005e-01,9.099505861612007251e-01,8.472123733469774098e-01,9.558126480775066547e-01,8.502356294453078389e-02
