# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.132710789157129083e-01,5.623525536232165667e-01,8.677332300389828390e-01,8.409565848255219356e-01,9.357194855390330579e-01,8.765592113891548243e-01,9.832882067705804863e-01,8.614111621356089765e-01,1.000000000000000000e+00,8.847162237202418344e-01,9.627659560000447758e-01,8.881902223520991013e-01,6.142548429520309217e-01,1.000000000000000000e+00,4.849851784075056571e-01,9.360561341063964313e-01,9.561087078892336333e-01
9.132710789157129083e-01,0.000000000000000000e+00,9.135295776771343856e-01,8.774250965352013987e-01,7.503514375818320925e-01,8.944856947229756772e-01,8.832826530539047427e-01,5.993900820435679178e-01,6.343786216864020222e-01,9.612777741846945112e-01,9.973551243196868699e-01,9.446927209851760932e-01,8.739400261942514847e-01,8.523904342098282960e-01,1.000000000000000000e+00,8.967046711561070804e-01,9.768514310394964539e-01,8.343260981844026203e-01
5.623525536232165667e-01,9.135295776771343856e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.791263761036172131e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.478007869421536391e-01,8.317656573906430095e-01,9.593341021157125725e-01,1.000000000000000000e+00,6.062975830524457432e-01,5.862304821355903695e-01,4.887776816605964303e-01,1.000000000000000000e+00,5.295149187369482258e-01,8.993543802237899953e-01,6.156946446477268298e-01
8.677332300389828390e-01,8.774250965352013987e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.258051728178402495e-01,9.815644821520744800e-01,9.358939407220957518e-01,8.969330348621360471e-01,9.180306391753124684e-01,9.643730167564612543e-01,8.991192149316997728e-01,9.958985400262255760e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.632765084622562091e-01,9.587341351447262738e-01,9.586937901976306797e-01,9.643360923764681125e-01
8.409565848255219356e-01,7.503514375818320925e-01,8.791263761036172131e-01,9.258051728178402495e-01,0.000000000000000000e+00,9.314925886199806326e-01,8.491967576788571614e-01,7.983404809319425421e-01,9.472736093671089153e-01,9.522762773309306761e-01,9.242703140675943008e-01,9.218462248353994637e-01,8.531009324600526966e-01,8.507411310289507700e-01,1.000000000000000000e+00,8.738990708347235126e-01,8.267776723600802624e-01,8.691001892381128302e-01
9.357194855390330579e-01,8.944856947229756772e-01,1.000000000000000000e+00,9.815644821520744800e-01,9.314925886199806326e-01,-2.220446049250313081e-16,8.933337632782190063e-01,8.409822912672062500e-01,5.757708766312171766e-01,8.279998589619133043e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.865055381239731247e-01,9.598686682909414181e-01,1.000000000000000000e+00,8.441224023101945306e-01,9.377518680843450749e-01,9.957046226229072650e-01
8.765592113891548243e-01,8.832826530539047427e-01,1.000000000000000000e+00,9.358939407220957518e-01,8.491967576788571614e-01,8.933337632782190063e-01,0.000000000000000000e+00,9.145561361637968290e-01,8.988001620769444644e-01,9.367616172128612195e-01,7.664086664169248442e-01,9.192607312274839737e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.838379694075508608e-01,6.708787039173756961e-01,9.001068337695748989e-01,1.000000000000000000e+00
9.832882067705804863e-01,5.993900820435679178e-01,9.478007869421536391e-01,8.969330348621360471e-01,7.983404809319425421e-01,8.409822912672062500e-01,9.145561361637968290e-01,2.220446049250313081e-16,7.260075726450303524e-01,9.522477372782269800e-01,7.779803153746104316e-01,8.541452837410945520e-01,8.703175622785251919e-01,9.866519007550453857e-01,9.505524509710385761e-01,7.695460609522462025e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.614111621356089765e-01,6.343786216864020222e-01,8.317656573906430095e-01,9.180306391753124684e-01,9.472736093671089153e-01,5.757708766312171766e-01,8.988001620769444644e-01,7.260075726450303524e-01,2.220446049250313081e-16,9.489670139340479205e-01,1.000000000000000000e+00,9.452632527774263993e-01,8.833147388848410220e-01,8.346628214658429190e-01,9.131565810314797860e-01,8.307075105663512815e-01,8.986149488101450311e-01,8.674143907083390337e-01
1.000000000000000000e+00,9.612777741846945112e-01,9.593341021157125725e-01,9.643730167564612543e-01,9.522762773309306761e-01,8.279998589619133043e-01,9.367616172128612195e-01,9.522477372782269800e-01,9.489670139340479205e-01,3.385822993972390504e-01,9.585098265532918660e-01,9.574652823220918263e-01,9.780112834743663885e-01,9.658913653293501600e-01,1.000000000000000000e+00,9.990117814218553161e-01,9.126175749583306240e-01,9.974456741361219514e-01
8.847162237202418344e-01,9.973551243196868699e-01,1.000000000000000000e+00,8.991192149316997728e-01,9.242703140675943008e-01,1.000000000000000000e+00,7.664086664169248442e-01,7.779803153746104316e-01,1.000000000000000000e+00,9.585098265532918660e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.395285447916335020e-01,9.445390963086877090e-01,9.011039458822912573e-01,1.000000000000000000e+00
9.627659560000447758e-01,9.446927209851760932e-01,6.062975830524457432e-01,9.958985400262255760e-01,9.218462248353994637e-01,1.000000000000000000e+00,9.192607312274839737e-01,8.541452837410945520e-01,9.452632527774263993e-01,9.574652823220918263e-01,1.000000000000000000e+00,1.110223024625156540e-16,3.435972420930761828e-01,6.191941068873799692e-01,1.000000000000000000e+00,8.496059029447422528e-01,8.687527913090690168e-01,1.825379374350025730e-01
8.881902223520991013e-01,8.739400261942514847e-01,5.862304821355903695e-01,1.000000000000000000e+00,8.531009324600526966e-01,9.865055381239731247e-01,1.000000000000000000e+00,8.703175622785251919e-01,8.833147388848410220e-01,9.780112834743663885e-01,1.000000000000000000e+00,3.435972420930761828e-01,0.000000000000000000e+00,5.054641442732961121e-01,1.000000000000000000e+00,6.430962468350067684e-01,9.089072098096249164e-01,2.318899621577449333e-01
6.142548429520309217e-01,8.523904342098282960e-01,4.887776816605964303e-01,1.000000000000000000e+00,8.507411310289507700e-01,9.598686682909414181e-01,1.000000000000000000e+00,9.866519007550453857e-01,8.346628214658429190e-01,9.658913653293501600e-01,1.000000000000000000e+00,6.191941068873799692e-01,5.054641442732961121e-01,0.000000000000000000e+00,1.000000000000000000e+00,5.072318434873999138e-01,9.080102985067587396e-01,5.536518230989009304e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.632765084622562091e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.838379694075508608e-01,9.505524509710385761e-01,9.131565810314797860e-01,1.000000000000000000e+00,9.395285447916335020e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.849851784075056571e-01,8.967046711561070804e-01,5.295149187369482258e-01,9.587341351447262738e-01,8.738990708347235126e-01,8.441224023101945306e-01,6.708787039173756961e-01,7.695460609522462025e-01,8.307075105663512815e-01,9.990117814218553161e-01,9.445390963086877090e-01,8.496059029447422528e-01,6.430962468350067684e-01,5.072318434873999138e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.169660995868829101e-01,7.656852461636924900e-01
9.360561341063964313e-01,9.768514310394964539e-01,8.993543802237899953e-01,9.586937901976306797e-01,8.267776723600802624e-01,9.377518680843450749e-01,9.001068337695748989e-01,1.000000000000000000e+00,8.986149488101450311e-01,9.126175749583306240e-01,9.011039458822912573e-01,8.687527913090690168e-01,9.089072098096249164e-01,9.080102985067587396e-01,1.000000000000000000e+00,9.169660995868829101e-01,0.000000000000000000e+00,9.274993904691360980e-01
9.561087078892336333e-01,8.343260981844026203e-01,6.156946446477268298e-01,9.643360923764681125e-01,8.691001892381128302e-01,9.957046226229072650e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.674143907083390337e-01,9.974456741361219514e-01,1.000000000000000000e+00,1.825379374350025730e-01,2.318899621577449333e-01,5.536518230989009304e-01,1.000000000000000000e+00,7.656852461636924900e-01,9.274993904691360980e-01,1.110223024625156540e-16
