# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.073469892097231204e-01,5.514950627161261387e-01,8.497401237433270804e-01,8.799127044804629927e-01,1.000000000000000000e+00,4.480495278045989460e-01,9.528680294520779359e-01,8.978797467023066359e-01,9.850139623042500903e-01,8.444073518574414239e-01,9.205847327324802043e-01,9.003878409888070866e-01,6.464650089828736235e-01,7.765315256250233666e-01,1.000000000000000000e+00,8.672567097968622019e-01,9.433726307359051599e-01
9.073469892097231204e-01,4.610441332188118801e-01,7.558627617474048543e-01,9.183729168491330253e-01,9.134237963016247352e-01,9.925402438793295978e-01,9.016947168135618362e-01,8.031975656853587164e-01,9.501532222815689543e-01,9.062824358621558440e-01,8.434949156446769347e-01,8.605882053534512632e-01,8.638766054492853508e-01,9.286404461932380450e-01,9.345705803175147208e-01,7.544786417209528029e-01,9.278428854215908794e-01,8.330187207577902653e-01
5.514950627161261387e-01,7.558627617474048543e-01,0.000000000000000000e+00,9.189295381342892366e-01,8.193709782624964966e-01,9.350981968067536565e-01,6.377771375864265124e-01,6.472789339251674434e-01,9.724254611538980519e-01,8.753275539280336304e-01,9.654716198178427966e-01,9.526210168359411368e-01,6.917309990089142158e-01,7.144143019740887279e-01,1.000000000000000000e+00,9.402064415182439516e-01,9.103164255966562646e-01,9.446777024375448972e-01
8.497401237433270804e-01,9.183729168491330253e-01,9.189295381342892366e-01,5.000000000000000000e-01,9.044987593041267093e-01,9.620261807245782393e-01,8.933496627470376428e-01,7.770680359502235568e-01,9.437386859192025135e-01,9.420541440494965002e-01,9.402732440631693667e-01,8.267497290472092253e-01,7.974661209645461657e-01,9.486946636763908813e-01,9.592974286493518576e-01,9.998552183238822444e-01,9.128328123127096294e-01,8.060159342701991303e-01
8.799127044804629927e-01,9.134237963016247352e-01,8.193709782624964966e-01,9.044987593041267093e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.773012041587247012e-01,7.491169148895624463e-01,9.872682539363469845e-01,9.562305658832872535e-01,9.350332971074990507e-01,9.075216830408078250e-01,9.001453721667840302e-01,9.407240536723258106e-01,9.225777633475312767e-01,9.704259828985086767e-01,8.964279380647772744e-01,9.109986694746728952e-01
1.000000000000000000e+00,9.925402438793295978e-01,9.350981968067536565e-01,9.620261807245782393e-01,1.000000000000000000e+00,3.330669073875469621e-16,9.224865936445258985e-01,9.423271331906354353e-01,8.631786926844502439e-01,9.900338198152915936e-01,9.980988581451819552e-01,9.159157865602431947e-01,9.389740189957986871e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.383931062383921162e-01
4.480495278045989460e-01,9.016947168135618362e-01,6.377771375864265124e-01,8.933496627470376428e-01,8.773012041587247012e-01,9.224865936445258985e-01,1.110223024625156540e-16,8.283809761282755479e-01,7.486029615132355763e-01,8.956385098044246096e-01,1.000000000000000000e+00,9.244547453200028242e-01,8.328055850738460553e-01,7.778232866023240266e-01,7.776393830270038610e-01,1.000000000000000000e+00,8.399977392933313247e-01,8.762853700912629495e-01
9.528680294520779359e-01,8.031975656853587164e-01,6.472789339251674434e-01,7.770680359502235568e-01,7.491169148895624463e-01,9.423271331906354353e-01,8.283809761282755479e-01,5.000000000000000000e-01,9.720375489983775763e-01,8.846368839091229841e-01,9.811949698356153826e-01,8.545178144132723475e-01,8.452114057790145463e-01,9.662714829472437428e-01,9.818136118190152750e-01,9.702783786164317359e-01,9.079003605123310283e-01,7.788743480396743690e-01
8.978797467023066359e-01,9.501532222815689543e-01,9.724254611538980519e-01,9.437386859192025135e-01,9.872682539363469845e-01,8.631786926844502439e-01,7.486029615132355763e-01,9.720375489983775763e-01,0.000000000000000000e+00,8.824956256957960932e-01,9.933916775196985904e-01,9.078983110440975723e-01,8.942541617016912525e-01,8.918058394056131988e-01,8.905115406192118943e-01,1.000000000000000000e+00,9.092087774957379187e-01,8.897663046734689551e-01
9.850139623042500903e-01,9.062824358621558440e-01,8.753275539280336304e-01,9.420541440494965002e-01,9.562305658832872535e-01,9.900338198152915936e-01,8.956385098044246096e-01,8.846368839091229841e-01,8.824956256957960932e-01,3.573123130167134565e-01,8.810853474735063084e-01,8.789328303603920478e-01,8.567248891387035936e-01,9.786638771166527029e-01,9.562214041063650249e-01,9.893901683968295835e-01,9.918854414846097756e-01,9.094229838044516345e-01
