# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
4.440892098500626162e-16,9.192985381272213985e-01,8.761706556498479737e-01,9.279441344777124012e-01,9.243023318078353867e-01,1.000000000000000000e+00,8.747287937144783143e-01,9.553800053595032926e-01,9.997935829512746286e-01,9.927611947063146314e-01,1.000000000000000000e+00,9.937978096603615752e-01,9.991669283697631743e-01,8.358921286254292760e-01,1.151430567690738593e+00,8.177939178138646792e-01,9.944409221740021509e-01,9.945014092482786783e-01
9.192985381272213985e-01,-2.220446049250313081e-16,9.509397717325624999e-01,9.349094291217677766e-01,3.527302933386764483e-01,9.279069734449889584e-01,9.339501979461516390e-01,4.465318480492280750e-01,9.574551580633551273e-01,8.994885471746854044e-01,7.746036753525562535e-01,9.568996625532055766e-01,9.242057128578500258e-01,6.863589416688166134e-01,1.000733370005533640e+00,9.271820992769351788e-01,1.000000000000000000e+00,9.435096685443510323e-01
8.761706556498479737e-01,9.509397717325624999e-01,3.914259508827593326e-01,9.623349372985493533e-01,8.858163716233029561e-01,8.883533619837469253e-01,9.036810739597702646e-01,9.403095369887115584e-01,9.124071646446226813e-01,8.939612140406197893e-01,9.790992665170799025e-01,8.319839500773383856e-01,9.894474484298638739e-01,8.712866421899578828e-01,1.015097729388699133e+00,8.814159828682133213e-01,9.641465231282029258e-01,8.203696928816057721e-01
9.279441344777124012e-01,9.349094291217677766e-01,9.623349372985493533e-01,4.064884482320175740e-01,8.499602428313385305e-01,9.837910254542422406e-01,9.718210223802363767e-01,9.319611774119429537e-01,9.685545085048605785e-01,9.762541299652061078e-01,9.177112127168340905e-01,9.988788087115268999e-01,9.708781102805301710e-01,9.642732735451864379e-01,1.114711883348070920e+00,9.738472055091232926e-01,9.937097865692456899e-01,9.740598626523492287e-01
9.243023318078353867e-01,3.527302933386764483e-01,8.858163716233029561e-01,8.499602428313385305e-01,1.110223024625156540e-16,9.225532431906212638e-01,9.653688459689185875e-01,3.597039851194958615e-01,1.000000000000000000e+00,9.485915256046102417e-01,7.747177809268972482e-01,9.572279128030337647e-01,9.031336278332198209e-01,9.182270802125018783e-01,1.039905806128789134e+00,9.278060362982325504e-01,9.700117653798080442e-01,9.599016984478642156e-01
1.000000000000000000e+00,9.279069734449889584e-01,8.883533619837469253e-01,9.837910254542422406e-01,9.225532431906212638e-01,0.000000000000000000e+00,9.876816686851102034e-01,1.000000000000000000e+00,9.127158151144753040e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.166297182757422446e-01,9.821005987040949403e-01,9.602882059845831986e-01,1.037507233606860479e+00,9.348756944972507199e-01,1.000000000000000000e+00,9.376487112999352114e-01
8.747287937144783143e-01,9.339501979461516390e-01,9.036810739597702646e-01,9.718210223802363767e-01,9.653688459689185875e-01,9.876816686851102034e-01,2.220446049250313081e-16,9.986392785479741852e-01,9.881823736276575953e-01,9.569993691008258363e-01,9.873425614247703930e-01,7.842007062724951627e-01,1.000000000000000000e+00,9.641410575737192623e-01,1.177038261766776728e+00,9.533586192605121301e-01,9.825888126234736397e-01,7.891439538289624078e-01
9.553800053595032926e-01,4.465318480492280750e-01,9.403095369887115584e-01,9.319611774119429537e-01,3.597039851194958615e-01,1.000000000000000000e+00,9.986392785479741852e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.281514042566088252e-01,9.813693959390700217e-01,9.541762158881038625e-01,1.000000000000000000e+00,1.086066093719057601e+00,9.773875880737745714e-01,1.000000000000000000e+00,9.663878381806878526e-01
9.997935829512746286e-01,9.574551580633551273e-01,9.124071646446226813e-01,9.685545085048605785e-01,1.000000000000000000e+00,9.127158151144753040e-01,9.881823736276575953e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.471454237164995682e-01,1.000000000000000000e+00,8.742245832256073657e-01,9.234972172435225168e-01,1.000000000000000000e+00,1.096653960119675864e+00,9.939594140513543508e-01,1.000000000000000000e+00,8.291000963345183106e-01
9.927611947063146314e-01,8.994885471746854044e-01,8.939612140406197893e-01,9.762541299652061078e-01,9.485915256046102417e-01,1.000000000000000000e+00,9.569993691008258363e-01,1.000000000000000000e+00,9.471454237164995682e-01,-2.220446049250313081e-16,9.357934666113738587e-01,8.569466612044462916e-01,9.788690939278203995e-01,1.000000000000000000e+00,1.045812195078590578e+00,9.784121463922794693e-01,1.000000000000000000e+00,9.116906979050640736e-01
1.000000000000000000e+00,7.746036753525562535e-01,9.790992665170799025e-01,9.177112127168340905e-01,7.747177809268972482e-01,1.000000000000000000e+00,9.873425614247703930e-01,8.281514042566088252e-01,1.000000000000000000e+00,9.357934666113738587e-01,3.330669073875469621e-16,9.913251046633883012e-01,9.825435918681203473e-01,9.782695334909485840e-01,1.044932226780654005e+00,9.174843130457860374e-01,1.000000000000000000e+00,9.942999398453478133e-01
9.937978096603615752e-01,9.568996625532055766e-01,8.319839500773383856e-01,9.988788087115268999e-01,9.572279128030337647e-01,9.166297182757422446e-01,7.842007062724951627e-01,9.813693959390700217e-01,8.742245832256073657e-01,8.569466612044462916e-01,9.913251046633883012e-01,2.220446049250313081e-16,9.504299046808564189e-01,1.000000000000000000e+00,1.135875925662852337e+00,8.338955474992686412e-01,9.739370334241372884e-01,1.160894661963949304e-01
9.991669283697631743e-01,9.242057128578500258e-01,9.894474484298638739e-01,9.708781102805301710e-01,9.031336278332198209e-01,9.821005987040949403e-01,1.000000000000000000e+00,9.541762158881038625e-01,9.234972172435225168e-01,9.788690939278203995e-01,9.825435918681203473e-01,9.504299046808564189e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.140334251029959223e+00,9.934330713621473130e-01,9.720479062805285064e-01,9.733044946704322298e-01
8.358921286254292760e-01,6.863589416688166134e-01,8.712866421899578828e-01,9.642732735451864379e-01,9.182270802125018783e-01,9.602882059845831986e-01,9.641410575737192623e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.782695334909485840e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.137463883230951600e+00,8.616381558461572165e-01,9.849545236975598694e-01,1.000000000000000000e+00
1.151430567690738593e+00,1.000733370005533640e+00,1.015097729388699133e+00,1.114711883348070920e+00,1.039905806128789134e+00,1.037507233606860479e+00,1.177038261766776728e+00,1.086066093719057601e+00,1.096653960119675864e+00,1.045812195078590578e+00,1.044932226780654005e+00,1.135875925662852337e+00,1.140334251029959223e+00,1.137463883230951600e+00,-4.440892098500626162e-16,1.083500879487541813e+00,1.087955281684967579e+00,1.108742280019223925e+00
8.177939178138646792e-01,9.271820992769351788e-01,8.814159828682133213e-01,9.738472055091232926e-01,9.278060362982325504e-01,9.348756944972507199e-01,9.533586192605121301e-01,9.773875880737745714e-01,9.939594140513543508e-01,9.784121463922794693e-01,9.174843130457860374e-01,8.338955474992686412e-01,9.934330713621473130e-01,8.616381558461572165e-01,1.083500879487541813e+00,4.383169833582064578e-01,9.310602191207020262e-01,8.509147595259571872e-01
9.944409221740021509e-01,1.000000000000000000e+00,9.641465231282029258e-01,9.937097865692456899e-01,9.700117653798080442e-01,1.000000000000000000e+00,9.825888126234736397e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.739370334241372884e-01,9.720479062805285064e-01,9.849545236975598694e-01,1.087955281684967579e+00,9.310602191207020262e-01,2.220446049250313081e-16,9.541545840376173260e-01
9.945014092482786783e-01,9.435096685443510323e-01,8.203696928816057721e-01,9.740598626523492287e-01,9.599016984478642156e-01,9.376487112999352114e-01,7.891439538289624078e-01,9.663878381806878526e-01,8.291000963345183106e-01,9.116906979050640736e-01,9.942999398453478133e-01,1.160894661963949304e-01,9.733044946704322298e-01,1.000000000000000000e+00,1.108742280019223925e+00,8.509147595259571872e-01,9.541545840376173260e-01,-2.220446049250313081e-16
