# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.962427854247386749e-01,1.000000000000000000e+00,8.917909760580366996e-01,1.000000000000000000e+00,7.146236870246712725e-01,9.879902316175163124e-01,9.477977103046562046e-01,9.773799303234768088e-01,1.000000000000000000e+00,9.684752926565428632e-01,8.203286515941015100e-01,6.472006716164233620e-01,9.390912098582098189e-01,9.532196375054412529e-01,7.923998702178635112e-01,9.422935739518245590e-01,9.394226511507546284e-01
8.962427854247386749e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.759063502062990114e-01,8.854013669472164949e-01,9.629441306684499713e-01,1.020020697027925971e+00,9.343355877364745155e-01,8.544364115986156083e-01,9.559793569634675858e-01,8.759637339152166469e-01,8.858402230932440613e-01,9.369371001200414995e-01,9.704207050251453248e-01,9.867391150375662834e-01,1.047097427252331681e+00,9.717364806960168133e-01,1.043490328629077535e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.659209859658386632e-01,1.000000000000000000e+00,8.372912660987926747e-01,1.000159306294450712e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.832767922337079192e-01,8.131036160681038849e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.738872068259030401e-01,8.871649381573095683e-01,1.045685755572403064e+00,9.952600549365389071e-01,1.003187899701027952e+00
8.917909760580366996e-01,9.759063502062990114e-01,8.659209859658386632e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.705693774782212513e-01,1.069669243306562656e+00,9.820662302770695185e-01,9.827786832444072029e-01,8.405356029326001011e-01,9.228280780876565448e-01,9.857735203050951300e-01,9.927652830514026583e-01,1.000000000000000000e+00,9.826586519147314513e-01,1.061664818518279096e+00,9.334652462172466914e-01,1.120685709840230748e+00
1.000000000000000000e+00,8.854013669472164949e-01,1.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,1.000000000000000000e+00,1.115212537962363415e+00,1.000000000000000000e+00,9.661402440705902928e-01,8.365729348304586921e-01,7.001208853742284521e-01,8.220717252431355426e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.051751686378095130e+00,9.983015666674208699e-01,1.114076711470449954e+00
7.146236870246712725e-01,9.629441306684499713e-01,8.372912660987926747e-01,9.705693774782212513e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.045194036765058065e+00,9.630356008266158785e-01,1.000000000000000000e+00,9.918080328559004677e-01,9.870671983416854367e-01,8.687373213971142372e-01,7.327127264119268624e-01,8.865630974868261571e-01,6.663631420328945953e-01,9.208431051673249268e-01,9.358195683784520380e-01,9.267946445117131171e-01
9.879902316175163124e-01,1.020020697027925971e+00,1.000159306294450712e+00,1.069669243306562656e+00,1.115212537962363415e+00,1.045194036765058065e+00,9.112130759616738906e-01,1.086919766928090780e+00,1.129533544590231031e+00,1.044244933053566360e+00,1.068618464931483603e+00,1.024293959293586687e+00,1.015412279552237784e+00,1.013514113458836130e+00,1.081644476135549260e+00,9.686126602556371923e-01,1.069706302819240840e+00,1.060976310178197712e+00
9.477977103046562046e-01,9.343355877364745155e-01,1.000000000000000000e+00,9.820662302770695185e-01,1.000000000000000000e+00,9.630356008266158785e-01,1.086919766928090780e+00,3.330669073875469621e-16,9.054073016681176700e-01,9.757982435400172072e-01,9.571217593840932736e-01,9.684373826540055852e-01,9.291415754103670155e-01,1.000000000000000000e+00,9.869022704013966640e-01,1.071368658704249466e+00,9.597698380035081245e-01,1.103181075344943363e+00
9.773799303234768088e-01,8.544364115986156083e-01,1.000000000000000000e+00,9.827786832444072029e-01,9.661402440705902928e-01,1.000000000000000000e+00,1.129533544590231031e+00,9.054073016681176700e-01,0.000000000000000000e+00,9.903340614344762205e-01,9.104308347214077335e-01,9.021276928263821659e-01,9.232120970664831061e-01,9.695521057997271708e-01,9.988769694009059785e-01,1.120614360255731690e+00,9.121980899177319912e-01,1.131923127647756822e+00
1.000000000000000000e+00,9.559793569634675858e-01,8.832767922337079192e-01,8.405356029326001011e-01,8.365729348304586921e-01,9.918080328559004677e-01,1.044244933053566138e+00,9.757982435400172072e-01,9.903340614344762205e-01,3.318716531694693161e-01,8.011600063787156500e-01,9.817083999977291864e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.788421995348604021e-01,1.077848647381544733e+00,9.274770318006784198e-01,1.055256127797798316e+00
