# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.847659539793510719e-01,5.822339763762627296e-01,8.830582983341855874e-01,8.170910467783492059e-01,1.000000000000000000e+00,3.516883863468340810e-01,1.000000000000000000e+00,9.903840003656009250e-01,9.371138462929858859e-01,9.656991480281053031e-01,6.498091685584947985e-01,1.000000000000000000e+00,4.587903827104886645e-01,1.000000000000000000e+00,1.671260919697455938e-01,1.000000000000000000e+00,6.387773106803295020e-01
9.847659539793510719e-01,-2.220446049250313081e-16,9.472273413792390295e-01,9.844283256265108362e-01,6.904451435022713746e-01,9.751984645026302578e-01,9.295704066583780900e-01,6.754237425051723420e-01,8.118432267798935120e-01,1.000000000000000000e+00,9.816892827666537924e-01,9.818429834330448802e-01,9.626017140160698649e-01,9.529029328463972659e-01,1.000000000000000000e+00,9.882735778211410027e-01,8.466937846837119253e-01,9.732325306645409624e-01
5.822339763762627296e-01,9.472273413792390295e-01,-2.220446049250313081e-16,9.381823727894500475e-01,7.591151414320487234e-01,1.000000000000000000e+00,4.665824945896012155e-01,7.463792502495889547e-01,9.895072845825785279e-01,7.664868180988619883e-01,8.277318132383406635e-01,6.435075948648196764e-01,9.704525220499997662e-01,4.322442113813225184e-01,9.900874955836082014e-01,6.153109918379064958e-01,9.656128470520548568e-01,6.519321996681416431e-01
8.830582983341855874e-01,9.844283256265108362e-01,9.381823727894500475e-01,0.000000000000000000e+00,9.363376949179859077e-01,9.397272808605837691e-01,8.275579511393977850e-01,9.531806553050617969e-01,8.988204790783811404e-01,9.425592164386029648e-01,9.478357109790573887e-01,9.893012375361651678e-01,9.208123029365410384e-01,8.257348993753816924e-01,9.287364003729368100e-01,8.875306165470426834e-01,9.148649226155098901e-01,1.000000000000000000e+00
8.170910467783492059e-01,6.904451435022713746e-01,7.591151414320487234e-01,9.363376949179859077e-01,0.000000000000000000e+00,8.956266444035576590e-01,7.774081005010564649e-01,6.156730962789740413e-01,9.780319111160005185e-01,9.705441904505902606e-01,9.311475491651166614e-01,9.308893085082985408e-01,9.490295728926992913e-01,7.380262673363104931e-01,9.925768416076394818e-01,8.201080652346615096e-01,8.044643891678810999e-01,9.367002227221608024e-01
1.000000000000000000e+00,9.751984645026302578e-01,1.000000000000000000e+00,9.397272808605837691e-01,8.956266444035576590e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.466684887383526315e-01,3.959140964530658557e-01,9.694604224253350333e-01,9.661130784680704853e-01,9.276843479987102459e-01,9.142645944846918837e-01,1.000000000000000000e+00,-9.778187929438608705e-02,1.000000000000000000e+00,9.548982166179011966e-01,9.372601314338868672e-01
3.516883863468340810e-01,9.295704066583780900e-01,4.665824945896012155e-01,8.275579511393977850e-01,7.774081005010564649e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.231850094350774194e-01,9.932448299308014317e-01,9.458482628246056567e-01,9.369052574022114221e-01,7.851245231697875360e-01,1.000000000000000000e+00,4.805029111939277398e-01,9.788819707690898930e-01,3.967212006297207161e-01,9.615240759978191942e-01,7.735812750624564416e-01
1.000000000000000000e+00,6.754237425051723420e-01,7.463792502495889547e-01,9.531806553050617969e-01,6.156730962789740413e-01,9.466684887383526315e-01,9.231850094350774194e-01,2.220446049250313081e-16,8.957931305711425152e-01,7.387387772105122874e-01,8.353927136506777984e-01,8.194639262323325513e-01,7.867175640693218064e-01,1.000000000000000000e+00,9.843743309594750190e-01,9.350733190466201661e-01,1.000000000000000000e+00,8.280379486201341344e-01
9.903840003656009250e-01,8.118432267798935120e-01,9.895072845825785279e-01,8.988204790783811404e-01,9.780319111160005185e-01,3.959140964530658557e-01,9.932448299308014317e-01,8.957931305711425152e-01,0.000000000000000000e+00,9.605216976582526822e-01,9.761013284060215955e-01,6.953467398914079389e-01,8.760709906307883044e-01,9.949239329586585523e-01,4.037129574189768366e-01,9.515664077198040527e-01,8.950666522501202760e-01,7.074731882667799621e-01
9.371138462929858859e-01,1.000000000000000000e+00,7.664868180988619883e-01,9.425592164386029648e-01,9.705441904505902606e-01,9.694604224253350333e-01,9.458482628246056567e-01,7.387387772105122874e-01,9.605216976582526822e-01,0.000000000000000000e+00,7.761810227577435883e-01,8.297011393820179492e-01,9.128082830899024724e-01,9.751646385816744589e-01,9.674693546280941359e-01,9.551930583653260864e-01,9.514807927275434896e-01,8.325039166632544063e-01
9.656991480281053031e-01,9.816892827666537924e-01,8.277318132383406635e-01,9.478357109790573887e-01,9.311475491651166614e-01,9.661130784680704853e-01,9.369052574022114221e-01,8.353927136506777984e-01,9.761013284060215955e-01,7.761810227577435883e-01,1.110223024625156540e-16,9.859009553517321667e-01,9.449405108143975607e-01,9.887398853974571633e-01,9.745623638735818606e-01,9.256603991813696641e-01,9.716916990406895271e-01,9.798071217696043833e-01
6.498091685584947985e-01,9.818429834330448802e-01,6.435075948648196764e-01,9.893012375361651678e-01,9.308893085082985408e-01,9.276843479987102459e-01,7.851245231697875360e-01,8.194639262323325513e-01,6.953467398914079389e-01,8.297011393820179492e-01,9.859009553517321667e-01,-2.220446049250313081e-16,6.725345709885359735e-01,7.980839164379716077e-01,9.513062812899605314e-01,6.129411243001727794e-01,1.000000000000000000e+00,1.417298258209760409e-01
1.000000000000000000e+00,9.626017140160698649e-01,9.704525220499997662e-01,9.208123029365410384e-01,9.490295728926992913e-01,9.142645944846918837e-01,1.000000000000000000e+00,7.867175640693218064e-01,8.760709906307883044e-01,9.128082830899024724e-01,9.449405108143975607e-01,6.725345709885359735e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.008676464771349091e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.326954093787583222e-01
