# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.056084350014042883e+00,5.068677027964951787e-01,9.756249691627459919e-01,9.544616066481437233e-01,1.000000000000000000e+00,1.175459730947612247e-01,9.693917356462629087e-01,1.000000000000000000e+00,9.995974658267994251e-01,9.766730719866004717e-01,1.891704405365443042e-01,-1.277425071706250748e-03,8.867553954932703153e-01,1.000000000000000000e+00,1.169538436399732984e-01,9.354751145134919676e-01,2.937137301972230219e-01
1.056084350014042883e+00,6.699016480805953799e-01,9.998883254315860114e-01,1.181252200488966952e+00,9.105907417381221558e-01,1.023195981659087650e+00,1.092273838068371417e+00,8.660095701268923918e-01,1.124753558322648894e+00,1.091953529255941691e+00,1.050216344427778337e+00,1.082343451691262892e+00,1.049352492133712511e+00,1.165304280971967588e+00,1.147420193088366736e+00,1.060251793216082428e+00,1.214556230681359983e+00,1.056674190929419277e+00
5.068677027964951787e-01,9.998883254315860114e-01,0.000000000000000000e+00,9.805419762416731633e-01,8.421728045134465601e-01,9.960450199028996199e-01,4.573328767094112512e-01,8.831396380093545773e-01,9.681051425465773130e-01,9.205843156559978535e-01,9.421709589377148530e-01,5.182940727016716043e-01,6.014671381237304271e-01,9.687200563943919596e-01,1.000000000000000000e+00,4.805178645579168961e-01,9.318888977808370555e-01,5.228123633265905346e-01
9.756249691627459919e-01,1.181252200488966952e+00,9.805419762416731633e-01,2.220446049250313081e-16,9.531685991957983273e-01,8.818904752535062785e-01,1.000000000000000000e+00,9.889429478642496329e-01,9.795262974709245674e-01,1.134966523179347098e+00,7.770730927543605393e-01,1.000000000000000000e+00,9.559820260140100556e-01,9.671393939448993393e-01,9.450805510032346257e-01,1.000000000000000000e+00,9.023357177539106377e-01,1.000000000000000000e+00
9.544616066481437233e-01,9.105907417381221558e-01,8.421728045134465601e-01,9.531685991957983273e-01,4.573856769131556255e-01,9.144430037611555040e-01,9.311042124917221496e-01,6.276131606634151039e-01,8.264013470129780714e-01,9.199891067080055995e-01,9.895200488882699430e-01,9.409464587037745797e-01,7.130555768061335176e-01,9.370456061927542324e-01,9.838814151423704857e-01,9.370854319708561420e-01,9.719821910123062070e-01,9.315623947050148956e-01
1.000000000000000000e+00,1.023195981659087650e+00,9.960450199028996199e-01,8.818904752535062785e-01,9.144430037611555040e-01,2.220446049250313081e-16,1.000000000000000000e+00,8.251593558322118938e-01,8.792176641219533462e-01,1.061702077009287981e+00,7.756132067210655956e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.808453694720875582e-01,5.739397953787770401e-01,1.000000000000000000e+00,9.895562763129270856e-01,1.000000000000000000e+00
1.175459730947612247e-01,1.092273838068371417e+00,4.573328767094112512e-01,1.000000000000000000e+00,9.311042124917221496e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.677720690670046366e-01,1.000000000000000000e+00,9.939223477054562883e-01,9.464407242089607486e-01,2.171440165624289875e-01,5.567632152246456689e-01,9.339890892591453664e-01,1.000000000000000000e+00,1.644653601712137148e-01,9.373912969286813945e-01,2.301986325761820051e-01
9.693917356462629087e-01,8.660095701268923918e-01,8.831396380093545773e-01,9.889429478642496329e-01,6.276131606634151039e-01,8.251593558322118938e-01,9.677720690670046366e-01,0.000000000000000000e+00,8.504830672830296923e-01,9.955011476356654399e-01,9.178399993218091524e-01,6.786488517617585980e-01,9.807251007727783021e-01,9.344530294455255515e-01,9.328208499461227987e-01,6.656782021509902725e-01,9.609612738017775380e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.124753558322648894e+00,9.681051425465773130e-01,9.795262974709245674e-01,8.264013470129780714e-01,8.792176641219533462e-01,1.000000000000000000e+00,8.504830672830296923e-01,0.000000000000000000e+00,1.017149782805034430e+00,1.000000000000000000e+00,9.779448947619437948e-01,1.000000000000000000e+00,9.839326154652019429e-01,9.223144389816229083e-01,1.000000000000000000e+00,9.898838013341261233e-01,9.481202910337078738e-01
9.995974658267994251e-01,1.091953529255941691e+00,9.205843156559978535e-01,1.134966523179347098e+00,9.199891067080055995e-01,1.061702077009287981e+00,9.939223477054562883e-01,9.955011476356654399e-01,1.017149782805034430e+00,1.371792860625255239e-01,1.025591628844172210e+00,9.502968221727022824e-01,9.792653161003994633e-01,8.682764663447228859e-01,1.095677707665816403e+00,1.010940957008513275e+00,1.119102558453378471e+00,9.519795068289174100e-01
9.766730719866004717e-01,1.050216344427778337e+00,9.421709589377148530e-01,7.770730927543605393e-01,9.895200488882699430e-01,7.756132067210655956e-01,9.464407242089607486e-01,9.178399993218091524e-01,1.000000000000000000e+00,1.025591628844172210e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.646873368997960441e-01,9.502719517626601053e-01,8.865178014181758215e-01,9.824683729303835822e-01
1.891704405365443042e-01,1.082343451691262892e+00,5.182940727016716043e-01,1.000000000000000000e+00,9.409464587037745797e-01,1.000000000000000000e+00,2.171440165624289875e-01,6.786488517617585980e-01,9.779448947619437948e-01,9.502968221727022824e-01,1.000000000000000000e+00,1.110223024625156540e-16,6.025629379319238366e-01,9.407905197721115886e-01,1.000000000000000000e+00,1.953045317633348432e-01,9.501099959051932942e-01,1.334544516747182552e-01
-1.277425071706250748e-03,1.049352492133712511e+00,6.014671381237304271e-01,9.559820260140100556e-01,7.130555768061335176e-01,1.000000000000000000e+00,5.567632152246456689e-01,9.807251007727783021e-01,1.000000000000000000e+00,9.792653161003994633e-01,1.000000000000000000e+00,6.025629379319238366e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.466388488542952118e-01,1.000000000000000000e+00,6.994613275737906477e-01
8.867553954932703153e-01,1.165304280971967588e+00,9.687200563943919596e-01,9.671393939448993393e-01,9.370456061927542324e-01,9.808453694720875582e-01,9.339890892591453664e-01,9.344530294455255515e-01,9.839326154652019429e-01,8.682764663447228859e-01,1.000000000000000000e+00,9.407905197721115886e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.683329183671297580e-01,1.000000000000000000e+00,9.888704338726086451e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.147420193088366736e+00,1.000000000000000000e+00,9.450805510032346257e-01,9.838814151423704857e-01,5.739397953787770401e-01,1.000000000000000000e+00,9.328208499461227987e-01,9.223144389816229083e-01,1.095677707665816403e+00,8.646873368997960441e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.683329183671297580e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.123430089588562275e-01,1.000000000000000000e+00
1.169538436399732984e-01,1.060251793216082428e+00,4.805178645579168961e-01,1.000000000000000000e+00,9.370854319708561420e-01,1.000000000000000000e+00,1.644653601712137148e-01,6.656782021509902725e-01,1.000000000000000000e+00,1.010940957008513275e+00,9.502719517626601053e-01,1.953045317633348432e-01,7.466388488542952118e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,9.270412724893868361e-01,1.696787858590008691e-01
