# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.862685852118666663e-01,9.225084472580251660e-01,8.536378654301456370e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.019190379163755766e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.290037919533692401e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.979909996202593003e-01,1.087407284150883946e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.862685852118666663e-01,0.000000000000000000e+00,9.066591924666109747e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.408571551726190307e-01,9.312443674470080035e-01,1.000000000000000000e+00,9.588697980142387722e-01,1.000000000000000000e+00,9.457370206430447679e-01,1.000000000000000000e+00,9.744345893828162408e-01,1.202380969599718297e+00,9.360511673115518017e-01,8.318032509697624866e-01,8.641715375177980718e-01
9.225084472580251660e-01,9.066591924666109747e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.346048058120754121e-01,1.000000000000000000e+00,8.295249139383297221e-01,8.081499994119007990e-01,9.392930239649479596e-01,9.220695787665268428e-01,1.000000000000000000e+00,9.069340300910792019e-01,8.060708924158550559e-01,9.730944827927038299e-01,1.015345252958559596e+00,7.957074527650355167e-01,1.000000000000000000e+00,8.670805686918756638e-01
8.536378654301456370e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,8.593707108333943356e-01,9.778598617619300715e-01,8.222238643597292729e-01,1.000000000000000000e+00,7.316863028759746923e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.963551983910040599e-01,1.319696980715984624e+00,1.000000000000000000e+00,9.982301726899505123e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.346048058120754121e-01,1.000000000000000000e+00,2.220446049250313081e-16,8.009020088515943492e-01,8.837526106535662507e-01,7.201429921949092927e-01,8.720043749128369992e-01,9.055799824077988003e-01,1.000000000000000000e+00,9.274514877764062915e-01,9.941079094973659380e-01,9.708536650839527660e-01,1.167079846412649724e+00,9.919770244807843973e-01,8.371134715333264920e-01,9.184234984255785772e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.009020088515943492e-01,1.110223024625156540e-16,9.825342240814244343e-01,9.262070145675769250e-01,6.008324884168076974e-01,9.765399383227307828e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.158382619300239336e-01,9.410051024803391950e-01,1.075751692744649990e+00,9.023753686142452768e-01,9.713611196667389924e-01,8.357917053595185219e-01
6.019190379163755766e-01,9.408571551726190307e-01,8.295249139383297221e-01,8.593707108333943356e-01,8.837526106535662507e-01,9.825342240814244343e-01,3.518738974168336697e-01,9.051217374735158749e-01,8.990364642932096029e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.696037308591174408e-01,9.706465012799387893e-01,8.868155929065038023e-01,1.061534350886584210e+00,9.003769882593035678e-01,9.875413695227464039e-01,9.512375473076220000e-01
1.000000000000000000e+00,9.312443674470080035e-01,8.081499994119007990e-01,9.778598617619300715e-01,7.201429921949092927e-01,9.262070145675769250e-01,9.051217374735158749e-01,3.748208701429199818e-01,8.353875703392852348e-01,9.644565886782698882e-01,9.795411069587440789e-01,9.354128267595860358e-01,9.374217744041193345e-01,1.000000000000000000e+00,1.084691568706802611e+00,8.872725992155945374e-01,9.355691492084367011e-01,9.239589328844107774e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.392930239649479596e-01,8.222238643597292729e-01,8.720043749128369992e-01,6.008324884168076974e-01,8.990364642932096029e-01,8.353875703392852348e-01,0.000000000000000000e+00,9.775631732508001104e-01,9.763568449679380645e-01,8.617993726203041494e-01,9.550262112302253525e-01,9.725556064161374747e-01,1.139919830920051114e+00,9.392645151410832227e-01,9.658752405245030204e-01,9.015357278139888297e-01
1.000000000000000000e+00,9.588697980142387722e-01,9.220695787665268428e-01,1.000000000000000000e+00,9.055799824077988003e-01,9.765399383227307828e-01,1.000000000000000000e+00,9.644565886782698882e-01,9.775631732508001104e-01,1.110223024625156540e-16,9.956210690854729872e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.830435700154281919e-01,1.072580392388156723e+00,1.000000000000000000e+00,8.791323353448998734e-01,1.000000000000000000e+00
9.290037919533692401e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.316863028759746923e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.795411069587440789e-01,9.763568449679380645e-01,9.956210690854729872e-01,1.110223024625156540e-16,9.839674012711810969e-01,1.000000000000000000e+00,7.718694927335810752e-01,1.118758899780433858e+00,9.994798677390281938e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.457370206430447679e-01,9.069340300910792019e-01,1.000000000000000000e+00,9.274514877764062915e-01,1.000000000000000000e+00,9.696037308591174408e-01,9.354128267595860358e-01,8.617993726203041494e-01,1.000000000000000000e+00,9.839674012711810969e-01,-2.220446049250313081e-16,5.929111155464057425e-01,1.000000000000000000e+00,1.161927510063576197e+00,9.319101786348941152e-01,8.816497390413068347e-01,4.891958043126714561e-01
1.000000000000000000e+00,1.000000000000000000e+00,8.060708924158550559e-01,1.000000000000000000e+00,9.941079094973659380e-01,9.158382619300239336e-01,9.706465012799387893e-01,9.374217744041193345e-01,9.550262112302253525e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.929111155464057425e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.284073856798568336e+00,6.221020803521051246e-01,9.271309220489378777e-01,5.557750565976491419e-01
8.979909996202593003e-01,9.744345893828162408e-01,9.730944827927038299e-01,9.963551983910040599e-01,9.708536650839527660e-01,9.410051024803391950e-01,8.868155929065038023e-01,1.000000000000000000e+00,9.725556064161374747e-01,9.830435700154281919e-01,7.718694927335810752e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.163718612216391834e+00,9.401501547753818855e-01,9.531732596015881631e-01,9.843293532958821146e-01
1.087407284150883946e+00,1.202380969599718297e+00,1.015345252958559596e+00,1.319696980715984624e+00,1.167079846412649724e+00,1.075751692744649990e+00,1.061534350886584210e+00,1.084691568706802611e+00,1.139919830920051114e+00,1.072580392388156723e+00,1.118758899780433858e+00,1.161927510063576197e+00,1.284073856798568336e+00,1.163718612216391834e+00,0.000000000000000000e+00,1.090471951930458872e+00,9.771946884612702222e-01,1.221033784675367606e+00
1.000000000000000000e+00,9.360511673115518017e-01,7.957074527650355167e-01,1.000000000000000000e+00,9.919770244807843973e-01,9.023753686142452768e-01,9.003769882593035678e-01,8.872725992155945374e-01,9.392645151410832227e-01,1.000000000000000000e+00,9.994798677390281938e-01,9.319101786348941152e-01,6.221020803521051246e-01,9.401501547753818855e-01,1.090471951930458872e+00,0.000000000000000000e+00,9.126756677649265903e-01,9.015639778719126696e-01
1.000000000000000000e+00,8.318032509697624866e-01,1.000000000000000000e+00,9.982301726899505123e-01,8.371134715333264920e-01,9.713611196667389924e-01,9.875413695227464039e-01,9.355691492084367011e-01,9.658752405245030204e-01,8.791323353448998734e-01,1.000000000000000000e+00,8.816497390413068347e-01,9.271309220489378777e-01,9.531732596015881631e-01,9.771946884612702222e-01,9.126756677649265903e-01,0.000000000000000000e+00,9.939956750202105784e-01
1.000000000000000000e+00,8.641715375177980718e-01,8.670805686918756638e-01,1.000000000000000000e+00,9.184234984255785772e-01,8.357917053595185219e-01,9.512375473076220000e-01,9.239589328844107774e-01,9.015357278139888297e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.891958043126714561e-01,5.557750565976491419e-01,9.843293532958821146e-01,1.221033784675367606e+00,9.015639778719126696e-01,9.939956750202105784e-01,4.189893040617256870e-01
