# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,5.915095679882327318e-01,9.970069805182969480e-01,1.000000000000000000e+00,6.210790625231479289e-01,1.000000000000000000e+00,4.893829240933422198e-01,8.029385194576281748e-01,9.345796395838087411e-01,9.841674204761811096e-01,5.675673167521244622e-01,8.524447451142633803e-01,6.119346705853933033e-01,1.000000000000000000e+00,1.226401497572507271e+00,7.932837560122296683e-02,1.000000000000000000e+00,7.606928595259307979e-01
5.915095679882327318e-01,0.000000000000000000e+00,9.597155000792756407e-01,9.482845392404373186e-01,2.582528005302269225e-01,9.376694881426579364e-01,7.265692766353720744e-01,5.712054432934872139e-01,8.108299959803720869e-01,9.619039668110564989e-01,6.185618796628775673e-01,8.796898611067911489e-01,5.561547037135603500e-01,8.597144103453961961e-01,1.187276488036206779e+00,6.034165372843123265e-01,9.680643043816382631e-01,8.369887095848276282e-01
9.970069805182969480e-01,9.597155000792756407e-01,1.110223024625156540e-16,9.786249744523748406e-01,9.662138958959709534e-01,9.873900915208231321e-01,9.310460100350783641e-01,9.546012297557517901e-01,9.872914996666121157e-01,9.796599396995047115e-01,9.677469377480325541e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.871552611408926925e-01,1.088335406258883920e+00,9.448609672939318749e-01,9.817701318134299804e-01,9.823520171749298147e-01
1.000000000000000000e+00,9.482845392404373186e-01,9.786249744523748406e-01,1.721991831252649707e-01,9.339841792530880760e-01,9.470142024166418038e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.325458633145973231e-01,9.489390864016954419e-01,1.000000000000000000e+00,9.571327404168348263e-01,9.481574052995904722e-01,9.734553249324675583e-01,1.242196224065726717e+00,1.000000000000000000e+00,9.132382010234003644e-01,9.575142149488429233e-01
6.210790625231479289e-01,2.582528005302269225e-01,9.662138958959709534e-01,9.339841792530880760e-01,1.110223024625156540e-16,9.714984142322433680e-01,7.348822550752658334e-01,6.139931836968623990e-01,9.133199545763217575e-01,9.765944646669649787e-01,5.886168645791380882e-01,8.525688671486502113e-01,5.827595262047523539e-01,8.704304565357523504e-01,1.158849088472458932e+00,6.179615417533643740e-01,9.346866158367261868e-01,7.666936544248814656e-01
1.000000000000000000e+00,9.376694881426579364e-01,9.873900915208231321e-01,9.470142024166418038e-01,9.714984142322433680e-01,-2.220446049250313081e-16,9.685328267285600035e-01,8.302691648985387474e-01,8.728506858028943771e-01,9.812356031584029692e-01,9.953780124297532117e-01,9.176808119802765118e-01,9.251293619735592166e-01,1.000000000000000000e+00,9.780533249936684825e-01,1.000000000000000000e+00,9.756050662198619827e-01,8.720522220732255247e-01
4.893829240933422198e-01,7.265692766353720744e-01,9.310460100350783641e-01,1.000000000000000000e+00,7.348822550752658334e-01,9.685328267285600035e-01,4.978331299097814022e-01,7.691299742505595116e-01,8.815656114684496947e-01,9.799855021760457419e-01,8.002132954258428521e-01,7.823028846163524452e-01,7.759797168019393343e-01,9.512271740819592258e-01,1.152367743796807398e+00,5.519001528857128136e-01,9.096821761018638597e-01,8.975570476457603863e-01
8.029385194576281748e-01,5.712054432934872139e-01,9.546012297557517901e-01,1.000000000000000000e+00,6.139931836968623990e-01,8.302691648985387474e-01,7.691299742505595116e-01,5.000000000000000000e-01,9.836775258741168315e-01,9.466355304757761990e-01,8.132150664667999740e-01,9.380670400035091561e-01,8.122602316391001054e-01,8.975983147075232704e-01,1.188051110081566719e+00,7.753715972883690188e-01,9.405709930525354423e-01,9.137952089398104771e-01
9.345796395838087411e-01,8.108299959803720869e-01,9.872914996666121157e-01,9.325458633145973231e-01,9.133199545763217575e-01,8.728506858028943771e-01,8.815656114684496947e-01,9.836775258741168315e-01,0.000000000000000000e+00,9.292718037363879580e-01,9.783229107651740808e-01,9.136233294977695873e-01,9.075486856753476328e-01,9.435294410520113084e-01,8.219412859129686666e-01,1.000000000000000000e+00,9.368962204221101819e-01,9.157219512138041750e-01
9.841674204761811096e-01,9.619039668110564989e-01,9.796599396995047115e-01,9.489390864016954419e-01,9.765944646669649787e-01,9.812356031584029692e-01,9.799855021760457419e-01,9.466355304757761990e-01,9.292718037363879580e-01,4.808230841808496248e-01,9.858434868896512882e-01,9.756640669159092338e-01,9.772480689098156370e-01,9.353895746960573243e-01,1.208659184437110401e+00,9.619128316823015723e-01,9.528694171939132707e-01,9.874530907152213599e-01
5.675673167521244622e-01,6.185618796628775673e-01,9.677469377480325541e-01,1.000000000000000000e+00,5.886168645791380882e-01,9.953780124297532117e-01,8.002132954258429631e-01,8.132150664668000850e-01,9.783229107651740808e-01,9.858434868896511771e-01,1.465141482060585143e-01,9.037685845940969243e-01,7.675811001809094147e-01,1.000000000000000000e+00,1.300815644516241987e+00,5.590635917528177234e-01,9.611771306652872049e-01,8.463343370565923340e-01
