# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.833430307168190776e-01,9.370014454835740025e-01,9.337371965394201112e-01,9.630611653220131352e-01,1.211482070681770828e+00,6.773154031260701924e-01,9.419123649083183114e-01,9.906937583437598338e-01,1.000000000000000000e+00,7.888166430291615461e-01,1.195312042948350362e+00,1.196170891722010854e+00,7.912940014803209188e-01,1.000000000000000000e+00,1.846152701601970758e-01,9.781877076827105721e-01,1.188066372408678628e+00
8.833430307168190776e-01,0.000000000000000000e+00,9.369514656939651465e-01,9.633684995765053882e-01,1.000000000000000000e+00,1.174668897146153856e+00,9.095371460759951177e-01,9.913061102354686627e-01,9.361317361269055892e-01,8.744349047836765809e-01,9.217582195143865231e-01,1.108269342152196080e+00,9.331872934487949189e-01,1.000000000000000000e+00,9.432568937007880239e-01,8.896196642349142314e-01,8.865373465145857113e-01,1.145130782574270700e+00
9.370014454835740025e-01,9.369514656939651465e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.706300992130365568e-01,9.803775461272979941e-01,8.928676593114157622e-01,9.781747801145491694e-01,1.000000000000000000e+00,9.907880643547319899e-01,9.801535714862601445e-01,1.096937816210125316e+00,1.059898035633076496e+00,1.000000000000000000e+00,9.823210003472387930e-01,9.161914383891126556e-01,9.798341598030381183e-01,1.089750479464458577e+00
9.337371965394201112e-01,9.633684995765053882e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.715872753789275285e-01,1.234289092142337285e+00,9.310379624807874066e-01,9.788591627308352860e-01,9.692748682167751095e-01,7.925878064812058588e-01,9.356377337140326933e-01,1.282175112113645099e+00,1.236446902376970192e+00,9.480222765959925857e-01,9.659022082960206923e-01,9.754358256049673326e-01,9.767093560958753917e-01,1.288206629679661708e+00
9.630611653220131352e-01,1.000000000000000000e+00,9.706300992130365568e-01,9.715872753789275285e-01,-2.220446049250313081e-16,1.187112006824508903e+00,9.547762614572804507e-01,8.005794269648045525e-01,9.760911554190074835e-01,9.976928940438284377e-01,1.000000000000000000e+00,1.092514217481676209e+00,1.224041415258422028e+00,9.060374337448601212e-01,9.552102865424727529e-01,9.451012402792958733e-01,9.767985755536510162e-01,1.174410630291301327e+00
1.211482070681770828e+00,1.174668897146153856e+00,9.803775461272979941e-01,1.234289092142337285e+00,1.187112006824508903e+00,-2.220446049250313081e-16,1.088076362712161238e+00,1.154141396876166015e+00,1.060055877234194588e+00,1.128996166855425587e+00,1.202709534032454286e+00,1.237342577507861918e+00,1.263392506414422023e+00,1.204841927078035946e+00,1.085016160179680611e+00,1.171077672525194346e+00,1.079197524316138246e+00,1.146445032864655822e+00
6.773154031260701924e-01,9.095371460759951177e-01,8.928676593114157622e-01,9.310379624807874066e-01,9.547762614572804507e-01,1.088076362712161238e+00,3.836088313316584619e-01,9.371839797981195153e-01,9.932905525924957679e-01,9.914993303993886453e-01,1.000000000000000000e+00,1.107859972771319867e+00,1.194853139883023552e+00,9.017803083446989110e-01,1.000000000000000000e+00,7.042737642840009027e-01,9.566326402149327723e-01,9.720790805892662867e-01
9.419123649083183114e-01,9.913061102354686627e-01,9.781747801145491694e-01,9.788591627308352860e-01,8.005794269648045525e-01,1.154141396876166015e+00,9.371839797981195153e-01,1.110223024625156540e-16,9.505642100856918075e-01,9.995559325324576694e-01,9.439856128456186601e-01,1.113856097949116331e+00,1.022013008496095221e+00,8.668732672629116953e-01,9.834667046093008569e-01,9.571137846918618131e-01,1.000000000000000000e+00,1.125077556967920556e+00
9.906937583437598338e-01,9.361317361269055892e-01,1.000000000000000000e+00,9.692748682167751095e-01,9.760911554190074835e-01,1.060055877234194588e+00,9.932905525924957679e-01,9.505642100856918075e-01,0.000000000000000000e+00,9.651761993269383222e-01,9.985338525359008788e-01,1.359788612924052842e+00,1.395273524114364783e+00,9.871170857805791066e-01,8.532362045659773742e-01,9.941283585264325540e-01,9.750442728154189442e-01,1.317351723284917897e+00
1.000000000000000000e+00,8.744349047836765809e-01,9.907880643547319899e-01,7.925878064812058588e-01,9.976928940438284377e-01,1.128996166855425587e+00,9.914993303993886453e-01,9.995559325324576694e-01,9.651761993269383222e-01,3.330669073875469621e-16,1.000000000000000000e+00,1.120139570024234477e+00,1.173000261786739662e+00,9.982632551367150997e-01,7.281545705067655749e-01,1.000000000000000000e+00,9.217884031104376374e-01,1.033465807647774515e+00
7.888166430291615461e-01,9.217582195143865231e-01,9.801535714862601445e-01,9.356377337140326933e-01,1.000000000000000000e+00,1.202709534032454286e+00,1.000000000000000000e+00,9.439856128456186601e-01,9.985338525359008788e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.181060024424178456e+00,1.077553194658926294e+00,9.532305588055691725e-01,1.000000000000000000e+00,8.412483682876185087e-01,8.679673605909925538e-01,1.139341722839387394e+00
1.195312042948350362e+00,1.108269342152196080e+00,1.096937816210125316e+00,1.282175112113645099e+00,1.092514217481676209e+00,1.237342577507861918e+00,1.107859972771319867e+00,1.113856097949116331e+00,1.359788612924052842e+00,1.120139570024234477e+00,1.181060024424178456e+00,-2.220446049250313081e-16,7.819909969701362984e-01,1.246546922128743962e+00,1.014409345498738624e+00,9.378028396865860650e-01,1.162254928673710275e+00,1.097989096437426593e+00
1.196170891722010854e+00,9.331872934487949189e-01,1.059898035633076496e+00,1.236446902376970192e+00,1.224041415258422028e+00,1.263392506414422023e+00,1.194853139883023552e+00,1.022013008496095221e+00,1.395273524114364783e+00,1.173000261786739662e+00,1.077553194658926294e+00,7.819909969701362984e-01,-2.220446049250313081e-16,1.164284917047184065e+00,1.095060152064536663e+00,1.200461654550914359e+00,1.077169931626196675e+00,9.238816641393596818e-01
7.912940014803209188e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.480222765959925857e-01,9.060374337448601212e-01,1.204841927078035946e+00,9.017803083446989110e-01,8.668732672629116953e-01,9.871170857805791066e-01,9.982632551367150997e-01,9.532305588055691725e-01,1.246546922128743962e+00,1.164284917047184065e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.176667902872341021e-01,8.692653036201931638e-01,1.264055027487905436e+00
1.000000000000000000e+00,9.432568937007880239e-01,9.823210003472387930e-01,9.659022082960206923e-01,9.552102865424727529e-01,1.085016160179680611e+00,1.000000000000000000e+00,9.834667046093008569e-01,8.532362045659773742e-01,7.281545705067655749e-01,1.000000000000000000e+00,1.014409345498738624e+00,1.095060152064536663e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.844085684853061124e-01,1.017068974602972409e+00
1.846152701601970758e-01,8.896196642349142314e-01,9.161914383891126556e-01,9.754358256049673326e-01,9.451012402792958733e-01,1.171077672525194346e+00,7.042737642840009027e-01,9.571137846918618131e-01,9.941283585264325540e-01,1.000000000000000000e+00,8.412483682876185087e-01,9.378028396865860650e-01,1.200461654550914359e+00,8.176667902872341021e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.753796058376322797e-01,1.195440335253990405e+00
9.781877076827105721e-01,8.865373465145857113e-01,9.798341598030381183e-01,9.767093560958753917e-01,9.767985755536510162e-01,1.079197524316138246e+00,9.566326402149327723e-01,1.000000000000000000e+00,9.750442728154189442e-01,9.217884031104376374e-01,8.679673605909925538e-01,1.162254928673710275e+00,1.077169931626196675e+00,8.692653036201931638e-01,9.844085684853061124e-01,9.753796058376322797e-01,1.110223024625156540e-16,1.020887748789011562e+00
1.188066372408678628e+00,1.145130782574270700e+00,1.089750479464458577e+00,1.288206629679661708e+00,1.174410630291301327e+00,1.146445032864655822e+00,9.720790805892662867e-01,1.125077556967920556e+00,1.317351723284917897e+00,1.033465807647774515e+00,1.139341722839387394e+00,1.097989096437426593e+00,9.238816641393596818e-01,1.264055027487905436e+00,1.017068974602972409e+00,1.195440335253990405e+00,1.020887748789011562e+00,0.000000000000000000e+00
