# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,9.810730620988645789e-01,9.740347445349285538e-01,8.970266027598026159e-01,9.503130929939365146e-01,9.657047954229059927e-01,9.393074483699419552e-01,9.315310718181035732e-01,9.913979659803902056e-01,1.000000000000000000e+00,9.568007755132879044e-01,1.000000000000000000e+00,9.934376397579915974e-01,9.907941452478898903e-01,9.918743303483519291e-01,7.614302113587028131e-01,9.615204852911363176e-01,9.655214856869118734e-01
9.810730620988645789e-01,0.000000000000000000e+00,8.666490202392869158e-01,9.716490270813826768e-01,9.956562844989255145e-01,9.065281377502520943e-01,1.019267791955239533e+00,8.654906025888592369e-01,9.760894648410922692e-01,7.689838349575329746e-01,9.839001100745534689e-01,7.286887880680086305e-01,6.881406048240769069e-01,9.468759868314184924e-01,1.000000000000000000e+00,9.443319427793079868e-01,9.179167886945895916e-01,9.178025379486224322e-01
9.740347445349285538e-01,8.666490202392869158e-01,4.806318569431758947e-01,9.861205797187677646e-01,9.748119499576399782e-01,9.169208921158640280e-01,1.043098689776156052e+00,9.557952348544658250e-01,7.655474941743909412e-01,8.192292525353660482e-01,9.328242434868024846e-01,9.568265900098104071e-01,9.298343517149290083e-01,8.605165646802914736e-01,9.664711313446623375e-01,9.526016246363850914e-01,7.868932252515372650e-01,9.684741647506553974e-01
8.970266027598025049e-01,9.716490270813826768e-01,9.861205797187676536e-01,3.481030387932753101e-01,1.000000000000000000e+00,9.874130615597940253e-01,1.154767061163630260e+00,1.000000000000000000e+00,9.790134854619247928e-01,9.947674165169448912e-01,8.772525817386669367e-01,1.000000000000000000e+00,9.910757341033149537e-01,1.000000000000000000e+00,9.825383971888246304e-01,9.888760376642462546e-01,9.796209190371171216e-01,9.126659036725975893e-01
9.503130929939365146e-01,9.956562844989255145e-01,9.748119499576399782e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.467302792788163668e-01,1.046956384896196690e+00,9.609661667188784673e-01,9.995289191119662853e-01,9.982035775090605245e-01,1.000000000000000000e+00,9.325797028328672855e-01,1.000000000000000000e+00,9.639105108550399814e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.425547673127339099e-01,9.388913104370671947e-01
9.657047954229059927e-01,9.065281377502520943e-01,9.169208921158640280e-01,9.874130615597940253e-01,9.467302792788163668e-01,2.220446049250313081e-16,1.033788116912610189e+00,8.958670138097342139e-01,6.632819137465894022e-01,9.595507529013229675e-01,9.895413591378068308e-01,1.000000000000000000e+00,9.856365356739947847e-01,8.732393625601843068e-01,9.191707392995510650e-01,9.888751009940298653e-01,2.815592603246931391e-01,9.456197125604278719e-01
9.393074483699419552e-01,1.019267791955239533e+00,1.043098689776156052e+00,1.154767061163630260e+00,1.046956384896196690e+00,1.033788116912610189e+00,5.434717957760561990e-01,1.031806771286162494e+00,1.157911019279035392e+00,1.081158613125905887e+00,1.126468547316369584e+00,1.098235033088412527e+00,1.059742680633589895e+00,1.043938435459832226e+00,1.088129298880246454e+00,1.073351038687284209e+00,1.035320232085890080e+00,1.126591112428153796e+00
9.315310718181035732e-01,8.654906025888592369e-01,9.557952348544658250e-01,1.000000000000000000e+00,9.609661667188784673e-01,8.958670138097342139e-01,1.031806771286162494e+00,2.220446049250313081e-16,1.000000000000000000e+00,8.488978682044535651e-01,9.136283563064380164e-01,9.429637288484365998e-01,9.083069950688800187e-01,9.700526733514880373e-01,1.000000000000000000e+00,9.653841165647915057e-01,8.904649371100383792e-01,1.000000000000000000e+00
9.913979659803902056e-01,9.760894648410922692e-01,7.655474941743909412e-01,9.790134854619247928e-01,9.995289191119662853e-01,6.632819137465894022e-01,1.157911019279035392e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.199084441382905375e-01,9.893161513036242694e-01,9.397253518841431896e-01,9.808645253769292527e-01,1.000000000000000000e+00,7.940306506040961665e-01,9.911236718812419522e-01,4.664237604606136234e-01,9.861507031230885012e-01
1.000000000000000000e+00,7.689838349575329746e-01,8.192292525353660482e-01,9.947674165169448912e-01,9.982035775090605245e-01,9.595507529013229675e-01,1.081158613125905887e+00,8.488978682044535651e-01,9.199084441382905375e-01,1.110223024625156540e-16,9.830457959553060565e-01,9.434036160609877708e-01,8.861526803181297707e-01,8.617619305042767408e-01,8.198292599894108079e-01,1.000000000000000000e+00,9.478474129278945393e-01,8.973155558822929478e-01
