# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.015933839219213430e-01,9.902746213739866965e-01,7.712645723748373650e-01,9.693134052068030915e-01,8.750287707893174005e-01,8.205514999892254968e-01,9.235991367580230760e-01,9.514126012271153510e-01,9.822682462088268007e-01,7.323898512073127032e-01,9.841258973186114423e-01,7.949259522088949481e-01,8.713446262810307097e-01,1.000000000000000000e+00,9.403764692653022728e-01,9.703427789421883443e-01,9.843848733228890424e-01
9.015933839219213430e-01,4.239599122057465808e-01,8.714679983873927505e-01,9.883758603850612001e-01,9.476338196606255426e-01,9.791866951981695877e-01,9.136717713920694539e-01,9.404118199861006833e-01,8.893897681649512998e-01,9.391096974520702911e-01,9.519802550108172889e-01,9.521405339068877982e-01,9.498581750038594951e-01,9.071708822044945997e-01,9.320077745810622094e-01,9.702838876786195055e-01,9.726695949366059857e-01,9.455011372285766491e-01
9.902746213739866965e-01,8.714679983873927505e-01,0.000000000000000000e+00,9.792161850253211508e-01,7.032114503701243358e-01,9.535692415410405021e-01,9.770115976846497352e-01,9.517481306391439855e-01,9.706301719513449333e-01,9.168152340539174050e-01,9.668670587925080051e-01,8.843985737686379522e-01,1.000000000000000000e+00,8.848795569774703385e-01,1.000000000000000000e+00,8.351580958410056432e-01,9.054936107618229979e-01,8.939266231719518174e-01
7.712645723748373650e-01,9.883758603850612001e-01,9.792161850253211508e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.661179271625326415e-01,8.184108188864170907e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.834785749471200100e-01,1.000000000000000000e+00,9.871307987160641284e-01,1.000000000000000000e+00,9.591796902766610566e-01,1.000000000000000000e+00,9.037142584305027926e-01,9.973335615103472440e-01
9.693134052068030915e-01,9.476338196606255426e-01,7.032114503701243358e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.827787303002549768e-01,1.000000000000000000e+00,9.859268271951444618e-01,9.562182851567903041e-01,9.669980947564449369e-01,9.892500262738530559e-01,9.406207767226242300e-01,9.529513408061419666e-01,9.265183183105747400e-01,9.396985917226787777e-01,9.326351985058350946e-01,9.627571634415706958e-01,9.600758618619086304e-01
8.750287707893174005e-01,9.791866951981695877e-01,9.535692415410405021e-01,9.661179271625326415e-01,9.827787303002549768e-01,-2.220446049250313081e-16,7.851305660933552977e-01,9.641793921998295103e-01,7.839802669127022838e-01,8.896730188728809718e-01,9.757152468346881324e-01,9.387646633365203108e-01,9.976715391655692766e-01,8.267846441914203925e-01,9.335081801385847200e-01,8.520449028289087678e-01,6.327927102276909022e-01,9.400835248418852874e-01
8.205514999892254968e-01,9.136717713920694539e-01,9.770115976846497352e-01,8.184108188864170907e-01,1.000000000000000000e+00,7.851305660933552977e-01,1.110223024625156540e-16,9.866314467002399446e-01,1.000000000000000000e+00,9.016481978881876191e-01,9.831632487890062944e-01,8.670464448392303236e-01,8.931788867295997747e-01,9.277945283121961095e-01,8.941168628868717549e-01,9.406442857333479068e-01,9.459980559339921102e-01,8.557947553487785797e-01
9.235991367580230760e-01,9.404118199861006833e-01,9.517481306391439855e-01,1.000000000000000000e+00,9.859268271951444618e-01,9.641793921998295103e-01,9.866314467002399446e-01,1.110223024625156540e-16,9.516483088171213689e-01,1.000000000000000000e+00,6.766303574644523255e-01,8.847079583470288666e-01,1.000000000000000000e+00,9.066666232796131153e-01,9.886319144031369133e-01,8.026851280123721288e-01,9.689079974432647235e-01,9.061977370797493769e-01
9.514126012271153510e-01,8.893897681649512998e-01,9.706301719513449333e-01,1.000000000000000000e+00,9.562182851567903041e-01,7.839802669127022838e-01,1.000000000000000000e+00,9.516483088171213689e-01,2.220446049250313081e-16,9.804964868579449933e-01,9.891797524233013617e-01,9.385300478941536184e-01,8.998557662478489094e-01,9.877945661075078210e-01,9.108284226794397531e-01,9.667150633250398695e-01,9.672036952704271551e-01,9.352814409377583349e-01
9.822682462088268007e-01,9.391096974520702911e-01,9.168152340539174050e-01,1.000000000000000000e+00,9.669980947564449369e-01,8.896730188728809718e-01,9.016481978881876191e-01,1.000000000000000000e+00,9.804964868579449933e-01,1.110223024625156540e-16,9.626626142096756933e-01,1.000000000000000000e+00,9.601211583620672396e-01,1.000000000000000000e+00,9.680705837116565515e-01,1.000000000000000000e+00,9.847593426361058722e-01,1.000000000000000000e+00
