# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,9.289040049517918174e-01,7.480813418127778558e-01,8.224898799980073782e-01,9.610263029279835223e-01,9.656266319828560318e-01,7.553603975813021343e-01,1.000000000000000000e+00,9.662134609930674856e-01,9.757724429693040991e-01,8.222943219224421174e-01,9.569708534819298951e-01,9.441387180730750339e-01,7.719402647457596078e-01,9.780199868334354951e-01,5.205595073178624910e-01,9.349550588596746703e-01,9.334408310119339802e-01
9.289040049517918174e-01,-2.220446049250313081e-16,9.601457044885561842e-01,8.405018855505813624e-01,8.395889466105133092e-01,9.636213467286948164e-01,9.081103656811795322e-01,5.570498651298965154e-01,9.556812253682619440e-01,9.349278264783352776e-01,8.511406447285011501e-01,9.226482604044100588e-01,9.472168146230155461e-01,9.841416210171951562e-01,9.654356332062140611e-01,8.416360010045957907e-01,9.553830809492577236e-01,9.324412113314209938e-01
7.480813418127778558e-01,9.601457044885561842e-01,2.220446049250313081e-16,9.601252200923823255e-01,1.000000000000000000e+00,9.226237855515991848e-01,7.184654441135938097e-01,9.864552207432740749e-01,9.817979926320875572e-01,9.823623447982652301e-01,9.524891816669990297e-01,7.091129857088485089e-01,7.529074364859253965e-01,4.263391678029150311e-01,9.906215526281523243e-01,7.494168693528853176e-01,9.828413293222739711e-01,6.870011395758275352e-01
8.224898799980073782e-01,8.405018855505813624e-01,9.601252200923823255e-01,1.110223024625156540e-16,9.737761301810000658e-01,9.128373564865431833e-01,8.667445710868604269e-01,9.777208546669327038e-01,8.296294997368882651e-01,7.085927653684652716e-01,1.000000000000000000e+00,9.061323712833440069e-01,9.084691136232527775e-01,9.255855993517683178e-01,9.439998748058953115e-01,7.903810058321140142e-01,8.879246222282262124e-01,9.235918635548903133e-01
9.610263029279835223e-01,8.395889466105133092e-01,1.000000000000000000e+00,9.737761301810000658e-01,1.110223024625156540e-16,9.556326600726294807e-01,9.988109650267533723e-01,7.677342427129278946e-01,9.670235863360844286e-01,9.860361188429384027e-01,9.736791309237595726e-01,6.657751138787224576e-01,1.000000000000000000e+00,8.894590532906219149e-01,9.897679789053833721e-01,9.983599357357523241e-01,9.848239219268003497e-01,1.000000000000000000e+00
9.656266319828560318e-01,9.636213467286948164e-01,9.226237855515991848e-01,9.128373564865431833e-01,9.556326600726294807e-01,-2.220446049250313081e-16,9.606971594609214904e-01,9.690867805187409756e-01,8.463068639669585336e-01,9.970826455183734449e-01,8.862278673198692447e-01,9.677545967009784089e-01,9.742573548159195740e-01,9.272317932670678386e-01,7.907957781425746235e-01,9.543955036424127680e-01,8.296803259667510089e-01,9.642559868370969012e-01
7.553603975813021343e-01,9.081103656811795322e-01,7.184654441135938097e-01,8.667445710868604269e-01,9.988109650267533723e-01,9.606971594609214904e-01,4.768601354105738155e-01,9.402147953893835730e-01,9.649632528001083065e-01,9.502585298174492934e-01,9.130833764486532278e-01,6.326384001883027519e-01,6.200056982895456592e-01,7.364045803233028042e-01,9.501611346688082493e-01,6.289121415115934699e-01,9.776206815748723633e-01,6.594238332379930290e-01
1.000000000000000000e+00,5.570498651298965154e-01,9.864552207432740749e-01,9.777208546669327038e-01,7.677342427129278946e-01,9.690867805187409756e-01,9.402147953893835730e-01,3.330669073875469621e-16,9.013735928568075151e-01,9.867017637209940517e-01,9.630740878873395028e-01,9.191945781786201586e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.747539870467668566e-01,9.703414219914896499e-01,9.781360544779957866e-01,9.212576088291093424e-01
9.662134609930674856e-01,9.556812253682619440e-01,9.817979926320875572e-01,8.296294997368882651e-01,9.670235863360844286e-01,8.463068639669585336e-01,9.649632528001083065e-01,9.013735928568075151e-01,0.000000000000000000e+00,9.343819133299011703e-01,9.742960168533207899e-01,8.638161562406716509e-01,8.392753772205810980e-01,9.705242066048593852e-01,6.460890775658004737e-01,9.256500913851311019e-01,9.424061187040603249e-01,8.672998479105251679e-01
9.757724429693040991e-01,9.349278264783352776e-01,9.823623447982652301e-01,7.085927653684652716e-01,9.860361188429384027e-01,9.970826455183734449e-01,9.502585298174492934e-01,9.867017637209940517e-01,9.343819133299011703e-01,2.398471062609453530e-01,9.905560956540537809e-01,9.478641064712574060e-01,9.364636496440631452e-01,9.579634764523945467e-01,9.141843752284459779e-01,9.699495541551833577e-01,9.537312904745814945e-01,9.527690889680193731e-01
