# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,1.193807648748326233e+00,8.761002963051727210e-01,9.082739674310467137e-01,1.167747683453424390e+00,9.018576192965577221e-01,5.984854916335933250e-01,9.489960706887885511e-01,9.683066568889254766e-01,1.125098055347663495e+00,9.499242265219972614e-01,9.747403568240868843e-01,8.733707492472524425e-01,8.878303684996253775e-01,9.998478007547733082e-01,9.776378920920765214e-01,1.157152100611616330e+00,9.737572163375141088e-01
1.193807648748326233e+00,2.220446049250313081e-16,1.042223231702902098e+00,1.250721043369090957e+00,9.063027805458501174e-01,1.181778770670697476e+00,1.216484309215106085e+00,8.746230357623852036e-01,1.270882845324464050e+00,1.150362395776661772e+00,1.273719257055470511e+00,1.372318080521248707e+00,1.190266409709069162e+00,1.313752562166681237e+00,1.270258269631426407e+00,1.058198225223894173e+00,1.128910373529124600e+00,1.208971860738652371e+00
8.761002963051727210e-01,1.042223231702902098e+00,4.272810059554877915e-01,9.622916481019121449e-01,9.562812114343628433e-01,8.882348603563352540e-01,8.458062003589059685e-01,9.569166054285462852e-01,8.853181735094934890e-01,9.574771239706043602e-01,9.554080807255718177e-01,8.731360286196114817e-01,8.307459288790981500e-01,8.888721488872318721e-01,8.984420403232034058e-01,8.531948698590564595e-01,1.076799918210548768e+00,8.743247180860220791e-01
9.082739674310467137e-01,1.250721043369090957e+00,9.622916481019121449e-01,2.220446049250313081e-16,1.138675722543962987e+00,1.000000000000000000e+00,9.060954780404130160e-01,9.667545791413263423e-01,9.335881749547920716e-01,1.073338856651260054e+00,5.542733916194479971e-01,9.611245475785279435e-01,9.466319870148154347e-01,9.473909527423070021e-01,9.814675594235471312e-01,1.000000000000000000e+00,1.159758123139353669e+00,9.696405725833155964e-01
1.167747683453424612e+00,9.063027805458501174e-01,9.562812114343628433e-01,1.138675722543962987e+00,5.755597699574113157e-01,1.113302477948884484e+00,1.119359687330096165e+00,9.547129754221259645e-01,1.191301330347597887e+00,1.218676546952935924e+00,1.125022369413159362e+00,1.096411054900064297e+00,1.092623151453795849e+00,1.209522347048284541e+00,1.156591833539960978e+00,1.057096070638029239e+00,1.278955016537838940e+00,1.076168144053618603e+00
9.018576192965577221e-01,1.181778770670697476e+00,8.882348603563352540e-01,1.000000000000000000e+00,1.113302477948884484e+00,-2.220446049250313081e-16,8.476558441218731144e-01,9.749689583534999482e-01,6.355536170156059761e-01,1.169111830851733203e+00,9.569083523412820202e-01,9.697525945344477316e-01,8.344436595993053318e-01,9.914289058614664807e-01,5.890343459305773521e-01,8.636314280772772189e-01,1.015389002851034617e+00,9.539453465646936525e-01
5.984854916335933250e-01,1.216484309215106085e+00,8.458062003589059685e-01,9.060954780404130160e-01,1.119359687330096165e+00,8.476558441218731144e-01,0.000000000000000000e+00,9.568140084181059324e-01,9.694829794354852259e-01,1.137739963323296077e+00,8.837848726042097924e-01,9.704905548607490884e-01,7.117565383179229599e-01,8.426123122865121218e-01,9.899773063537503637e-01,9.581121496647684310e-01,1.046567772427227316e+00,9.734193506497926807e-01
9.489960706887885511e-01,8.746230357623852036e-01,9.569166054285462852e-01,9.667545791413263423e-01,9.547129754221259645e-01,9.749689583534999482e-01,9.568140084181059324e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.102129811126266734e+00,9.426423435719429866e-01,8.135744986589621419e-01,9.940183173371104353e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.899615940916643098e-01,1.151552658259492157e+00,7.414333494220644027e-01
9.683066568889254766e-01,1.270882845324464050e+00,8.853181735094934890e-01,9.335881749547920716e-01,1.191301330347597887e+00,6.355536170156059761e-01,9.694829794354852259e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.143835347113437706e+00,9.020579315439494206e-01,9.809544770263649571e-01,8.403106255931322988e-01,9.712423674879551161e-01,6.181150933302573813e-01,8.657893427974526768e-01,9.899608631165751627e-01,9.809935324219500874e-01
1.125098055347663495e+00,1.150362395776661772e+00,9.574771239706043602e-01,1.073338856651260054e+00,1.218676546952935924e+00,1.169111830851733203e+00,1.137739963323296077e+00,1.102129811126266734e+00,1.143835347113437706e+00,5.220766575464848014e-01,1.129361441290700485e+00,1.231755400760980335e+00,1.140573906281029171e+00,1.217269990933063761e+00,1.206959793484254195e+00,1.038282318415489902e+00,1.182555758941021828e+00,1.253016234795258255e+00
