# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,7.403661130287140235e-01,6.069211212664080701e-01,9.960652039269491942e-01,8.229328653793240855e-01,9.977691443373800650e-01,5.224538402228413592e-01,7.461018601390638771e-01,8.338630483079135791e-01,8.931271821408621747e-01,9.125792219971721186e-01,4.027420306198958855e-01,2.843631999337437044e-01,5.214126093503920201e-01,8.596012660327028154e-01,3.431749795231344713e-01,9.924940963626326385e-01,2.546926976864530845e-01
7.403661130287140235e-01,-2.220446049250313081e-16,3.863501831774301953e-01,9.807189414961721141e-01,4.008632945191675789e-01,8.421031380452745907e-01,5.850543093994429178e-01,3.202980469079441672e-01,9.670934756480371597e-01,8.134955786357774832e-01,7.586788989946327000e-01,7.504335555451050466e-01,6.122362284613541705e-01,5.250824002357077358e-01,7.510644700854658407e-01,7.336416300763359821e-01,9.891689741316334050e-01,6.827190643031175732e-01
6.069211212664080701e-01,3.863501831774301953e-01,0.000000000000000000e+00,9.565480524061532597e-01,5.017822944489382930e-01,6.425952700369349513e-01,3.874119055173633752e-01,5.615715978668885944e-01,9.507306956688633681e-01,7.485929348193286481e-01,8.907945829572956331e-01,4.837347626694927794e-01,6.002597105885303375e-01,4.668768261557815213e-01,1.000000000000000000e+00,5.837575552558240677e-01,9.687300186844939320e-01,4.087639120939323689e-01
9.960652039269491942e-01,9.807189414961721141e-01,9.565480524061532597e-01,1.110223024625156540e-16,9.512083154286165021e-01,9.648068964531556491e-01,9.559294015430093161e-01,9.615118848281477559e-01,9.815501081616886392e-01,7.791297580061712358e-01,9.941075173248193897e-01,9.690106754620727569e-01,9.779060034290036896e-01,9.133897672190101069e-01,9.864843529315041604e-01,9.759747015134656589e-01,9.584688254991361456e-01,9.865592150539533867e-01
8.229328653793240855e-01,4.008632945191675789e-01,5.017822944489382930e-01,9.512083154286165021e-01,0.000000000000000000e+00,8.960285181959536382e-01,6.241273236191666740e-01,3.084156542649927335e-01,9.434833292188392617e-01,7.909179879418289927e-01,7.298662590752087453e-01,8.767329358829429875e-01,7.016984323609656293e-01,5.984395366360730772e-01,8.186645183418121974e-01,7.767640091643033262e-01,9.772822889779595457e-01,7.762053417398403488e-01
9.977691443373800650e-01,8.421031380452745907e-01,6.425952700369349513e-01,9.648068964531556491e-01,8.960285181959536382e-01,0.000000000000000000e+00,8.144291106720945583e-01,8.323017590735712901e-01,9.079897123447588925e-01,8.770287095389276422e-01,8.747317517646664431e-01,9.034008963608601839e-01,9.619584056076764256e-01,7.897926468348823725e-01,8.213681903790577277e-01,8.445844538086830777e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.224538402228413592e-01,5.850543093994429178e-01,3.874119055173633752e-01,9.559294015430093161e-01,6.241273236191666740e-01,8.144291106720945583e-01,1.110223024625156540e-16,5.252892868715228758e-01,1.000000000000000000e+00,7.904118205608884340e-01,8.618387774852820371e-01,6.030741597610972393e-01,5.632995130681629492e-01,4.768555912497101090e-01,8.353865014045730453e-01,4.203867987215129665e-01,9.791101281955979507e-01,6.326687843998490823e-01
7.461018601390638771e-01,3.202980469079441672e-01,5.615715978668885944e-01,9.615118848281477559e-01,3.084156542649927335e-01,8.323017590735712901e-01,5.252892868715228758e-01,0.000000000000000000e+00,8.026938990284580022e-01,7.873069218276375070e-01,8.330934670218741456e-01,8.007061740216030454e-01,7.602313576125843131e-01,4.791630341054649023e-01,8.380573650666273133e-01,7.842671721218483771e-01,1.000000000000000000e+00,6.768346358889936187e-01
8.338630483079135791e-01,9.670934756480371597e-01,9.507306956688633681e-01,9.815501081616886392e-01,9.434833292188392617e-01,9.079897123447588925e-01,1.000000000000000000e+00,8.026938990284580022e-01,0.000000000000000000e+00,9.641497044566428309e-01,9.731355993525673265e-01,9.042281660795098430e-01,8.856712495417660147e-01,1.000000000000000000e+00,3.472604032923548578e-01,8.840282503664472769e-01,1.000000000000000000e+00,8.887497793540377611e-01
8.931271821408621747e-01,8.134955786357774832e-01,7.485929348193286481e-01,7.791297580061712358e-01,7.909179879418289927e-01,8.770287095389276422e-01,7.904118205608884340e-01,7.873069218276375070e-01,9.641497044566428309e-01,6.024790176572505374e-01,9.361570723581561504e-01,9.469836494849438457e-01,8.500029037465700599e-01,7.454862230243075594e-01,9.366553662858466689e-01,8.027474518008542725e-01,9.802879945703035780e-01,9.321306410890762839e-01
9.125792219971721186e-01,7.586788989946327000e-01,8.907945829572956331e-01,9.941075173248193897e-01,7.298662590752087453e-01,8.747317517646664431e-01,8.618387774852820371e-01,8.330934670218741456e-01,9.731355993525673265e-01,9.361570723581561504e-01,1.110223024625156540e-16,9.208333966941301130e-01,9.304820501844897063e-01,8.535854906552285959e-01,9.122741837141846721e-01,9.307573688647928778e-01,1.000000000000000000e+00,6.916352692180214312e-01
4.027420306198958855e-01,7.504335555451050466e-01,4.837347626694927794e-01,9.690106754620727569e-01,8.767329358829429875e-01,9.034008963608601839e-01,6.030741597610972393e-01,8.007061740216030454e-01,9.042281660795098430e-01,9.469836494849438457e-01,9.208333966941301130e-01,0.000000000000000000e+00,2.277689123990166431e-01,6.706508449706354291e-01,8.354171775348534501e-01,5.194249648536619635e-01,1.000000000000000000e+00,1.056436922208403573e-02
2.843631999337437044e-01,6.122362284613541705e-01,6.002597105885303375e-01,9.779060034290036896e-01,7.016984323609656293e-01,9.619584056076764256e-01,5.632995130681629492e-01,7.602313576125843131e-01,8.856712495417660147e-01,8.500029037465700599e-01,9.304820501844897063e-01,2.277689123990166431e-01,0.000000000000000000e+00,6.235179837523388002e-01,8.366145834490338329e-01,3.715577215665786248e-01,9.790496153788363909e-01,2.698805272143903755e-01
5.214126093503920201e-01,5.250824002357077358e-01,4.668768261557815213e-01,9.133897672190101069e-01,5.984395366360730772e-01,7.897926468348823725e-01,4.768555912497101090e-01,4.791630341054649023e-01,1.000000000000000000e+00,7.454862230243075594e-01,8.535854906552285959e-01,6.706508449706354291e-01,6.235179837523388002e-01,0.000000000000000000e+00,7.827170071485231029e-01,5.230029135460524392e-01,9.953475248595889946e-01,6.537696007724358438e-01
